Jugador,Pais,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Min,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado,jugador_id
Marco Sportiello,ITA,PO,Milan,31,1992.0,8.6,7.8,751.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,"1,50 mill. €",1993
Marcos Acuña,ARG,Defensa,Sevilla,32,1991.0,24.5,19.75,1728.25,1.25,1.75,3.0,6.75,0.75,0.8750000000000001,2.5250000000000004,"8,00 mill. €",1994
Marcos Alonso,ESP,Defensa,Chelsea,32,1990.0,17.4,12.8,1178.2,2.2,1.2,3.4,3.4,0.0,1.64,1.8400000000000003,"3,00 mill. €",1995
Marcos Llorente,ESP,Centrocampista,Real Madrid,28,1995.0,21.428571428571427,17.0,1478.571428571429,2.571428571428572,2.7142857142857144,5.285714285714286,3.4285714285714284,0.0,1.2285714285714284,2.414285714285714,"35,00 mill. €",1996
Marcos Mauro López Gutiérrez,ARG,Defensa,Cádiz,30,1991.0,13.5,11.5,980.5,1.0,0.0,1.0,1.5,0.5,0.75,0.0,500 mil €,1997
Marcos Rojo,ARG,Defensa,Manchester Utd,29,1990.0,3.0,1.0,122.0,0.0,0.0,0.0,1.0,0.0,0.2,0.0,"2,20 mill. €",1998
Marcos Senesi,ARG,Defensa,Bournemouth,26,1997.0,21.0,18.0,1579.5,1.0,0.5,1.5,4.5,0.0,0.8,0.35,"22,00 mill. €",1999
Marcus Forss,FIN,Delantero,Brentford,22,1999.0,7.0,1.0,209.0,0.0,1.0,1.0,0.0,0.0,0.3,0.2,"3,50 mill. €",2000
Marcus Pedersen,NOR,Defensa,Sassuolo,23,2000.0,10.0,2.0,314.0,0.0,0.0,0.0,2.0,0.0,0.1,0.2,"7,00 mill. €",2001
Marcus Rashford,ENG,Delantero,Manchester Utd,26,1997.0,28.0,24.2,2139.6,10.2,4.8,15.0,2.4,0.0,10.22,3.18,"75,00 mill. €",2002
Marcus Tavernier,ENG,Delantero,Bournemouth,24,1999.0,16.5,14.0,1220.5,3.5,2.5,6.0,0.5,0.0,2.55,2.2,"17,00 mill. €",2003
Marcus Thuram,FRA,Delantero,Inter,26,1997.0,13.0,13.0,992.0,4.0,6.0,10.0,0.0,0.0,5.4,1.4,"40,00 mill. €",2004
Marcão,BRA,Defensa,Sevilla,26,1996.0,5.0,4.0,375.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"6,00 mill. €",2005
Marek Rodák,SVK,PO,Fulham,25,1996.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,00 mill. €",2006
Mariano,DOM,Delantero,Real Madrid,30,1993.0,9.333333333333334,2.333333333333333,278.8333333333333,1.0,0.1666666666666666,1.1666666666666667,1.1666666666666667,0.0,1.3666666666666665,0.3833333333333333,"3,50 mill. €",2007
Marin Pongračić,CRO,Defensa,Lecce,26,1997.0,11.0,11.0,980.0,0.0,0.0,0.0,2.5,0.0,0.35,0.1,"4,00 mill. €",2008
Mario Balotelli,ITA,Delantero,Brescia,28,1990.0,19.0,16.0,1404.0,5.0,0.0,5.0,6.0,1.0,7.1,0.6,"1,20 mill. €",2009
Mario Dominguez,ESP,Delantero,Valencia,19,2004.0,2.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,200 mil €,2010
