Jugador,Pais,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Min,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado,jugador_id
Aaron Connolly,IRL,Delantero,Brighton,21,2000.0,15.0,8.0,735.0,1.6666666666666667,0.6666666666666666,2.333333333333333,0.0,0.0,2.8000000000000003,0.2666666666666666,"3,50 mill. €",0
Aaron Cresswell,ENG,Defensa,West Ham,33,1989.0,25.6,24.6,2188.6,1.0,2.4,3.4,3.2,0.0,0.76,3.34,"1,20 mill. €",1
Aaron Hickey,SCO,Defensa,Brentford,21,2002.0,20.5,19.0,1551.75,1.25,0.5,1.75,5.5,0.25,0.4,0.6,"30,00 mill. €",2
Aaron Ramsdale,ENG,PO,Arsenal,25,1998.0,30.4,30.4,2736.0,0.0,0.2,0.2,0.6,0.0,0.0,0.1599999999999999,"32,00 mill. €",3
Aaron Ramsey,ENG,Delantero,Burnley,30,1993.25,14.0,6.75,619.0,1.25,1.25,2.5,1.0,0.0,1.7,1.225,"2,50 mill. €",4
Aaron Wan-Bissaka,ENG,Defensa,Manchester Utd,26,1997.0,23.0,21.8,1960.8,0.4,1.8,2.2,3.4,0.0,0.6199999999999999,1.66,"25,00 mill. €",5
Aarón Escandell,ESP,PO,Granada,25,1995.0,4.0,3.6666666666666665,334.6666666666667,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,"1,00 mill. €",6
Aarón Martín,ESP,Defensa,Espanyol,26,1997.0,19.33333333333333,17.666666666666668,1567.3333333333333,0.0,1.0,1.0,3.0,0.3333333333333333,0.1,1.2999999999999998,"7,00 mill. €",7
Abdallahi Mahmoud,MTN,Centrocampista,Alavés,20,2000.0,2.5,1.0,109.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,500 mil €,8
Abdel Abqar,MAR,Defensa,Alavés,24,1999.0,11.0,11.0,989.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,"1,40 mill. €",9
Abdelhamid Sabiri,MAR,Centrocampista,Sampdoria,25,1996.0,16.0,10.5,981.0,2.5,1.0,3.5,4.0,0.0,2.2,1.5,"2,50 mill. €",10
Abderrahman Rebbach,ALG,Delantero,Alavés,25,1998.0,11.0,2.0,297.0,1.0,0.0,1.0,0.0,0.0,0.4,0.7,500 mil €,11
Abdessamad Ezzalzouli,MAR,Delantero,Barcelona,21,2001.0,12.5,6.5,614.75,1.5,0.5,2.0,2.0,0.5,1.2,0.775,"15,00 mill. €",12
Abdou Harroui,NED,Centrocampista,Frosinone,25,1998.0,16.0,3.6666666666666665,451.3333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,1.1666666666666667,0.2,"2,70 mill. €",13
Abdoulay Diaby,MLI,Defensa,Getafe,29,1991.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,"1,20 mill. €",14
Abdoulaye Ba,SEN,Defensa,Rayo Vallecano,27,1991.0,26.0,25.0,2110.0,1.0,0.0,1.0,4.0,2.0,1.3,0.1,300 mil €,15
Abdoulaye Doucouré,MLI,Delantero,Everton,30,1993.0,26.8,24.8,2158.8,3.4,2.2,5.6,6.2,0.2,3.3,2.4,"12,00 mill. €",16
Abdoulaye Touré,GUI,Centrocampista,Genoa,27,1994.0,8.0,6.0,430.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,"1,20 mill. €",17
Abdul Mumin,GHA,Defensa,Rayo Vallecano,25,1998.0,11.0,7.0,678.0,0.5,0.0,0.5,1.5,0.5,0.2,0.0,"1,50 mill. €",18
Abdón Prats,ESP,Delantero,Mallorca,30,1992.0,20.0,3.75,459.5,2.25,0.5,2.75,1.25,0.0,1.3,0.7749999999999999,"2,00 mill. €",19
Abel Ruiz,ESP,Delantero,Barcelona,18,2000.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,"14,00 mill. €",20
Abner,BRA,Defensa,Betis,23,2000.0,11.0,6.0,564.5,0.0,0.0,0.0,2.0,0.0,0.9,0.25,"7,00 mill. €",21
Aboubakar Kamara,MTN,Delantero,Fulham,25,1995.0,11.0,2.0,315.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3,"2,50 mill. €",22
Achraf Hakimi,MAR,Defensa,Real Madrid,21,1998.0,23.0,18.5,1711.0,4.5,4.0,8.5,3.0,0.0,2.5,3.25,"65,00 mill. €",23
Adalberto Peñaranda,VEN,Delantero,Málaga,20,1997.0,13.0,11.0,802.0,0.0,0.0,0.0,3.0,0.0,0.7,0.4,400 mil €,24
Adam Armstrong,ENG,Delantero,Southampton,25,1997.0,26.5,15.5,1374.0,2.0,1.5,3.5,1.5,0.0,3.3,1.4500000000000002,"14,00 mill. €",25
Adam Forshaw,ENG,Centrocampista,Leeds United,30,1991.0,17.0,11.0,1004.5,0.0,0.5,0.5,2.5,0.0,0.25,0.95,"1,20 mill. €",26
Adam Idah,IRL,Delantero,Norwich City,20,2001.0,14.5,3.5,426.5,0.5,0.5,1.0,0.0,0.0,1.65,0.3,"2,00 mill. €",27
Adam Lallana,ENG,Centrocampista,Brighton,35,1988.0,18.6,10.8,913.4,0.8,0.8,1.6,1.2,0.0,0.8800000000000001,1.12,"1,20 mill. €",28
Adam Marušić,MNE,Defensa,Lazio,31,1992.0,26.0,23.4,2096.4,1.0,1.2,2.2,4.2,0.4,1.0,0.9,"8,00 mill. €",29
Adam Masina,MAR,Defensa,Watford,28,1994.0,18.33333333333333,13.666666666666666,1229.0,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,0.4333333333333333,0.4999999999999999,"2,50 mill. €",30
Adam Obert,SVK,Defensa,Cagliari,21,2002.0,7.0,3.5,326.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,"1,80 mill. €",31
Adam Ounas,ALG,Delantero,Napoli,25,1996.0,9.75,4.75,462.0,1.0,1.0,2.0,0.5,0.0,0.975,1.15,"7,00 mill. €",32
Adam Smith,ENG,Defensa,Bournemouth,32,1991.0,22.0,20.0,1736.6666666666667,0.0,1.0,1.0,6.0,0.0,0.4333333333333333,0.9333333333333336,"1,20 mill. €",33
Adam Webster,ENG,Defensa,Brighton,28,1995.0,23.0,21.0,1844.2,1.2,0.2,1.4,3.2,0.0,1.24,0.34,"25,00 mill. €",34
Adama Soumaoro,FRA,Defensa,Bologna,30,1992.0,19.75,18.5,1631.25,0.5,0.0,0.5,4.25,0.75,0.7499999999999999,0.05,"3,00 mill. €",35
Adama Traoré,ESP,Delantero,Fulham,27,1996.0,23.83333333333333,13.5,1373.8333333333333,1.5,2.333333333333333,3.8333333333333335,1.1666666666666667,0.0,1.85,2.9,"10,00 mill. €",36
Ademola Lookman,NGA,Delantero,Leicester City,26,1997.0,26.0,19.25,1667.0,6.75,3.0,9.75,3.0,0.0,5.75,3.675,"30,00 mill. €",37
Adnan Januzaj,BEL,Delantero,Real Sociedad,28,1995.0,19.428571428571427,10.571428571428571,960.5714285714286,2.0,2.2857142857142856,4.285714285714286,2.142857142857143,0.0,2.814285714285714,2.628571428571429,"4,00 mill. €",38
Adolfo Gaich,ARG,Delantero,Hellas Verona,23,1999.0,15.5,8.5,747.0,2.0,0.0,2.0,1.5,0.0,2.65,0.4,"1,80 mill. €",39
Adri Bosch,ESP,Defensa,Granada,22,2001.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,40
Adri Embarba,ESP,Centrocampista,Rayo Vallecano,31,1992.0,21.5,16.166666666666668,1339.3333333333333,1.8333333333333333,2.5,4.333333333333333,3.333333333333333,0.3333333333333333,2.9166666666666665,3.1333333333333333,0.00,41
Adrian Mariappa,JAM,Defensa,Watford,32,1986.0,20.0,15.0,1513.0,0.0,0.0,0.0,6.0,1.0,0.2,0.2,100 mil €,42
Adrian Šemper,CRO,PO,Genoa,23,1998.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,20 mill. €",43
Adrien Rabiot,FRA,Centrocampista,Juventus,28,1995.0,27.6,23.4,2067.6,2.8,2.2,5.0,6.6,0.4,2.84,1.7,"40,00 mill. €",44
Adrien Silva,POR,Centrocampista,Sampdoria,32,1989.0,20.5,15.0,1341.0,0.5,1.0,1.5,5.5,1.0,0.4,0.6000000000000001,"1,00 mill. €",45
Adrien Tameze,CMR,Defensa,Torino,29,1994.0,25.2,20.0,1780.8,1.0,0.8,1.8,3.2,0.0,0.68,0.8999999999999998,"6,00 mill. €",46
Adrià Altimira,ESP,Defensa,Villarreal,22,2001.0,5.0,4.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,"1,00 mill. €",47
Adrià Pedrosa,ESP,Defensa,Espanyol,25,1998.0,16.2,11.6,1096.2,0.6,0.6,1.2,2.6,0.0,0.62,0.86,"5,00 mill. €",48
Adrián Butzke,ESP,Delantero,Granada,22,1999.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400 mil €,49
Adrián Diéguez,ESP,Defensa,Alavés,22,1996.0,7.5,7.0,592.0,0.0,0.0,0.0,4.0,0.0,0.1,0.0,600 mil €,50
Adrián Guerrero,ESP,Defensa,Valencia,21,1998.0,2.0,1.0,126.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"2,00 mill. €",51
Adrián Marín,ESP,Defensa,Villarreal,23,1997.0,7.0,3.4,347.4,0.0,0.2,0.2,1.0,0.0,0.24,0.1,"1,50 mill. €",52
Adrián Ramos,COL,Delantero,Granada,33,1986.0,7.0,2.0,226.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,300 mil €,53
Adu Ares,ESP,Delantero,Athletic Club,22,2001.0,5.0,0.0,54.5,0.0,0.0,0.0,0.5,0.0,0.05,0.1,500 mil €,54
Ager Aketxe,ESP,Centrocampista,Athletic Club,23,1993.0,3.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,"1,00 mill. €",55
Agustín Marchesín,ARG,PO,Celta Vigo,34,1988.0,19.0,19.0,1710.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"1,50 mill. €",56
Agustín Martegani,ARG,Centrocampista,Salernitana,23,2000.0,9.0,3.0,400.0,0.0,0.0,0.0,1.0,0.0,0.2,0.4,"2,00 mill. €",57
Agustín Álvarez Martínez,URU,Delantero,Sassuolo,21,2001.0,22.0,1.0,368.0,1.0,1.0,2.0,1.0,0.0,1.5,0.4,"8,00 mill. €",58
Ahmad Benali,LBY,Centrocampista,Crotone,28,1992.0,18.0,15.0,1214.0,0.0,1.0,1.0,2.0,0.0,0.6,1.2,900 mil €,59
Ahmed Elmohamady,EGY,Defensa,Aston Villa,32,1987.0,16.0,9.5,935.0,0.5,0.5,1.0,1.5,0.0,0.3,1.9,0.00,60
Ahmed Hegazi,EGY,Defensa,West Brom,29,1991.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,50 mill. €",61
Ahmed Touba,ALG,Defensa,Lecce,25,1998.0,3.0,1.0,114.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"2,80 mill. €",62
Aihen Muñoz,ESP,Defensa,Real Sociedad,26,1997.0,16.5,13.5,1211.5,0.0,0.5,0.5,2.5,0.1666666666666666,0.1333333333333333,0.5166666666666667,"6,00 mill. €",63
Aimar Oroz,ESP,Delantero,Osasuna,22,2001.0,15.333333333333334,12.333333333333334,1057.0,1.3333333333333333,2.333333333333333,3.6666666666666665,2.6666666666666665,0.0,1.7,1.2,"15,00 mill. €",64
Aimar Sher,SWE,Centrocampista,Spezia,18,2002.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750 mil €,65
Ainsley Maitland-Niles,ENG,Defensa,Southampton,24,1997.0,14.0,9.333333333333334,878.0,0.0,0.3333333333333333,0.3333333333333333,1.8333333333333333,0.1666666666666666,0.25,0.65,"6,00 mill. €",66
Aitor Fernández,ESP,PO,Levante,32,1991.0,19.83333333333333,19.666666666666668,1771.1666666666667,0.0,0.0,0.0,1.0,0.1666666666666666,0.0,0.0666666666666666,"3,00 mill. €",67
Aitor Paredes,ESP,Defensa,Athletic Club,23,2000.0,15.0,10.5,962.0,0.0,0.0,0.0,3.5,0.0,0.45,0.25,"8,00 mill. €",68
Aitor Ruibal,ESP,Centrocampista,Betis,27,1996.0,17.666666666666668,10.166666666666666,895.8333333333334,0.3333333333333333,0.5,0.8333333333333334,3.0,0.1666666666666666,0.9499999999999998,1.3333333333333333,"5,00 mill. €",69
Ajdin Hrustic,AUS,Centrocampista,Hellas Verona,26,1996.0,6.0,3.0,226.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,900 mil €,70
Akin Famewo,ENG,Centrocampista,Norwich City,20,1998.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300 mil €,71
Alan Empereur,BRA,Defensa,Hellas Verona,26,1994.0,8.5,6.0,537.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,750 mil €,72
Alan Matturro,URU,Defensa,Genoa,19,2004.0,3.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,50 mill. €",73
Alassane Sidibe,CIV,Centrocampista,Atalanta,19,2002.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750 mil €,74
Albert Guðmundsson,ISL,Delantero,Genoa,26,1997.0,12.0,9.0,840.0,3.0,0.0,3.0,2.5,0.0,1.4500000000000002,1.1,"12,00 mill. €",75
Albert Sambi Lokonga,BEL,Centrocampista,Luton Town,24,1999.0,9.0,5.5,499.25,0.0,0.0,0.0,1.75,0.0,0.225,0.275,"15,00 mill. €",76
Alberto Basso,ITA,Centrocampista,Cremonese,18,2004.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 mil €,77
Alberto Cerri,ITA,Delantero,Cagliari,24,1996.0,14.0,3.0,344.3333333333333,1.0,0.0,1.0,1.0,0.0,1.6333333333333335,0.4666666666666666,"2,00 mill. €",78
Alberto Del Moral,ESP,Centrocampista,Villarreal,22,2000.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,00 mill. €",79
Alberto Dossena,ITA,Defensa,Cagliari,25,1998.0,13.0,12.0,1086.0,2.0,1.0,3.0,0.0,0.0,1.1,0.6,"2,00 mill. €",80
Alberto García,ESP,PO,Rayo Vallecano,33,1985.0,17.0,17.0,1530.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"3,00 mill. €",81
Alberto Grassi,ITA,Centrocampista,Empoli,28,1995.0,21.0,13.2,1176.2,0.2,0.6,0.8,4.2,0.2,0.54,0.74,"2,00 mill. €",82
Alberto López,ESP,Defensa,Málaga,22,1995.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"7,00 mill. €",83
Alberto Moleiro,ESP,Centrocampista,Las Palmas,20,2003.0,5.0,2.0,233.0,1.0,1.0,2.0,0.0,0.0,0.3,0.1,"5,00 mill. €",84
Alberto Moreno,ESP,Defensa,Villarreal,31,1992.0,16.2,10.0,926.2,0.6,0.8,1.4,3.6,0.2,1.04,0.8399999999999999,"2,00 mill. €",85
Alberto Paleari,ITA,PO,Genoa,27,1992.0,3.0,2.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700 mil €,86
Alberto Paloschi,ITA,Delantero,SPAL,29,1990.0,8.5,3.0,321.0,0.0,0.0,0.0,0.0,0.0,0.9,0.25,500 mil €,87
Alberto Perea,ESP,Centrocampista,Cádiz,32,1990.0,12.0,6.25,593.25,0.5,1.0,1.5,0.5,0.0,0.675,0.8,"1,00 mill. €",88
Alberto Soro,ESP,Delantero,Granada,24,1999.0,10.666666666666666,3.333333333333333,326.3333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.5,0.2666666666666666,"1,50 mill. €",89
Albian Ajeti,SUI,Delantero,West Ham,22,1997.0,9.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,"1,50 mill. €",90
Albin Ekdal,SWE,Centrocampista,Spezia,33,1989.0,30.25,22.5,2013.75,0.75,1.25,2.0,8.5,0.5,1.55,1.0,800 mil €,91
Aleix Febas,ESP,Centrocampista,Mallorca,25,1996.0,16.5,11.5,903.5,0.0,1.5,1.5,2.5,0.0,0.2,0.9,"1,50 mill. €",92
Aleix García,ESP,Centrocampista,Girona,26,1997.0,21.2,14.4,1309.8,1.4,2.2,3.6,1.4,0.0,0.9200000000000002,2.64,"10,00 mill. €",93
Aleix Garrido,ESP,Delantero,Barcelona,18,2004.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300 mil €,94
Aleix Vidal,ESP,Centrocampista,Barcelona,32,1989.0,20.5,11.833333333333334,1112.3333333333333,0.8333333333333334,1.5,2.333333333333333,5.166666666666667,0.1666666666666666,0.8833333333333333,2.016666666666667,"1,00 mill. €",95
Alejandro Arribas,ESP,Defensa,La Coruña,28,1989.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,350 mil €,96
Alejandro Asensio,ESP,Delantero,Rayo Vallecano,20,2000.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25 mil €,97
Alejandro Balde,ESP,Defensa,Barcelona,20,2003.0,17.0,14.333333333333334,1217.0,0.3333333333333333,2.333333333333333,2.6666666666666665,1.6666666666666667,0.0,0.6666666666666666,1.9666666666666668,"50,00 mill. €",98
Alejandro Blanco,ESP,Delantero,Alavés,21,1998.0,7.5,3.0,298.0,0.5,0.0,0.5,0.5,0.0,0.25,0.25,600 mil €,99
Alejandro Blesa,ESP,Centrocampista,Levante,18,2002.0,1.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300 mil €,100
Alejandro Garnacho,ARG,Delantero,Manchester Utd,19,2004.0,10.666666666666666,3.333333333333333,352.3333333333333,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,0.0,1.4,0.5666666666666667,"25,00 mill. €",101
Alejandro Pozo Pozo,ESP,Defensa,Mallorca,24,1999.0,18.2,12.8,1201.6,0.2,1.0,1.2,1.2,0.0,0.24,1.34,"3,00 mill. €",102
Alejandro Primo,ESP,PO,Levante,17,2004.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100 mil €,103
Alejandro Revuelta Montero,ESP,Defensa,Getafe,22,2000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25 mil €,104
Alejo Véliz,ARG,Delantero,Tottenham,20,2003.0,4.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"11,00 mill. €",105
Aleksa Terzić,SRB,Defensa,Fiorentina,22,1999.0,12.666666666666666,3.0,405.6666666666667,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,0.1333333333333333,0.7666666666666666,"4,00 mill. €",106
Aleksandar Jovanović,SRB,PO,Huesca,25,1992.0,12.0,12.0,1080.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,800 mil €,107
Aleksandar Katai,SRB,Centrocampista,Alavés,26,1991.0,3.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,"4,50 mill. €",108
Aleksandar Mitrović,SRB,Delantero,Fulham,29,1994.0,17.333333333333332,12.0,1147.6666666666667,5.666666666666667,1.3333333333333333,7.0,3.333333333333333,0.0,7.1000000000000005,1.6666666666666667,"28,00 mill. €",109
Aleksandar Sedlar,SRB,Defensa,Mallorca,31,1991.0,11.0,7.666666666666667,721.3333333333334,0.3333333333333333,0.0,0.3333333333333333,3.333333333333333,0.6666666666666666,0.1333333333333333,0.0666666666666666,500 mil €,110
Aleksandar Trajkovski,MKD,Centrocampista,Mallorca,26,1992.0,14.0,1.0,330.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,450 mil €,111
Aleksander Buksa,POL,Delantero,Genoa,18,2003.0,4.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700 mil €,112
Aleksandr Kokorin,RUS,Delantero,Fiorentina,30,1991.0,5.0,0.0,74.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"1,00 mill. €",113
Aleksei Miranchuk,RUS,Centrocampista,Atalanta,28,1995.0,19.25,9.0,925.0,2.5,3.0,5.5,0.0,0.0,1.375,2.225,"9,00 mill. €",114
Alen Halilović,CRO,Delantero,Las Palmas,21,1996.0,20.0,16.0,1304.0,2.0,1.0,3.0,1.0,1.0,1.6,1.8,"1,00 mill. €",115
Alessandro Bastoni,ITA,Defensa,Inter,24,1999.0,25.4,23.6,2012.2,0.6,1.4,2.0,5.0,0.2,0.74,1.62,"60,00 mill. €",116
Alessandro Berardi,ITA,PO,Hellas Verona,30,1991.0,1.0,0.5,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50 mil €,117
Alessandro Bianco,ITA,Centrocampista,Fiorentina,19,2002.0,7.0,2.0,153.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,"1,20 mill. €",118
Alessandro Buongiorno,ITA,Defensa,Torino,24,1999.0,19.75,15.25,1399.0,0.75,0.75,1.5,4.5,0.0,1.025,0.5,"20,00 mill. €",119
Alessandro Cortinovis,ITA,Centrocampista,Hellas Verona,21,2001.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700 mil €,120
Alessandro Deiola,ITA,Centrocampista,Cagliari,28,1995.0,12.833333333333334,8.666666666666666,696.5,0.8333333333333334,0.3333333333333333,1.1666666666666667,2.1666666666666665,0.0,0.7166666666666668,0.5,"1,80 mill. €",121
Alessandro Di Pardo,ITA,Centrocampista,Cagliari,24,1999.0,5.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,900 mil €,122
Alessandro Florenzi,ITA,Defensa,Valencia,32,1991.0,13.4,8.0,715.2,0.4,0.2,0.6,2.4,0.2,0.5599999999999999,0.8800000000000001,"2,00 mill. €",123
Alessandro Murgia,ITA,Centrocampista,SPAL,22,1996.0,25.0,19.0,1750.0,0.0,1.0,1.0,3.0,0.0,2.4,2.0,450 mil €,124
Alessandro Russo,ITA,PO,Sassuolo,21,2002.0,1.0,0.5,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350 mil €,125
Alessandro Semprini,ITA,Defensa,Brescia,21,1998.0,12.0,6.0,629.0,1.0,0.0,1.0,2.0,0.0,0.9,0.2,125 mil €,126
Alessandro Sorrentino,ITA,PO,Monza,21,2002.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500 mil €,127
Alessandro Tripaldelli,ITA,Defensa,Cagliari,21,1999.0,6.0,2.0,217.5,0.0,0.0,0.0,0.5,0.0,0.0,0.05,600 mil €,128
Alessandro Tuia,ITA,Defensa,Lecce,32,1990.0,17.0,12.5,1137.0,0.5,0.0,0.5,3.5,0.0,0.45,0.15,400 mil €,129
Alessandro Vogliacco,ITA,Defensa,Genoa,25,1998.0,3.0,1.0,89.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"2,00 mill. €",130
Alessandro Zanoli,ITA,Defensa,Napoli,23,2000.0,9.25,5.25,510.25,0.5,0.75,1.25,1.5,0.0,0.675,0.325,"6,00 mill. €",131
Alessio Cragno,ITA,PO,Sassuolo,29,1994.0,17.6,17.6,1584.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"3,00 mill. €",132
Alessio Romagnoli,ITA,Defensa,Lazio,28,1995.0,24.4,23.4,2081.8,1.0,0.2,1.2,4.6,0.2,1.3199999999999998,0.4599999999999999,"18,00 mill. €",133
Alessio Zerbin,ITA,Delantero,Napoli,24,1999.0,6.0,1.0,103.5,0.0,0.0,0.0,0.5,0.0,0.2,0.0,"4,00 mill. €",134
Alex Baena,ESP,Centrocampista,Villarreal,22,2001.0,13.5,8.25,744.5,1.75,1.75,3.5,4.25,0.5,1.4,2.1,"20,00 mill. €",135
Alex Cordaz,ITA,PO,Inter,39,1983.0,18.5,18.0,1633.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,200 mil €,136
Alex Ferrari,ITA,Defensa,Sampdoria,28,1994.0,15.0,13.0,1080.6,0.2,0.2,0.4,3.4,0.0,0.34,0.4,"1,00 mill. €",137
Alex Iwobi,NGA,Centrocampista,Everton,27,1996.0,22.0,17.166666666666668,1540.6666666666667,1.1666666666666667,1.8333333333333333,3.0,0.8333333333333334,0.0,1.6833333333333336,2.2,"28,00 mill. €",138
Alex Král,CZE,Centrocampista,West Ham,23,1998.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"10,00 mill. €",139
Alex Matos,ENG,Centrocampista,Chelsea,19,2004.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200 mil €,140
Alex McCarthy,ENG,PO,Southampton,32,1989.0,20.25,20.25,1822.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,900 mil €,141
Alex Meret,ITA,PO,Napoli,26,1997.0,19.2,19.0,1720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"18,00 mill. €",142
Alex Mighten,ENG,Delantero,Nott'ham Forest,20,2002.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600 mil €,143
Alex Oxlade-Chamberlain,ENG,Delantero,Liverpool,28,1993.0,17.25,8.0,714.5,2.0,0.75,2.75,0.25,0.0,1.4249999999999998,0.85,"6,00 mill. €",144
Alex Petxa,ESP,Defensa,Athletic Club,24,1997.0,17.0,1.0,412.0,0.0,0.0,0.0,4.0,0.0,0.1,0.3,600 mil €,145
Alex Sandro,BRA,Defensa,Juventus,32,1991.0,22.2,17.4,1598.4,0.6,1.2,1.8,3.0,0.2,0.7,1.2,"3,00 mill. €",146
Alex Scott,ENG,Centrocampista,Bournemouth,20,2003.0,3.0,3.0,189.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,"20,00 mill. €",147
Alex Sola,ESP,Defensa,Real Sociedad,24,1999.0,5.0,2.2,209.0,0.0,0.0,0.0,0.4,0.0,0.2,0.18,"3,00 mill. €",148
Alex Telles,BRA,Defensa,Manchester Utd,29,1992.0,19.0,13.666666666666666,1259.0,0.0,2.6666666666666665,2.6666666666666665,2.333333333333333,0.0,0.3333333333333333,1.5333333333333332,"7,00 mill. €",149
Alexander,ARG,Centrocampista,Leganés,29,1988.0,7.0,6.5,535.0,1.0,1.0,2.0,0.5,0.0,1.1,1.25,"65,00 mill. €",150
Alexander Callens,PER,Defensa,Girona,30,1992.0,6.0,0.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"1,80 mill. €",151
Alexander Isak,SWE,Delantero,Newcastle Utd,24,1999.0,22.666666666666668,16.0,1372.1666666666667,8.333333333333334,1.0,9.333333333333334,2.6666666666666665,0.0,8.049999999999999,1.65,"70,00 mill. €",152
Alexander Sørloth,NOR,Delantero,Real Sociedad,27,1995.0,26.666666666666668,20.33333333333333,1708.3333333333333,7.333333333333333,1.3333333333333333,8.666666666666666,2.333333333333333,0.0,7.733333333333334,2.8000000000000003,"14,00 mill. €",153
Alexandre Jankewitz,SUI,Centrocampista,Southampton,18,2001.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,800 mil €,154
Alexandre Lacazette,FRA,Delantero,Arsenal,30,1991.0,30.33333333333333,21.33333333333333,1859.6666666666667,9.0,4.333333333333333,13.333333333333334,3.6666666666666665,0.0,9.4,2.7,"12,00 mill. €",155
Alexis,ESP,Defensa,Alavés,31,1985.0,28.0,25.0,2184.0,1.0,0.0,1.0,6.0,0.0,1.2,0.3,"65,00 mill. €",156
