Unnamed: 0,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
897,ESP,Centrocampista,Cádiz,22,1999,6,1,115,0,0,0,1,0,0.1,0.0,"4,00 mill. €"
899,ESP,Delantero,Rayo Vallecano,22,1999,7,1,186,0,0,0,0,0,0.6,0.0,"100,00 mill. €"
900,ESP,Defensa,Atlético Madrid,19,2002,1,0,6,0,0,0,1,0,0.0,0.0,"4,00 mill. €"
902,ESP,Defensa,Athletic Club,30,1991,27,26,2341,3,0,3,9,2,2.0,0.5,"1,50 mill. €"
903,ESP,Centrocampista,Osasuna,21,1999,26,9,879,1,1,2,1,0,0.8,0.6,"8,00 mill. €"
904,ESP,Centrocampista,Levante,23,1998,13,7,656,0,1,1,2,0,0.5,0.9,250 mil €
905,ESP,Centrocampista,Elche,28,1993,32,30,2493,0,0,0,6,0,0.5,0.2,"1,00 mill. €"
906,ESP,Delantero,Getafe,32,1988,22,4,672,1,0,1,7,0,1.3,0.6,"1,20 mill. €"
907,POR,PO,Granada,22,1999,35,35,3136,0,0,0,2,0,0.0,0.0,"6,00 mill. €"
908,ESP,Delantero,Getafe,24,1997,18,11,1044,6,1,7,3,0,2.6,1.2,"9,00 mill. €"
909,ESP,Delantero,Mallorca,22,1999,11,5,434,0,0,0,2,0,0.5,0.1,"1,20 mill. €"
910,ESP,Centrocampista,Espanyol,23,1997,21,14,990,0,0,0,0,0,0.5,1.7,"2,00 mill. €"
911,ESP,Centrocampista,Levante,27,1994,29,20,1692,7,2,9,5,0,4.2,1.0,"3,00 mill. €"
912,NED,Delantero,Barcelona,27,1994,28,20,1851,12,2,14,3,0,11.2,4.4,"14,00 mill. €"
913,ESP,Centrocampista,Alavés,16,2004,1,0,9,0,0,0,0,0,0.0,0.0,100 mil €
914,ESP,Centrocampista,Celta Vigo,24,1997,37,36,3021,4,5,9,8,0,4.6,3.3,"30,00 mill. €"
915,ESP,Delantero,Alavés,31,1990,32,17,1614,1,1,2,6,0,1.5,2.5,"1,00 mill. €"
916,FRA,Defensa,Real Madrid,26,1995,22,20,1734,2,1,3,4,0,1.0,1.4,700 mil €
917,ESP,Centrocampista,Espanyol,31,1990,10,3,266,0,0,0,2,1,0.1,0.2,"20,00 mill. €"
918,ESP,Centrocampista,Real Sociedad,25,1996,34,33,2890,3,2,5,8,0,4.1,3.6,"50,00 mill. €"
919,ESP,Delantero,Rayo Vallecano,26,1995,4,3,173,0,0,0,0,0,0.2,0.9,800 mil €
920,USA,Defensa,Alavés,26,1995,11,9,833,0,0,0,2,0,0.3,0.2,"1,80 mill. €"
921,ESP,Delantero,Alavés,21,1999,22,10,829,1,1,2,2,0,1.9,0.3,"32,00 mill. €"
922,BRA,Defensa,Real Madrid,23,1998,34,34,3031,1,2,3,5,0,2.5,1.1,"70,00 mill. €"
924,ESP,Centrocampista,Elche,28,1992,32,17,1644,8,3,11,4,0,4.9,1.7,"3,00 mill. €"
925,ESP,Delantero,Celta Vigo,25,1995,33,30,2367,7,3,10,4,0,8.5,2.6,"2,00 mill. €"
926,ESP,Defensa,Barcelona,22,1999,19,9,894,0,1,1,2,0,0.3,0.9,"6,00 mill. €"
927,ESP,Delantero,Sevilla,24,1997,34,18,1808,10,0,10,6,0,7.5,0.3,"1,50 mill. €"
928,ESP,Defensa,Levante,32,1989,29,22,1977,1,0,1,5,0,0.4,1.5,"2,00 mill. €"
929,ESP,Defensa,Betis,21,2000,13,9,783,0,2,2,3,0,0.2,1.4,"3,00 mill. €"
930,SRB,Defensa,Getafe,31,1990,32,31,2667,0,0,0,8,1,0.2,0.0,"3,00 mill. €"
931,CRO,Centrocampista,Real Madrid,35,1985,28,25,2032,2,8,10,4,0,2.5,5.2,"9,00 mill. €"
932,COL,Defensa,Elche,28,1992,33,32,2855,2,5,7,4,1,0.8,5.3,"10,00 mill. €"
934,ESP,Centrocampista,Osasuna,23,1998,36,33,2915,2,3,5,2,0,2.3,1.7,"12,00 mill. €"
935,ESP,Centrocampista,Granada,21,1999,14,7,668,0,0,0,3,1,0.4,0.8,"5,00 mill. €"
936,ARG,Defensa,Sevilla,24,1997,18,15,1066,1,2,3,7,0,0.3,1.9,"12,00 mill. €"
937,ESP,Centrocampista,Granada,33,1988,24,13,1331,1,1,2,5,0,1.4,1.5,500 mil €
938,ESP,Defensa,Betis,30,1991,6,6,518,0,1,1,2,0,0.3,1.0,900 mil €
939,ESP,Centrocampista,Athletic Club,22,1998,7,0,54,0,0,0,2,0,0.6,0.0,"1,50 mill. €"
940,ESP,Centrocampista,Villarreal,29,1992,24,13,1223,3,2,5,3,0,3.1,1.9,"2,00 mill. €"
941,ESP,Defensa,Betis,28,1993,30,28,2404,5,3,8,3,1,3.8,1.9,"15,00 mill. €"
942,ESP,Delantero,Villarreal,29,1992,17,14,1191,9,3,12,2,0,7.4,4.9,"15,00 mill. €"
943,ESP,Centrocampista,Elche,24,1996,32,18,1632,3,3,6,4,0,3.0,1.8,"2,50 mill. €"
944,GUI,Centrocampista,Valencia,18,2003,14,9,818,0,0,0,9,1,0.7,0.2,"2,50 mill. €"
945,ESP,Centrocampista,Espanyol,22,1999,27,11,1144,2,0,2,6,1,0.7,0.3,"2,00 mill. €"
946,ESP,Delantero,Espanyol,27,1993,21,4,563,1,0,1,0,0,0.7,0.7,"4,00 mill. €"
947,ESP,Delantero,Betis,27,1993,1,0,4,0,0,0,0,0,0.0,0.0,"1,50 mill. €"
948,COL,Defensa,Valencia,17,2004,6,3,212,0,0,0,1,0,0.3,0.0,"2,00 mill. €"
949,ESP,Centrocampista,Alavés,23,1998,28,17,1386,0,1,1,2,0,1.3,1.8,"9,00 mill. €"
950,ESP,Centrocampista,Athletic Club,28,1992,35,34,2785,4,10,14,3,0,5.8,9.5,"2,00 mill. €"
951,ESP,Defensa,Real Sociedad,23,1997,20,15,1342,0,0,0,4,1,0.1,0.4,"6,00 mill. €"
952,COL,Defensa,Celta Vigo,29,1992,19,12,1117,0,0,0,5,1,0.5,0.0,900 mil €
953,KVX,Delantero,Mallorca,27,1994,16,16,1438,5,3,8,6,0,5.3,1.4,"15,00 mill. €"
954,USA,Centrocampista,Valencia,18,2002,29,13,1259,1,0,1,5,0,0.5,1.2,"20,00 mill. €"
955,GER,Defensa,Levante,29,1992,11,8,658,1,0,1,1,0,0.1,0.0,800 mil €
957,ESP,Centrocampista,Real Sociedad,19,2002,6,3,199,0,0,0,0,0,0.5,0.0,600 mil €
959,BRA,PO,Barcelona,32,1989,3,3,270,0,0,0,0,0,0.0,0.0,"5,00 mill. €"
960,ESP,Defensa,Granada,25,1996,26,24,2108,0,0,0,1,0,1.0,1.2,"12,00 mill. €"
961,ESP,Delantero,Atlético Madrid,26,1994,3,2,201,0,1,1,0,0,0.3,0.1,"2,00 mill. €"
962,ESP,Delantero,Mallorca,20,2000,23,9,884,2,0,2,2,0,3.8,0.4,"3,00 mill. €"
963,ESP,Defensa,Athletic Club,22,1998,1,0,1,0,0,0,0,0,0.0,0.0,"1,00 mill. €"
965,ESP,Defensa,Athletic Club,24,1997,9,7,622,0,0,0,2,0,0.8,0.2,"1,00 mill. €"
966,CMR,Defensa,Getafe,33,1988,5,3,244,0,0,0,1,0,0.0,0.1,"6,00 mill. €"
967,SVN,PO,Atlético Madrid,28,1993,38,38,3420,0,0,0,2,0,0.0,0.0,"35,00 mill. €"
968,ARG,Delantero,Sevilla,27,1994,30,23,2125,6,4,10,7,0,5.9,1.9,"12,00 mill. €"
969,URU,Defensa,Elche,27,1994,5,3,295,1,0,1,1,0,0.7,0.3,"2,50 mill. €"
970,ESP,PO,Espanyol,31,1989,2,1,135,0,0,0,0,0,0.0,0.0,200 mil €
971,ESP,Defensa,Mallorca,27,1994,28,24,2189,1,0,1,7,0,1.8,2.2,"6,00 mill. €"
972,URU,Defensa,Getafe,23,1997,32,32,2803,1,3,4,10,0,2.4,2.4,"18,00 mill. €"
973,ESP,Delantero,Osasuna,23,1997,3,0,39,0,0,0,0,0,0.1,0.0,"1,00 mill. €"
974,ESP,Centrocampista,Sevilla,20,2000,1,0,7,0,0,0,0,0,0.3,0.5,"2,00 mill. €"
975,MNE,Delantero,Cádiz,22,1999,10,2,257,0,0,0,0,0,0.3,0.0,800 mil €
976,EQG,PO,Alavés,20,2001,1,1,90,0,0,0,0,0,0.0,0.0,200 mil €
977,ESP,Delantero,Real Sociedad,24,1997,22,19,1671,9,3,12,0,1,9.3,3.7,"40,00 mill. €"
978,ESP,Defensa,Real Sociedad,20,2001,10,4,381,0,0,0,1,0,0.0,0.0,"1,20 mill. €"
979,COL,Defensa,Elche,28,1993,26,22,1931,0,0,0,6,0,0.1,0.1,"8,00 mill. €"
980,ESP,Delantero,Rayo Vallecano,26,1994,34,27,2288,2,4,6,7,0,3.1,3.1,"4,00 mill. €"
981,ESP,Centrocampista,Villarreal,32,1989,33,32,2704,2,10,12,3,0,1.5,6.9,400 mil €
982,ESP,Defensa,Cádiz,21,1999,2,1,88,0,0,0,0,0,0.0,0.0,300 mil €
983,ARG,Centrocampista,Elche,32,1989,13,6,525,0,0,0,2,1,0.5,0.7,"12,00 mill. €"
984,BRA,Defensa,Valencia,30,1990,19,19,1592,2,1,3,2,0,0.8,0.2,"2,50 mill. €"
985,ESP,Defensa,Villarreal,25,1996,28,19,1701,4,4,8,2,0,1.9,5.2,"100,00 mill. €"
986,ESP,Centrocampista,Barcelona,18,2002,12,10,885,3,1,4,0,0,1.3,1.2,"5,00 mill. €"
987,ESP,Defensa,Espanyol,23,1998,31,31,2720,1,1,2,8,0,1.0,1.2,"12,00 mill. €"
988,URU,Centrocampista,Alavés,19,2001,21,6,672,0,0,0,0,0,0.5,0.5,"8,00 mill. €"
989,ESP,Centrocampista,Cádiz,30,1990,18,8,777,0,1,1,2,0,0.9,0.6,"1,00 mill. €"
991,ESP,PO,Osasuna,25,1996,2,2,180,0,0,0,0,0,0.0,0.0,300 mil €
992,ESP,Centrocampista,Elche,24,1997,12,5,519,2,0,2,1,0,1.0,0.8,"4,50 mill. €"
993,ESP,Delantero,Elche,32,1988,18,16,1266,2,1,3,0,0,2.2,1.6,800 mil €
994,ESP,Delantero,Cádiz,32,1988,15,11,1060,3,2,5,1,0,3.3,3.7,800 mil €
995,SRB,Centrocampista,Granada,22,1999,15,10,918,0,1,1,5,0,0.7,0.1,"2,20 mill. €"
996,ESP,Defensa,Athletic Club,24,1997,17,1,412,0,0,0,4,0,0.1,0.3,600 mil €
997,ARG,Defensa,Betis,30,1991,23,22,1988,1,0,1,5,1,1.3,0.0,"5,00 mill. €"
998,ARG,Centrocampista,Elche,32,1989,10,3,312,0,0,0,0,0,0.2,0.4,400 mil €
999,ITA,Defensa,Valencia,28,1992,6,3,322,1,0,1,1,0,0.2,0.1,700 mil €
1000,ESP,Centrocampista,Alavés,33,1987,29,16,1444,0,0,0,4,0,0.5,0.3,250 mil €
1001,MEX,Centrocampista,Celta Vigo,25,1996,7,0,99,0,0,0,0,0,0.5,0.0,"6,50 mill. €"
1002,ARG,Delantero,Elche,24,1997,13,5,667,1,0,1,1,1,2.5,0.3,"3,00 mill. €"
1003,ESP,Centrocampista,Alavés,28,1993,27,17,1366,1,0,1,2,0,1.5,0.6,"1,20 mill. €"
1004,ESP,Delantero,Real Sociedad,29,1992,37,17,1590,1,2,3,5,0,2.9,2.5,500 mil €
1005,ESP,Defensa,Levante,32,1988,13,10,848,0,0,0,3,0,0.1,0.1,"3,50 mill. €"
1006,ESP,Delantero,Getafe,24,1997,15,3,380,1,0,1,0,0,0.3,0.1,600 mil €
1008,ESP,Delantero,Mallorca,28,1992,23,6,641,3,0,3,3,0,1.5,0.7,"2,00 mill. €"
1009,ESP,PO,Levante,17,2004,1,1,90,0,0,0,0,0,0.0,0.0,100 mil €
1010,ESP,Centrocampista,Espanyol,23,1998,30,26,2245,4,1,5,5,0,4.9,1.2,"8,00 mill. €"
1011,ESP,Defensa,Levante,18,2003,11,5,512,0,1,1,1,0,0.9,1.2,"2,50 mill. €"
1012,ESP,Centrocampista,Granada,29,1992,33,25,2261,6,1,7,4,0,3.5,0.9,"3,00 mill. €"
1013,ESP,Centrocampista,Barcelona,21,1999,15,2,487,1,0,1,0,0,0.7,0.2,600 mil €
1014,MAR,Delantero,Rayo Vallecano,30,1991,1,0,4,0,0,0,0,0,0.0,0.0,"1,50 mill. €"
1016,ESP,Centrocampista,Villarreal,25,1995,7,0,89,0,0,0,1,0,0.0,0.3,"12,00 mill. €"
1017,ESP,Centrocampista,Granada,25,1995,2,0,26,0,0,0,0,0,0.0,0.0,"1,50 mill. €"
1018,SRB,Centrocampista,Valencia,23,1998,28,13,1206,0,0,0,3,1,0.9,0.4,"1,50 mill. €"
1019,SRB,Centrocampista,Levante,28,1993,19,17,1214,0,0,0,3,0,0.3,0.8,"2,50 mill. €"
1020,ESP,Defensa,Mallorca,29,1991,17,17,1530,2,0,2,8,0,0.7,0.0,"4,00 mill. €"
1021,CRO,Centrocampista,Sevilla,33,1988,35,26,2182,4,6,10,5,0,3.2,2.6,500 mil €
1022,ESP,Defensa,Osasuna,28,1993,3,3,243,0,0,0,0,0,0.0,0.0,"1,80 mill. €"
1023,ESP,Delantero,Getafe,26,1995,29,19,1462,3,0,3,7,0,3.0,0.9,"2,50 mill. €"
1024,ESP,Delantero,Betis,20,2000,1,0,1,0,0,0,0,0,0.0,0.0,"5,00 mill. €"
1025,ESP,Defensa,Espanyol,19,2002,1,0,45,0,0,0,0,0,0.0,0.0,150 mil €
1026,ESP,PO,Mallorca,36,1985,21,21,1890,0,0,0,5,1,0.0,0.0,200 mil €
1027,NED,Defensa,Sevilla,26,1994,18,11,1098,0,2,2,2,0,0.2,0.4,"4,00 mill. €"
1028,ESP,PO,Real Sociedad,26,1995,35,35,3150,0,0,0,1,0,0.0,0.0,"25,00 mill. €"
1029,ESP,Defensa,Real Sociedad,28,1993,21,19,1644,0,0,0,4,0,0.2,0.9,"3,00 mill. €"
1030,ESP,PO,Mallorca,27,1993,14,14,1260,0,0,0,0,0,0.0,0.0,"3,00 mill. €"
1031,ESP,Centrocampista,Alavés,27,1993,37,36,3111,1,3,4,3,0,3.0,5.1,"3,00 mill. €"
1032,ESP,Defensa,Levante,26,1995,27,21,2010,1,0,1,5,1,1.3,0.2,"30,00 mill. €"
