,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada
764,Michael Keane,ENG,Defensa,Everton,25,1993,33,33,2969,1,2,3,2,0,2.3,1.4,2018-2019
765,Neeskens Kebano,COD,Delantero,Fulham,26,1992,7,0,108,0,0,0,0,0,0.1,0.0,2018-2019
766,Naby Keïta,GUI,Centrocampista,Liverpool,23,1995,25,16,1390,2,1,3,0,0,2.0,1.0,2018-2019
767,Martin Kelly,ENG,Defensa,Crystal Palace,28,1990,13,12,1111,0,0,0,2,0,0.4,0.0,2018-2019
768,Kenedy,BRA,Centrocampista,Newcastle Utd,22,1996,25,14,1348,1,1,2,1,0,2.2,0.7,2018-2019
769,Jonjoe Kenny,ENG,Defensa,Everton,21,1997,10,8,791,0,1,1,1,0,0.1,0.6,2018-2019
770,Max Kilman,ENG,Defensa,Wolves,21,1997,1,0,1,0,0,0,0,0,0.0,0.0,2018-2019
771,Joshua King,NOR,Delantero,Bournemouth,26,1992,35,34,2961,12,3,15,3,0,13.5,3.8,2018-2019
772,Anthony Knockaert,FRA,Centrocampista,Brighton,26,1991,30,18,1837,2,6,8,4,1,2.1,3.6,2018-2019
773,Sead Kolašinac,BIH,Defensa,Arsenal,25,1993,24,22,1887,0,5,5,5,0,0.4,6.0,2018-2019
774,Vincent Kompany,BEL,Defensa,Manchester City,32,1986,17,13,1224,1,0,1,6,0,0.3,0.0,2018-2019
775,Terence Kongolo,NED,Defensa,Huddersfield,24,1994,32,32,2716,1,1,2,4,0,1.3,1.1,2018-2019
776,Laurent Koscielny,FRA,Defensa,Arsenal,32,1985,17,13,1331,3,0,3,1,0,1.4,0.2,2018-2019
777,Cheikhou Kouyaté,SEN,Centrocampista,Crystal Palace,28,1989,31,21,1899,0,2,2,3,0,1.1,1.1,2018-2019
778,Mateo Kovačić,CRO,Centrocampista,Chelsea,24,1994,32,21,1735,0,2,2,3,0,2.2,1.7,2018-2019
779,Rajiv van La Parra,NED,Delantero,Huddersfield,27,1991,5,5,405,0,0,0,0,0,0.2,0.1,2018-2019
780,Alexandre Lacazette,FRA,Delantero,Arsenal,27,1991,35,27,2502,13,8,21,2,0,11.7,3.7,2018-2019
781,Adam Lallana,ENG,Centrocampista,Liverpool,30,1988,13,5,468,0,0,0,1,0,0.3,0.5,2018-2019
782,Érik Lamela,ARG,Centrocampista,Tottenham,26,1992,19,9,974,4,2,6,2,0,3.3,1.8,2018-2019
783,Manuel Lanzini,ARG,Centrocampista,West Ham,25,1993,10,8,686,1,1,2,2,0,1.1,0.8,2018-2019
784,Aymeric Laporte,ESP,Defensa,Manchester City,24,1994,35,34,3057,3,3,6,3,0,3.0,0.8,2018-2019
785,Jamaal Lascelles,ENG,Defensa,Newcastle Utd,24,1993,32,32,2745,0,1,1,4,0,0.6,0.9,2018-2019
786,Maxime Le Marchand,FRA,Defensa,Fulham,28,1989,26,25,2250,0,1,1,5,0,0.3,0.7,2018-2019
787,Florian Lejeune,FRA,Defensa,Newcastle Utd,27,1991,12,12,1054,0,0,0,0,0,0.4,0.4,2018-2019
788,Mario Lemina,GAB,Centrocampista,Southampton,24,1993,21,18,1613,1,1,2,5,0,1.1,1.1,2018-2019
789,Aaron Lennon,ENG,Centrocampista,Burnley,31,1987,16,14,1215,1,1,2,1,0,0.8,0.7,2018-2019
790,Bernd Leno,GER,PO,Arsenal,26,1992,32,31,2836,0,0,0,0,0,0.0,0.0,2018-2019
791,Jefferson Lerma,COL,Centrocampista,Bournemouth,23,1994,30,29,2506,2,0,2,12,0,1.3,1.1,2018-2019
792,Stephan Lichtsteiner,SUI,Defensa,Arsenal,34,1984,14,10,938,0,0,0,3,0,0.0,0.1,2018-2019
793,Victor Lindelöf,SWE,Defensa,Manchester Utd,24,1994,30,29,2601,1,1,2,1,0,0.7,1.2,2018-2019
794,Jesse Lingard,ENG,Delantero,Manchester Utd,25,1992,27,19,1663,4,2,6,3,0,4.7,2.7,2018-2019
795,Fernando Llorente,ESP,Delantero,Tottenham,33,1985,20,6,694,1,4,5,2,0,3.4,1.6,2018-2019
796,Hugo Lloris,FRA,PO,Tottenham,31,1986,33,33,2970,0,0,0,0,0,0.0,0.0,2018-2019
797,Jürgen Locadia,NED,Delantero,Brighton,24,1993,26,12,1236,2,0,2,1,0,2.7,1.0,2018-2019
798,Ruben Loftus-Cheek,ENG,Centrocampista,Chelsea,22,1996,24,6,998,6,2,8,0,0,2.8,0.8,2018-2019
799,Kevin Long,IRL,Defensa,Burnley,27,1990,6,5,514,0,1,1,0,0,0.1,0.5,2018-2019
800,Shane Long,IRL,Delantero,Southampton,31,1987,26,12,1272,5,1,6,3,0,4.6,1.6,2018-2019
801,Sean Longstaff,ENG,Centrocampista,Newcastle Utd,20,1997,9,8,687,1,0,1,2,0,0.7,0.5,2018-2019
802,Ademola Lookman,NGA,Delantero,Everton,20,1997,21,3,618,0,2,2,0,0,1.4,1.4,2018-2019
803,Jonas Lössl,DEN,PO,Huddersfield,29,1989,31,30,2778,0,1,1,1,0,0.0,0.5,2018-2019
804,Dejan Lovren,CRO,Defensa,Liverpool,29,1989,13,11,986,1,0,1,1,0,0.7,0.1,2018-2019
805,Chris Löwe,GER,Defensa,Huddersfield,29,1989,29,23,2057,0,2,2,2,0,0.6,1.7,2018-2019
806,Matthew Lowton,ENG,Defensa,Burnley,29,1989,21,19,1750,0,0,0,7,0,0.6,0.7,2018-2019
807,David Luiz,BRA,Defensa,Chelsea,31,1987,36,36,3238,3,2,5,3,0,2.6,2.9,2018-2019
808,Romelu Lukaku,BEL,Delantero,Manchester Utd,25,1993,32,22,2136,12,0,12,4,0,10.5,2.2,2018-2019
809,James Maddison,ENG,Centrocampista,Leicester City,21,1996,36,35,2831,7,7,14,4,1,7.4,8.2,2018-2019
810,Gary Madine,ENG,Delantero,Cardiff City,27,1990,5,0,37,0,0,0,0,0,0.0,0.0,2018-2019
811,Harry Maguire,ENG,Defensa,Leicester City,25,1993,31,31,2596,3,0,3,6,1,2.4,0.8,2018-2019
812,Riyad Mahrez,ALG,Delantero,Manchester City,27,1991,27,14,1343,7,4,11,0,0,5.5,4.6,2018-2019
813,Ainsley Maitland-Niles,ENG,Defensa,Arsenal,20,1997,16,11,987,1,1,2,2,1,0.9,0.9,2018-2019
814,Sadio Mané,SEN,Delantero,Liverpool,26,1992,36,35,3077,22,1,23,2,0,15.1,4.5,2018-2019
815,Javier Manquillo,ESP,Defensa,Newcastle Utd,24,1994,18,12,1101,0,3,3,2,0,0.1,0.7,2018-2019
816,Solly March,ENG,Delantero,Brighton,24,1994,35,30,2463,1,5,6,1,0,2.5,4.3,2018-2019
817,Adrian Mariappa,JAM,Defensa,Watford,31,1986,26,20,1927,0,0,0,3,0,0.7,0.6,2018-2019
818,Lazar Marković,SRB,Centrocampista,Fulham,24,1994,1,0,45,0,0,0,0,0,0.0,0.0,2018-2019
819,Anthony Martial,FRA,Delantero,Manchester Utd,22,1995,27,18,1621,10,2,12,2,0,6.2,2.9,2018-2019
820,Adam Masina,MAR,Defensa,Watford,24,1994,14,11,1004,0,1,1,5,0,0.1,0.8,2018-2019
821,Arthur Masuaku,COD,Defensa,West Ham,24,1993,23,19,1759,0,1,1,2,0,0.1,0.8,2018-2019
822,Juan Mata,ESP,Delantero,Manchester Utd,30,1988,22,16,1289,3,2,5,3,0,1.6,2.9,2018-2019
823,Nemanja Matić,SRB,Centrocampista,Manchester Utd,29,1988,28,28,2436,1,0,1,7,1,1.3,0.5,2018-2019
824,Joël Matip,CMR,Defensa,Liverpool,26,1991,22,17,1537,1,0,1,3,0,0.7,0.2,2018-2019
825,Konstantinos Mavropanos,GRE,Defensa,Arsenal,20,1997,4,3,148,0,0,0,1,0,0.1,0.3,2018-2019
826,Alfie Mawson,ENG,Defensa,Fulham,24,1994,15,13,1131,0,0,0,2,0,0.1,0.1,2018-2019
827,Isaac Mbenza,BEL,Delantero,Huddersfield,22,1996,22,10,986,1,1,2,1,0,1.0,0.9,2018-2019
828,James McArthur,SCO,Centrocampista,Crystal Palace,30,1987,38,36,3058,3,6,9,7,0,4.1,3.3,2018-2019
829,Alex McCarthy,ENG,PO,Southampton,28,1989,25,25,2250,0,0,0,1,0,0.0,0.0,2018-2019
830,James McCarthy,IRL,Centrocampista,Everton,27,1990,1,0,15,0,0,0,0,0,0.0,0.0,2018-2019
831,Kevin McDonald,SCO,Centrocampista,Fulham,29,1988,15,10,841,0,0,0,5,1,0.1,0.1,2018-2019
832,Dwight McNeil,ENG,Centrocampista,Burnley,18,1999,21,19,1591,3,5,8,2,0,2.0,3.4,2018-2019
833,Scott McTominay,SCO,Centrocampista,Manchester Utd,21,1996,16,9,867,2,0,2,1,0,1.5,0.0,2018-2019
834,Ben Mee,ENG,Defensa,Burnley,28,1989,38,38,3420,0,2,2,9,0,1.6,1.1,2018-2019
835,Nathaniel Mendez-Laing,GUA,Centrocampista,Cardiff City,26,1992,20,11,985,4,1,5,0,0,2.3,1.5,2018-2019
836,Benjamin Mendy,FRA,Defensa,Manchester City,24,1994,10,10,900,0,5,5,1,0,0.2,1.6,2018-2019
837,Nampalys Mendy,SEN,Centrocampista,Leicester City,26,1992,31,23,2092,0,0,0,5,0,0.1,0.2,2018-2019
838,Chris Mepham,WAL,Defensa,Bournemouth,20,1997,13,10,850,0,1,1,1,0,0.1,0.5,2018-2019
839,Max Meyer,GER,Centrocampista,Crystal Palace,22,1995,29,15,1416,1,2,3,3,0,1.8,1.2,2018-2019
840,Luka Milivojević,SRB,Centrocampista,Crystal Palace,27,1991,38,38,3420,12,2,14,10,0,10.9,3.0,2018-2019
841,James Milner,ENG,Centrocampista,Liverpool,32,1986,31,19,1789,5,4,9,6,1,3.4,5.3,2018-2019
842,Yerry Mina,COL,Defensa,Everton,23,1994,13,10,892,1,0,1,3,0,0.3,0.1,2018-2019
843,Tyrone Mings,ENG,Defensa,Bournemouth,25,1993,5,2,143,0,0,0,0,0,0.0,0.1,2018-2019
844,Aleksandar Mitrović,SRB,Delantero,Fulham,23,1994,37,37,3280,11,3,14,7,0,14.1,3.2,2018-2019
845,Henrikh Mkhitaryan,ARM,Delantero,Arsenal,29,1989,25,19,1641,6,4,10,1,0,5.0,6.2,2018-2019
846,Nacho Monreal,ESP,Defensa,Arsenal,32,1986,22,21,1861,1,3,4,5,0,1.3,1.7,2018-2019
847,Martín Montoya,ESP,Defensa,Brighton,27,1991,25,24,2167,0,1,1,4,0,0.2,1.2,2018-2019
848,Aaron Mooy,AUS,Centrocampista,Huddersfield,27,1990,29,25,2330,3,1,4,4,0,2.8,2.6,2018-2019
849,Álvaro Morata,ESP,Delantero,Chelsea,25,1992,16,11,941,5,0,5,3,0,6.1,0.2,2018-2019
850,Alberto Moreno,ESP,Defensa,Liverpool,26,1992,2,2,154,0,0,0,0,0,0.0,0.1,2018-2019
851,Wes Morgan,JAM,Defensa,Leicester City,34,1984,22,21,1925,3,0,3,3,2,1.8,0.2,2018-2019
852,Sean Morrison,ENG,Defensa,Cardiff City,27,1991,34,34,3039,1,3,4,6,0,5.0,3.7,2018-2019
853,Victor Moses,NGA,Delantero,Chelsea,27,1990,2,0,28,0,0,0,0,0,0.0,0.1,2018-2019
854,Steve Mounié,BEN,Delantero,Huddersfield,23,1994,31,19,1778,2,3,5,1,1,5.8,1.9,2018-2019
855,Lucas Moura,BRA,Delantero,Tottenham,25,1992,32,25,2121,10,0,10,3,0,6.3,1.5,2018-2019
856,Lys Mousset,FRA,Delantero,Bournemouth,22,1996,24,1,368,1,0,1,1,0,1.4,0.3,2018-2019
857,João Moutinho,POR,Centrocampista,Wolves,31,1986,38,35,3032,1,8,9,4,0,0.7,6.5,2018-2019
858,Jacob Murphy,ENG,Centrocampista,Newcastle Utd,23,1995,9,3,302,0,1,1,0,0,0.1,0.6,2018-2019
859,Josh Murphy,ENG,Centrocampista,Cardiff City,23,1995,29,22,1817,3,2,5,2,0,4.1,3.9,2018-2019
860,Glenn Murray,ENG,Delantero,Brighton,34,1983,38,30,2508,13,1,14,5,0,11.4,1.3,2018-2019
861,Shkodran Mustafi,GER,Defensa,Arsenal,26,1992,31,31,2611,2,0,2,9,0,1.5,0.6,2018-2019
862,Yoshinori Mutō,JPN,Delantero,Newcastle Utd,26,1992,17,5,524,1,0,1,1,0,0.9,0.8,2018-2019
863,Georges-Kévin N'Koudou,CMR,Delantero,Tottenham,23,1995,1,0,5,0,1,1,0,0,0.0,0.5,2018-2019
864,Samir Nasri,FRA,Centrocampista,West Ham,31,1987,5,3,245,0,2,2,0,0,0.1,0.3,2018-2019
865,Marc Navarro,ESP,Defensa,Watford,23,1995,2,1,84,0,0,0,0,0,0.0,0.0,2018-2019
866,Wilfred Ndidi,NGA,Centrocampista,Leicester City,21,1996,38,37,3296,2,0,2,8,0,3.7,1.8,2018-2019
867,Rúben Neves,POR,Centrocampista,Wolves,21,1997,35,34,3007,4,3,7,8,0,4.0,1.9,2018-2019
868,Oumar Niasse,SEN,Delantero,Cardiff City,28,1990,13,12,931,0,0,0,0,0,3.4,0.6,2018-2019
869,Oumar Niasse,SEN,Delantero,Everton,28,1990,5,0,63,0,0,0,0,0,0.5,0.2,2018-2019
870,Eddie Nketiah,ENG,Centrocampista,Arsenal,19,1999,5,0,67,1,0,1,0,0,0.2,0.1,2018-2019
871,Mark Noble,ENG,Centrocampista,West Ham,31,1987,31,29,2291,5,5,10,6,1,3.7,1.9,2018-2019
872,Håvard Nordtveit,NOR,Defensa,Fulham,28,1990,5,4,362,0,1,1,0,0,0.0,0.1,2018-2019
873,Will Norris,ENG,PO,Wolves,24,1993,1,0,1,0,0,0,0,0,0.0,0.0,2018-2019
874,Michael Obafemi,IRL,Delantero,Southampton,18,2000,6,1,137,1,1,2,1,0,1.7,0.4,2018-2019
875,Pedro Obiang,EQG,Centrocampista,West Ham,26,1992,24,12,1128,0,1,1,0,0,0.6,1.0,2018-2019
876,Denis Odoi,GHA,Defensa,Fulham,30,1988,31,29,2594,0,1,1,4,0,0.6,0.7,2018-2019
877,Angelo Ogbonna,ITA,Defensa,West Ham,30,1988,24,20,1874,1,1,2,2,0,1.8,0.9,2018-2019
878,Stefano Okaka,ITA,Delantero,Watford,28,1989,2,0,24,0,0,0,1,0,0.5,0.1,2018-2019
879,Shinji Okazaki,JPN,Centrocampista,Leicester City,32,1986,21,1,288,0,1,1,0,0,0.6,0.1,2018-2019
880,Divock Origi,BEL,Delantero,Liverpool,23,1995,12,4,371,3,1,4,0,0,2.2,0.2,2018-2019
881,Nicolás Otamendi,ARG,Defensa,Manchester City,30,1988,18,14,1236,0,0,0,1,0,1.3,0.2,2018-2019
882,Alex Oxlade-Chamberlain,ENG,Centrocampista,Liverpool,24,1993,2,0,21,0,0,0,0,0,0.5,0.1,2018-2019
883,Mesut Özil,GER,Centrocampista,Arsenal,29,1988,24,20,1735,5,2,7,2,0,1.7,4.1,2018-2019
884,Emerson Palmieri,ITA,Defensa,Chelsea,23,1994,10,7,663,0,0,0,0,0,0.3,0.3,2018-2019
885,Sokratis Papastathopoulos,GRE,Defensa,Arsenal,30,1988,25,25,2198,1,2,3,12,0,0.8,0.7,2018-2019
886,Callum Paterson,SCO,Delantero,Cardiff City,23,1994,27,21,1998,4,1,5,4,0,5.5,2.8,2018-2019
887,Rui Patrício,POR,PO,Wolves,30,1988,37,37,3329,0,0,0,1,0,0.0,0.0,2018-2019
888,Pedro,ESP,Delantero,Chelsea,31,1987,31,21,1778,8,2,10,2,0,5.3,3.5,2018-2019
889,Lee Peltier,ENG,Defensa,Cardiff City,31,1986,20,17,1544,0,0,0,4,0,0.0,0.1,2018-2019
890,Andreas Pereira,BRA,Centrocampista,Manchester Utd,22,1996,15,6,599,1,1,2,5,0,0.3,0.9,2018-2019
891,Ricardo Pereira,POR,Defensa,Leicester City,24,1993,35,35,3123,2,6,8,7,0,1.2,5.2,2018-2019
892,Roberto Pereyra,ARG,Centrocampista,Watford,27,1991,33,33,2815,6,1,7,3,0,5.4,3.2,2018-2019
893,Ayoze Pérez,ESP,Centrocampista,Newcastle Utd,25,1993,37,34,2917,12,2,14,2,0,7.5,3.6,2018-2019
894,Lucas Pérez,ESP,Delantero,West Ham,29,1988,15,4,475,3,0,3,0,0,1.3,0.8,2018-2019
895,Jordan Pickford,ENG,PO,Everton,24,1994,38,38,3420,0,0,0,1,0,0.0,0.0,2018-2019
896,Paul Pogba,FRA,Centrocampista,Manchester Utd,25,1993,35,34,3006,13,9,22,6,0,15.0,4.7,2018-2019
897,Alex Pritchard,ENG,Centrocampista,Huddersfield,25,1993,30,26,2081,2,0,2,2,0,2.7,1.8,2018-2019
898,Sebastian Prödl,AUT,Defensa,Watford,31,1987,1,0,13,0,0,0,0,0,0.0,0.0,2018-2019
899,Davy Pröpper,NED,Centrocampista,Brighton,26,1991,30,30,2546,1,1,2,2,0,0.9,1.3,2018-2019
900,Jason Puncheon,ENG,Centrocampista,Crystal Palace,32,1986,5,0,13,0,0,0,0,0,0.0,0.0,2018-2019
901,Jason Puncheon,ENG,Centrocampista,Huddersfield,32,1986,6,5,382,0,0,0,1,0,0.3,0.5,2018-2019
902,Collin Quaner,GER,Delantero,Huddersfield,27,1991,2,0,39,0,0,0,0,0,0.0,0.1,2018-2019
903,Domingos Quina,POR,Centrocampista,Watford,18,1999,8,3,338,1,0,1,0,0,0.2,0.1,2018-2019
904,Joe Ralls,ENG,Centrocampista,Cardiff City,24,1993,28,22,1959,0,0,0,4,1,1.6,3.2,2018-2019
905,Aaron Ramsey,WAL,Centrocampista,Arsenal,27,1990,28,14,1331,4,6,10,0,0,3.4,2.0,2018-2019
906,Kayne Ramsey,ENG,Defensa,Southampton,17,2000,1,1,90,0,0,0,0,0,0.0,0.0,2018-2019
907,Marcus Rashford,ENG,Delantero,Manchester Utd,20,1997,33,26,2334,10,6,16,3,1,10.7,5.0,2018-2019
908,Tim Ream,USA,Defensa,Fulham,30,1987,26,25,2047,0,0,0,1,0,0.0,0.1,2018-2019
909,Nathan Redmond,ENG,Centrocampista,Southampton,24,1994,38,36,3270,6,4,10,3,0,7.6,4.7,2018-2019
910,Bobby Reid,JAM,Delantero,Cardiff City,25,1993,27,16,1424,5,2,7,0,0,3.8,1.2,2018-2019
911,Declan Rice,ENG,Centrocampista,West Ham,19,1999,34,34,3003,2,0,2,4,0,1.2,0.4,2018-2019
912,Jazz Richards,WAL,Defensa,Cardiff City,27,1991,4,0,132,0,0,0,0,0,0.0,0.0,2018-2019
913,Richarlison,BRA,Delantero,Everton,21,1997,35,32,2665,13,1,14,5,1,9.4,2.0,2018-2019
914,Diego Rico,ESP,Defensa,Bournemouth,25,1993,12,5,612,0,0,0,1,0,0.2,1.1,2018-2019
915,Sergio Rico,ESP,PO,Fulham,24,1993,29,29,2610,0,0,0,1,0,0.0,0.1,2018-2019
916,Matt Ritchie,SCO,Defensa,Newcastle Utd,28,1989,36,35,2928,2,8,10,9,0,5.1,5.3,2018-2019
917,Andrew Robertson,SCO,Defensa,Liverpool,24,1994,36,36,3216,0,11,11,4,0,0.7,7.2,2018-2019
918,Marcos Rojo,ARG,Defensa,Manchester Utd,28,1990,5,2,212,0,0,0,2,0,0.2,0.0,2018-2019
919,Oriol Romeu,ESP,Centrocampista,Southampton,26,1991,31,25,2136,1,0,1,11,0,0.9,1.0,2018-2019
920,Salomón Rondón,VEN,Delantero,Newcastle Utd,28,1989,32,30,2603,11,7,18,1,0,10.4,3.0,2018-2019
921,Danny Rose,ENG,Defensa,Tottenham,28,1990,26,20,1798,0,3,3,5,0,0.7,2.2,2018-2019
922,Aaron Rowe,ENG,Delantero,Huddersfield,17,2000,2,1,69,0,0,0,0,0,0.0,0.0,2018-2019
923,John Ruddy,ENG,PO,Wolves,31,1986,1,1,90,0,0,0,0,0,0.0,0.0,2018-2019
924,Antonio Rüdiger,GER,Defensa,Chelsea,25,1993,33,33,2871,1,0,1,7,0,2.5,0.6,2018-2019
925,Mathew Ryan,AUS,PO,Brighton,26,1992,34,34,3060,0,0,0,2,0,0.0,0.0,2018-2019
926,Abdelhamid Sabiri,MAR,Delantero,Huddersfield,21,1996,2,1,48,0,0,0,0,0,0.0,0.0,2018-2019
927,Romain Saïss,MAR,Centrocampista,Wolves,28,1990,19,12,1149,2,0,2,7,0,1.4,0.6,2018-2019
928,Bukayo Saka,ENG,Delantero,Arsenal,16,2001,1,0,8,0,0,0,0,0,0.0,0.0,2018-2019
929,Mamadou Sakho,FRA,Defensa,Crystal Palace,28,1990,27,27,2416,0,0,0,2,0,0.4,0.2,2018-2019
930,Bakary Sako,MLI,Delantero,Crystal Palace,30,1988,4,0,29,0,0,0,0,0,0.0,0.0,2018-2019
931,Mohamed Salah,EGY,Delantero,Liverpool,26,1992,38,37,3250,22,8,30,1,0,20.2,9.4,2018-2019
932,Alexis Sánchez,CHI,Delantero,Manchester Utd,29,1988,20,9,880,1,3,4,3,0,1.5,3.0,2018-2019
933,Carlos Sánchez,COL,Centrocampista,West Ham,32,1986,7,2,245,0,0,0,0,0,0.1,0.1,2018-2019
934,Davinson Sánchez,COL,Defensa,Tottenham,22,1996,23,22,1942,1,1,2,2,0,1.4,0.4,2018-2019
935,Leroy Sané,GER,Delantero,Manchester City,22,1996,31,21,1867,10,10,20,1,0,6.7,7.4,2018-2019
936,Fabian Schär,SUI,Defensa,Newcastle Utd,26,1991,24,22,1999,4,1,5,12,0,1.9,0.7,2018-2019
937,Christopher Schindler,GER,Defensa,Huddersfield,28,1990,37,37,3260,1,0,1,5,1,1.1,0.2,2018-2019
938,Jeffrey Schlupp,GHA,Centrocampista,Crystal Palace,25,1992,30,18,1670,4,1,5,1,0,3.2,1.2,2018-2019
939,Kasper Schmeichel,DEN,PO,Leicester City,31,1986,38,38,3420,0,0,0,3,0,0.1,0.4,2018-2019
940,Morgan Schneiderlin,FRA,Centrocampista,Everton,28,1989,14,10,834,0,1,1,2,0,0.1,0.4,2018-2019
941,André Schürrle,GER,Delantero,Fulham,27,1990,24,21,1641,6,0,6,2,0,3.6,1.9,2018-2019
942,Ken Sema,SWE,Centrocampista,Watford,24,1993,17,9,754,1,2,3,1,0,0.8,0.6,2018-2019
943,Jean Seri,CIV,Centrocampista,Fulham,27,1991,32,27,2244,1,2,3,6,0,0.9,4.8,2018-2019
944,Ryan Sessegnon,ENG,Delantero,Fulham,18,2000,35,26,2300,2,6,8,0,0,4.0,3.8,2018-2019
945,Xherdan Shaqiri,SUI,Delantero,Liverpool,26,1991,24,11,1064,6,3,9,2,0,3.9,1.6,2018-2019
946,Luke Shaw,ENG,Defensa,Manchester Utd,23,1995,29,29,2591,1,4,5,11,0,1.4,3.9,2018-2019
947,Jonjo Shelvey,ENG,Centrocampista,Newcastle Utd,26,1992,16,10,948,1,1,2,1,0,0.9,1.7,2018-2019
948,Gylfi Sigurðsson,ISL,Centrocampista,Everton,28,1989,38,36,3117,13,6,19,3,0,10.7,6.9,2018-2019
949,Adrien Silva,POR,Centrocampista,Leicester City,29,1989,2,1,88,0,0,0,0,0,0.0,0.0,2018-2019
950,Bernardo Silva,POR,Centrocampista,Manchester City,23,1994,36,31,2854,7,7,14,3,0,7.4,7.8,2018-2019
951,David Silva,ESP,Centrocampista,Manchester City,32,1986,33,28,2401,6,8,14,2,0,7.8,8.5,2018-2019
952,Xande Silva,POR,Delantero,West Ham,21,1997,1,0,18,0,0,0,0,0,0.1,0.0,2018-2019
953,Danny Simpson,ENG,Defensa,Leicester City,31,1987,6,3,292,0,0,0,0,0,0.0,0.0,2018-2019
954,Jack Simpson,ENG,Defensa,Bournemouth,21,1996,6,4,403,0,0,0,0,0,0.1,0.0,2018-2019
955,Josh Sims,ENG,Centrocampista,Southampton,21,1997,7,2,212,0,1,1,0,0,0.6,0.7,2018-2019
956,Moussa Sissoko,FRA,Centrocampista,Tottenham,28,1989,29,27,2330,0,3,3,2,0,0.9,2.5,2018-2019
957,Oliver Skipp,ENG,Centrocampista,Tottenham,17,2000,8,2,220,0,0,0,0,0,0.1,0.0,2018-2019
958,Callum Slattery,ENG,Centrocampista,Southampton,19,1999,3,1,112,0,0,0,0,0,0.1,0.0,2018-2019
959,Chris Smalling,ENG,Defensa,Manchester Utd,28,1989,24,24,2127,1,0,1,1,0,1.2,0.2,2018-2019
960,Adam Smith,ENG,Defensa,Bournemouth,27,1991,25,25,2066,1,1,2,5,1,0.5,0.6,2018-2019
961,Tommy Smith,ENG,Defensa,Huddersfield,26,1992,15,13,1141,0,0,0,2,1,0.1,0.4,2018-2019
962,Robert Snodgrass,SCO,Centrocampista,West Ham,30,1987,33,25,2220,2,5,7,10,0,2.3,5.6,2018-2019
963,Cédric Soares,POR,Defensa,Southampton,26,1991,18,16,1495,1,2,3,4,0,0.3,1.0,2018-2019
964,Ramadan Sobhi,EGY,Delantero,Huddersfield,21,1997,4,0,79,0,0,0,0,0,0.0,0.2,2018-2019
965,Dominic Solanke,ENG,Delantero,Bournemouth,20,1997,10,2,347,0,1,1,0,0,1.0,0.4,2018-2019
966,Pape Souaré,SEN,Defensa,Crystal Palace,28,1990,1,0,1,0,0,0,0,0,0.0,0.0,2018-2019
967,Çağlar Söyüncü,TUR,Defensa,Leicester City,22,1996,6,4,372,0,0,0,1,0,0.1,0.0,2018-2019
968,Julián Speroni,ARG,PO,Crystal Palace,39,1979,1,1,90,0,0,0,0,0,0.0,0.0,2018-2019
969,Junior Stanislas,ENG,Centrocampista,Bournemouth,28,1989,23,11,1031,2,3,5,1,0,3.1,2.0,2018-2019
970,Dale Stephens,ENG,Centrocampista,Brighton,29,1989,30,29,2485,1,1,2,6,1,0.3,0.7,2018-2019
971,Jack Stephens,ENG,Defensa,Southampton,24,1994,24,19,1700,1,0,1,4,0,1.0,0.2,2018-2019
972,Raheem Sterling,ENG,Delantero,Manchester City,23,1994,34,31,2771,17,9,26,3,0,13.7,9.6,2018-2019
973,John Stones,ENG,Defensa,Manchester City,24,1994,24,20,1764,0,0,0,1,0,0.3,0.2,2018-2019
974,Daniel Sturridge,ENG,Delantero,Liverpool,28,1989,18,4,509,2,1,3,1,0,1.2,0.8,2018-2019
975,Denis Suárez,ESP,Centrocampista,Arsenal,24,1994,4,0,71,0,0,0,0,0,0.0,0.0,2018-2019
976,Isaac Success,NGA,Delantero,Watford,22,1996,30,9,1052,1,1,2,4,0,3.5,2.8,2018-2019
977,Ki Sung-yueng,KOR,Centrocampista,Newcastle Utd,29,1989,18,14,1302,0,1,1,2,0,0.3,1.0,2018-2019
978,Andrew Surman,ENG,Centrocampista,Bournemouth,31,1986,18,16,1439,0,0,0,2,0,0.3,0.4,2018-2019
979,Sam Surridge,ENG,Centrocampista,Bournemouth,20,1998,2,0,13,0,0,0,0,0,0.3,0.0,2018-2019
980,Alexander Sørloth,NOR,Delantero,Crystal Palace,22,1995,12,0,185,0,0,0,0,0,0.5,0.9,2018-2019
981,Matt Targett,ENG,Defensa,Southampton,22,1995,16,13,1186,1,3,4,2,0,0.5,2.3,2018-2019
982,James Tarkowski,ENG,Defensa,Burnley,25,1992,35,35,3086,3,1,4,8,0,3.3,0.3,2018-2019
983,Charlie Taylor,ENG,Defensa,Burnley,24,1993,38,35,3243,0,1,1,2,0,0.2,1.5,2018-2019
984,Youri Tielemans,BEL,Centrocampista,Leicester City,21,1997,13,13,1086,3,4,7,2,0,1.8,2.5,2018-2019
985,James Tomkins,ENG,Defensa,Crystal Palace,29,1989,29,29,2560,1,1,2,5,0,1.4,0.9,2018-2019
986,Lucas Torreira,URU,Centrocampista,Arsenal,22,1996,34,24,2382,2,2,4,7,1,1.5,1.2,2018-2019
