Unnamed: 0,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
341,Rubén Peña,ESP,Defensa,Osasuna,32,1991,12,11,909,0,1,1,2,0,0.6,0.8,"6,00 mill. €"
342,Alberto Perea,ESP,Centrocampista,Granada,32,1990,2,0,2,0,0,0,0,0,0.0,0.1,"1,00 mill. €"
343,Ayoze Pérez,ESP,Delantero,Betis,30,1993,13,13,1045,4,1,5,1,0,4.0,1.9,"2,50 mill. €"
344,Carles Pérez,ESP,Centrocampista,Celta Vigo,25,1998,5,2,238,0,0,0,1,0,0.4,0.6,"5,00 mill. €"
345,Francisco Perez,ESP,Centrocampista,Valencia,21,2002,14,12,957,1,3,4,2,0,0.6,2.0,"5,00 mill. €"
346,Kike Pérez,ESP,Centrocampista,Rayo Vallecano,26,1997,11,4,385,1,0,1,2,0,1.6,0.1,"2,20 mill. €"
347,Máximo Perrone,ARG,Centrocampista,Las Palmas,20,2003,11,5,423,0,0,0,2,0,0.1,0.1,"3,50 mill. €"
348,Njegoš Petrović,SRB,Centrocampista,Granada,24,1999,7,0,91,0,0,0,0,0,0.0,0.1,"4,50 mill. €"
349,Germán Pezzella,ARG,Defensa,Betis,32,1991,13,13,1139,0,0,0,3,0,0.8,0.1,"10,00 mill. €"
351,Portu,ESP,Delantero,Getafe,31,1992,3,0,97,0,0,0,1,0,0.2,0.2,"3,00 mill. €"
352,Alejandro Pozo Pozo,ESP,Defensa,Almería,24,1999,9,4,403,0,0,0,0,0,0.0,0.5,"5,00 mill. €"
353,Beñat Prados,ESP,Centrocampista,Athletic Club,22,2001,7,0,132,0,0,0,0,0,0.3,0.0,"1,50 mill. €"
354,Abdón Prats,ESP,Delantero,Mallorca,30,1992,10,6,412,4,1,5,0,0,1.4,0.8,"2,00 mill. €"
355,Pubill,ESP,Defensa,Almería,20,2003,4,3,270,0,0,0,1,0,0.0,0.1,"2,50 mill. €"
356,Antonio Puertas,ESP,Centrocampista,Granada,31,1992,13,4,518,0,2,2,0,1,1.8,0.5,"3,00 mill. €"
357,Arnau Puigmal,ESP,Delantero,Almería,22,2001,8,3,234,0,0,0,3,0,0.0,0.2,"2,50 mill. €"
358,Antonio Raillo,ESP,Defensa,Mallorca,32,1991,3,2,179,1,0,1,0,0,0.1,0.0,"10,00 mill. €"
359,Predrag Rajković,SRB,PO,Mallorca,28,1995,13,13,1170,0,0,0,1,0,0.0,0.0,"2,00 mill. €"
360,Ivan Rakitić,CRO,Centrocampista,Sevilla,35,1988,12,11,999,2,1,3,3,0,1.1,2.6,"4,00 mill. €"
361,Largie Ramazani,BEL,Delantero,Almería,22,2001,14,8,807,2,4,6,4,0,2.4,4.1,"2,50 mill. €"
362,Benito Ramírez,ESP,Delantero,Las Palmas,28,1995,5,0,94,1,0,1,0,0,0.1,0.1,"6,00 mill. €"
363,Sandro Ramírez,ESP,Delantero,Las Palmas,28,1995,5,4,373,0,0,0,0,0,0.4,0.6,500 mil €
364,Chris Ramos,ESP,Delantero,Cádiz,26,1997,13,12,973,3,1,4,1,0,2.6,0.7,"1,80 mill. €"
365,Sergio Ramos,ESP,Defensa,Sevilla,37,1986,5,5,447,0,0,0,3,1,0.5,0.0,"1,50 mill. €"
366,Raphinha,BRA,Delantero,Barcelona,26,1996,10,3,294,2,1,3,1,1,1.5,1.4,"4,00 mill. €"
367,Andrei Ratiu,ROU,Defensa,Rayo Vallecano,25,1998,3,2,180,0,0,0,1,0,0.0,0.2,"60,00 mill. €"
368,Raúl,ESP,Delantero,Osasuna,23,2000,13,3,354,0,0,0,0,0,0.8,0.1,"2,50 mill. €"
369,Abderrahman Rebbach,ALG,Delantero,Alavés,25,1998,11,2,297,1,0,1,0,0,0.4,0.7,"25,00 mill. €"
370,Álex Remiro,ESP,PO,Real Sociedad,28,1995,14,14,1260,0,0,0,1,0,0.0,0.0,500 mil €
371,Chadi Riad,MAR,Defensa,Betis,20,2003,9,8,743,0,0,0,0,0,0.3,0.1,"1,00 mill. €"
372,Diego Rico,ESP,Defensa,Getafe,30,1993,10,10,888,0,5,5,4,0,0.2,1.5,"3,00 mill. €"
373,Luis Rioja,ESP,Delantero,Alavés,30,1993,14,13,1101,1,3,4,3,0,1.5,2.4,"3,00 mill. €"
374,Rodrigo Riquelme,ESP,Defensa,Atlético Madrid,23,2000,10,5,476,2,1,3,1,0,1.7,0.9,"18,00 mill. €"
375,Mihailo Ristić,SRB,Defensa,Celta Vigo,28,1995,4,4,355,0,0,0,0,0,0.0,0.1,"1,50 mill. €"
377,Sergi Roberto,ESP,Defensa,Barcelona,31,1992,4,2,190,1,0,1,0,0,0.6,0.0,"4,00 mill. €"
378,Lucas Robertone,ARG,Centrocampista,Almería,26,1997,11,10,742,0,4,4,4,0,0.4,1.2,"7,00 mill. €"
379,Marc Roca,ESP,Centrocampista,Betis,27,1996,13,12,999,2,1,3,1,0,0.9,0.8,"10,00 mill. €"
380,Rodri,ESP,Delantero,Betis,23,2000,11,5,522,0,0,0,0,0,0.8,0.4,"100,00 mill. €"
381,Óscar Rodríguez Arnaiz,ESP,Centrocampista,Getafe,25,1998,8,1,222,0,0,0,3,0,0.1,0.3,"28,00 mill. €"
382,Dani Rodríguez,ESP,Centrocampista,Mallorca,35,1988,13,12,1011,1,1,2,4,0,0.8,1.7,"2,50 mill. €"
383,Guido Rodríguez,ARG,Centrocampista,Betis,29,1994,13,12,985,1,0,1,5,0,0.3,0.7,"1,20 mill. €"
384,Kirian Rodríguez,ESP,Centrocampista,Las Palmas,27,1996,14,13,1147,2,0,2,4,0,0.4,0.4,"100,00 mill. €"
385,Miguel Rodríguez,ESP,Centrocampista,Celta Vigo,20,2003,7,0,70,0,0,0,1,0,0.1,0.1,200 mil €
