Unnamed: 0,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor Mercado
2744,Tito,ESP,Defensa,Rayo Vallecano,33,1985,15,12,1098,0,0,0,2,0,0.0,0.2,"7,00 mill. €"
2745,Jean-Clair Todibo,FRA,Defensa,Barcelona,18,1999,2,2,157,0,0,0,2,0,0.0,0.0,"5,00 mill. €"
2746,Karl Toko Ekambi,CMR,Delantero,Villarreal,25,1992,34,24,2144,10,1,11,5,0,10.6,2.1,"30,00 mill. €"
2747,Raúl de Tomás,ESP,Delantero,Rayo Vallecano,23,1994,33,32,2813,14,1,15,5,0,15.6,1.5,"6,00 mill. €"
2748,Toño,ESP,Defensa,Levante,28,1989,21,21,1763,1,2,3,4,0,1.3,1.2,250 mil €
2749,Daniel Torres,COL,Centrocampista,Alavés,28,1989,2,1,71,0,0,0,1,0,0.0,0.0,"14,00 mill. €"
2750,Ferrán Torres,ESP,Centrocampista,Valencia,18,2000,24,8,850,2,1,3,5,0,1.5,1.7,"35,00 mill. €"
2751,Óscar Trejo,ARG,Centrocampista,Rayo Vallecano,30,1988,26,22,1764,1,4,5,7,1,3.3,3.9,"2,50 mill. €"
2752,Manu Trigueros,ESP,Centrocampista,Villarreal,26,1991,24,18,1547,0,0,0,3,0,1.0,2.1,"2,50 mill. €"
2753,Patrick Twumasi,GHA,Centrocampista,Alavés,24,1994,11,0,170,0,0,0,2,0,0.1,0.1,800 mil €
2754,Samuel Umtiti,FRA,Defensa,Barcelona,24,1993,14,13,1189,0,1,1,4,0,0.2,0.7,"25,00 mill. €"
2755,Enes Ünal,TUR,Delantero,Valladolid,21,1997,33,24,2148,6,3,9,7,0,7.9,1.5,"1,20 mill. €"
2756,Tomáš Vaclík,CZE,PO,Sevilla,29,1989,33,33,2970,0,0,0,1,0,0.0,0.0,"2,00 mill. €"
2757,Jesús Vallejo,ESP,Defensa,Real Madrid,21,1997,5,4,311,1,0,1,1,1,0.7,0.0,"100,00 mill. €"
