Jugador,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
Aaron Connolly,21,2000.0,15.0,8.0,735.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.0,0.0,2.8000000000000003,0.26666666666666666
Aaron Cresswell,33,1989.0,25.6,24.6,2188.6,1.0,2.4,3.4,3.2,0.0,0.76,3.34
Aaron Hickey,21,2002.0,20.5,19.0,1551.75,1.25,0.5,1.75,5.5,0.25,0.4,0.6
Aaron Lennon,34,1987.0,22.0,10.5,1023.5,1.0,0.0,1.0,3.0,0.0,0.55,0.3
Aaron Mooy,28,1990.0,31.0,25.0,2085.0,2.0,2.0,4.0,3.0,1.0,2.3,4.5
Aaron Ramsdale,25,1998.0,30.4,30.4,2736.0,0.0,0.2,0.2,0.6,0.0,0.0,0.15999999999999998
Aaron Ramsey,30,1993.25,14.0,6.75,619.0,1.25,1.25,2.5,1.0,0.0,1.7,1.225
Aaron Wan-Bissaka,26,1997.0,23.0,21.8,1960.8,0.4,1.8,2.2,3.4,0.0,0.6199999999999999,1.6600000000000001
Aarón Escandell,25,1995.0,4.0,3.6666666666666665,334.6666666666667,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
Aarón Martín,26,1997.0,19.333333333333332,17.666666666666668,1567.3333333333333,0.0,1.0,1.0,3.0,0.3333333333333333,0.10000000000000002,1.2999999999999998
Abdallahi Mahmoud,20,2000.0,2.5,1.0,109.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Abdel Abqar,24,1999.0,11.0,11.0,989.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0
Abdelhamid Sabiri,25,1996.0,16.0,10.5,981.0,2.5,1.0,3.5,4.0,0.0,2.2,1.5
Abderrahman Rebbach,25,1998.0,11.0,2.0,297.0,1.0,0.0,1.0,0.0,0.0,0.4,0.7
Abdessamad Ezzalzouli,21,2001.0,12.5,6.5,614.75,1.5,0.5,2.0,2.0,0.5,1.2,0.775
Abdou Harroui,25,1998.0,16.0,3.6666666666666665,451.3333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,1.1666666666666667,0.20000000000000004
Abdoulay Diaby,29,1991.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1
Abdoulaye Ba,27,1991.0,26.0,25.0,2110.0,1.0,0.0,1.0,4.0,2.0,1.3,0.1
Abdoulaye Doucouré,30,1993.0,26.8,24.8,2158.8,3.4,2.2,5.6,6.2,0.2,3.3,2.4
Abdoulaye Touré,27,1994.0,8.0,6.0,430.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0
Abdul Mumin,25,1998.0,11.0,7.0,678.0,0.5,0.0,0.5,1.5,0.5,0.2,0.0
Abdón Prats,30,1992.0,20.0,3.75,459.5,2.25,0.5,2.75,1.25,0.0,1.3,0.7749999999999999
Abel Ruiz,18,2000.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1
Abner,23,2000.0,11.0,6.0,564.5,0.0,0.0,0.0,2.0,0.0,0.9,0.25
Aboubakar Kamara,25,1995.0,11.0,2.0,315.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3
Achraf Hakimi,21,1998.0,23.0,18.5,1711.0,4.5,4.0,8.5,3.0,0.0,2.5,3.25
Adalberto Peñaranda,20,1997.0,13.0,11.0,802.0,0.0,0.0,0.0,3.0,0.0,0.7,0.4
Adam Armstrong,25,1997.0,26.5,15.5,1374.0,2.0,1.5,3.5,1.5,0.0,3.3,1.4500000000000002
Adam Forshaw,30,1991.0,17.0,11.0,1004.5,0.0,0.5,0.5,2.5,0.0,0.25,0.95
Adam Idah,20,2001.0,14.5,3.5,426.5,0.5,0.5,1.0,0.0,0.0,1.65,0.3
Adam Lallana,35,1988.0,18.6,10.8,913.4,0.8,0.8,1.6,1.2,0.0,0.8800000000000001,1.1199999999999999
Adam Marušić,31,1992.0,26.0,23.4,2096.4,1.0,1.2,2.2,4.2,0.4,1.0,0.9
Adam Masina,28,1994.0,18.333333333333332,13.666666666666666,1229.0,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,0.43333333333333335,0.49999999999999994
Adam Obert,21,2002.0,7.0,3.5,326.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25
Adam Ounas,25,1996.0,9.75,4.75,462.0,1.0,1.0,2.0,0.5,0.0,0.975,1.1500000000000001
Adam Smith,32,1991.0,22.0,20.0,1736.6666666666667,0.0,1.0,1.0,6.0,0.0,0.43333333333333335,0.9333333333333335
Adam Webster,28,1995.0,23.0,21.0,1844.2,1.2,0.2,1.4,3.2,0.0,1.24,0.34
Adama Soumaoro,30,1992.0,19.75,18.5,1631.25,0.5,0.0,0.5,4.25,0.75,0.7499999999999999,0.05
Adama Traoré,27,1996.0,23.833333333333332,13.5,1373.8333333333333,1.5,2.3333333333333335,3.8333333333333335,1.1666666666666667,0.0,1.8499999999999996,2.9
Aday,30,1987.0,20.5,14.0,1240.0,1.0,1.0,2.0,6.0,0.0,1.5499999999999998,1.55
Ademola Lookman,26,1997.0,26.0,19.25,1667.0,6.75,3.0,9.75,3.0,0.0,5.75,3.675
Adnan Januzaj,28,1995.0,19.428571428571427,10.571428571428571,960.5714285714286,2.0,2.2857142857142856,4.285714285714286,2.142857142857143,0.0,2.814285714285714,2.6285714285714286
Adolfo Gaich,23,1999.0,15.5,8.5,747.0,2.0,0.0,2.0,1.5,0.0,2.65,0.4
Adri Bosch,22,2001.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adri Embarba,31,1992.0,21.5,16.166666666666668,1339.3333333333333,1.8333333333333333,2.5,4.333333333333333,3.3333333333333335,0.3333333333333333,2.9166666666666665,3.1333333333333333
Adrian Mariappa,32,1986.0,20.0,15.0,1513.0,0.0,0.0,0.0,6.0,1.0,0.2,0.2
Adrian Šemper,23,1998.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrien Rabiot,28,1995.0,27.6,23.4,2067.6,2.8,2.2,5.0,6.6,0.4,2.84,1.7
Adrien Silva,32,1989.0,20.5,15.0,1341.0,0.5,1.0,1.5,5.5,1.0,0.4,0.6000000000000001
Adrien Tameze,29,1994.0,25.2,20.0,1780.8,1.0,0.8,1.8,3.2,0.0,0.68,0.8999999999999998
Adrià Altimira,22,2001.0,5.0,4.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Adrià Pedrosa,25,1998.0,16.2,11.6,1096.2,0.6,0.6,1.2,2.6,0.0,0.62,0.86
Adrián,33,1987.0,7.0,6.0,572.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Adrián Butzke,22,1999.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrián Diéguez,22,1996.0,7.5,7.0,592.0,0.0,0.0,0.0,4.0,0.0,0.1,0.0
Adrián González,29,1988.0,29.0,27.0,2340.0,3.0,0.0,3.0,8.0,1.0,3.6,1.2
Adrián Guerrero,21,1998.0,2.0,1.0,126.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Adrián López,32,1988.0,24.333333333333332,16.0,1423.0,4.0,2.3333333333333335,6.333333333333333,0.3333333333333333,0.0,4.066666666666667,2.9666666666666663
Adrián Marín,23,1997.0,7.0,3.4,347.4,0.0,0.2,0.2,1.0,0.0,0.24000000000000005,0.1
Adrián Ramos,33,1986.0,7.0,2.0,226.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7
Adu Ares,22,2001.0,5.0,0.0,54.5,0.0,0.0,0.0,0.5,0.0,0.05,0.1
Ager Aketxe,23,1993.0,3.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0
Agustín Marchesín,34,1988.0,19.0,19.0,1710.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Agustín Martegani,23,2000.0,9.0,3.0,400.0,0.0,0.0,0.0,1.0,0.0,0.2,0.4
Agustín Álvarez Martínez,21,2001.0,22.0,1.0,368.0,1.0,1.0,2.0,1.0,0.0,1.5,0.4
Ahmad Benali,28,1992.0,18.0,15.0,1214.0,0.0,1.0,1.0,2.0,0.0,0.6,1.2
Ahmed Elmohamady,32,1987.0,16.0,9.5,935.0,0.5,0.5,1.0,1.5,0.0,0.30000000000000004,1.9
Ahmed Hegazi,29,1991.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ahmed Touba,25,1998.0,3.0,1.0,114.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Aihen Muñoz,26,1997.0,16.5,13.5,1211.5,0.0,0.5,0.5,2.5,0.16666666666666666,0.13333333333333333,0.5166666666666667
Aimar Oroz,22,2001.0,15.333333333333334,12.333333333333334,1057.0,1.3333333333333333,2.3333333333333335,3.6666666666666665,2.6666666666666665,0.0,1.7,1.2
Aimar Sher,18,2002.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ainsley Maitland-Niles,24,1997.0,14.0,9.333333333333334,878.0,0.0,0.3333333333333333,0.3333333333333333,1.8333333333333333,0.16666666666666666,0.25000000000000006,0.65
Aitor Fernández,32,1991.0,19.833333333333332,19.666666666666668,1771.1666666666667,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.06666666666666667
Aitor Paredes,23,2000.0,15.0,10.5,962.0,0.0,0.0,0.0,3.5,0.0,0.45,0.25
Aitor Ruibal,27,1996.0,17.666666666666668,10.166666666666666,895.8333333333334,0.3333333333333333,0.5,0.8333333333333334,3.0,0.16666666666666666,0.9499999999999998,1.3333333333333333
Ajdin Hrustic,26,1996.0,6.0,3.0,226.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6
Akin Famewo,20,1998.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alan Empereur,26,1994.0,8.5,6.0,537.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0
Alan Matturro,19,2004.0,3.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alassane Sidibe,19,2002.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albert Guðmundsson,26,1997.0,12.0,9.0,840.0,3.0,0.0,3.0,2.5,0.0,1.4500000000000002,1.1
Albert Sambi Lokonga,24,1999.0,9.0,5.5,499.25,0.0,0.0,0.0,1.75,0.0,0.225,0.275
Alberto Aquilani,33,1984.0,21.0,15.0,1297.0,0.0,0.0,0.0,4.0,0.0,0.7,0.5
Alberto Basso,18,2004.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Bueno,29,1988.0,11.0,1.0,226.0,0.0,0.0,0.0,0.0,0.0,1.1,0.5
Alberto Cerri,24,1996.0,14.0,3.0,344.3333333333333,1.0,0.0,1.0,1.0,0.0,1.6333333333333335,0.4666666666666666
Alberto Cifuentes,41,1979.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Del Moral,22,2000.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Dossena,25,1998.0,13.0,12.0,1086.0,2.0,1.0,3.0,0.0,0.0,1.1,0.6
Alberto García,33,1985.0,17.0,17.0,1530.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alberto Grassi,28,1995.0,21.0,13.2,1176.2,0.2,0.6,0.8,4.2,0.2,0.54,0.74
Alberto López,22,1995.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Marí,21,2001.0,5.0,0.0,86.0,1.0,0.0,1.0,1.0,0.0,0.2,0.0
Alberto Moleiro,20,2003.0,5.0,2.0,233.0,1.0,1.0,2.0,0.0,0.0,0.3,0.1
Alberto Moreno,31,1992.0,16.2,10.0,926.2,0.6,0.8,1.4,3.6,0.2,1.04,0.8399999999999999
Alberto Paleari,27,1992.0,3.0,2.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Paloschi,29,1990.0,8.5,3.0,321.0,0.0,0.0,0.0,0.0,0.0,0.9,0.25
Alberto Perea,32,1990.0,12.0,6.25,593.25,0.5,1.0,1.5,0.5,0.0,0.675,0.8
Alberto Redondo,20,1997.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Soro,24,1999.0,10.666666666666666,3.3333333333333335,326.3333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.5,0.26666666666666666
Alberto de la Bella,31,1985.0,17.0,17.0,1528.0,0.0,1.0,1.0,4.0,0.0,0.2,1.1
Albian Ajeti,22,1997.0,9.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1
Albin Ekdal,33,1989.0,30.25,22.5,2013.75,0.75,1.25,2.0,8.5,0.5,1.55,1.0
Aleix Febas,25,1996.0,16.5,11.5,903.5,0.0,1.5,1.5,2.5,0.0,0.2,0.9
Aleix García,26,1997.0,21.2,14.4,1309.8,1.4,2.2,3.6,1.4,0.0,0.9200000000000002,2.6399999999999997
Aleix Garrido,18,2004.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleix Vidal,32,1989.0,20.5,11.833333333333334,1112.3333333333333,0.8333333333333334,1.5,2.3333333333333335,5.166666666666667,0.16666666666666666,0.8833333333333333,2.016666666666667
Alejandro Alfaro,20,2002.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Arribas,28,1989.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Alejandro Asensio,20,2000.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Balde,20,2003.0,17.0,14.333333333333334,1217.0,0.3333333333333333,2.3333333333333335,2.6666666666666665,1.6666666666666667,0.0,0.6666666666666666,1.9666666666666668
Alejandro Blanco,21,1998.0,7.5,3.0,298.0,0.5,0.0,0.5,0.5,0.0,0.25,0.25
Alejandro Blesa,18,2002.0,1.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Garnacho,19,2004.0,10.666666666666666,3.3333333333333335,352.3333333333333,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,0.0,1.4000000000000001,0.5666666666666667
Alejandro Gutiérrez Mozo,22,1995.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Pozo Pozo,24,1999.0,18.2,12.8,1201.6,0.2,1.0,1.2,1.2,0.0,0.24,1.34
Alejandro Primo,17,2004.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejandro Revuelta Montero,22,2000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alejo Véliz,20,2003.0,4.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Aleksa Terzić,22,1999.0,12.666666666666666,3.0,405.6666666666667,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,0.13333333333333333,0.7666666666666666
Aleksandar Jovanović,25,1992.0,12.0,12.0,1080.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Aleksandar Katai,26,1991.0,3.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Aleksandar Kolarov,35,1985.0,14.0,11.333333333333334,1054.6666666666667,2.3333333333333335,1.3333333333333333,3.6666666666666665,2.0,0.0,2.2666666666666666,2.0666666666666664
Aleksandar Mitrović,29,1994.0,17.333333333333332,12.0,1147.6666666666667,5.666666666666667,1.3333333333333333,7.0,3.3333333333333335,0.0,7.1000000000000005,1.6666666666666667
Aleksandar Sedlar,31,1991.0,11.0,7.666666666666667,721.3333333333334,0.3333333333333333,0.0,0.3333333333333333,3.3333333333333335,0.6666666666666666,0.13333333333333333,0.06666666666666667
Aleksandar Trajkovski,26,1992.0,14.0,1.0,330.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2
Aleksander Buksa,18,2003.0,4.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aleksandr Kokorin,30,1991.0,5.0,0.0,74.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Aleksei Miranchuk,28,1995.0,19.25,9.0,925.0,2.5,3.0,5.5,0.0,0.0,1.375,2.225
Alen Halilović,21,1996.0,20.0,16.0,1304.0,2.0,1.0,3.0,1.0,1.0,1.6,1.8
Alessandro Bastoni,24,1999.0,25.4,23.6,2012.2,0.6,1.4,2.0,5.0,0.2,0.74,1.6199999999999999
Alessandro Berardi,30,1991.0,1.0,0.5,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Bianco,19,2002.0,7.0,2.0,153.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0
Alessandro Buongiorno,24,1999.0,19.75,15.25,1399.0,0.75,0.75,1.5,4.5,0.0,1.0250000000000001,0.5
Alessandro Cortinovis,21,2001.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Deiola,28,1995.0,12.833333333333334,8.666666666666666,696.5,0.8333333333333334,0.3333333333333333,1.1666666666666667,2.1666666666666665,0.0,0.7166666666666668,0.5
Alessandro Di Pardo,24,1999.0,5.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0
Alessandro Florenzi,32,1991.0,13.4,8.0,715.2,0.4,0.2,0.6,2.4,0.2,0.5599999999999999,0.8800000000000001
Alessandro Matri,34,1984.0,8.0,0.0,89.0,0.0,0.0,0.0,1.0,1.0,0.4,0.3
Alessandro Murgia,22,1996.0,25.0,19.0,1750.0,0.0,1.0,1.0,3.0,0.0,2.4,2.0
Alessandro Russo,21,2002.0,1.0,0.5,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Semprini,21,1998.0,12.0,6.0,629.0,1.0,0.0,1.0,2.0,0.0,0.9,0.2
Alessandro Sorrentino,21,2002.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Tripaldelli,21,1999.0,6.0,2.0,217.5,0.0,0.0,0.0,0.5,0.0,0.0,0.05
Alessandro Tuia,32,1990.0,17.0,12.5,1137.0,0.5,0.0,0.5,3.5,0.0,0.45,0.15
Alessandro Vogliacco,25,1998.0,3.0,1.0,89.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alessandro Zanoli,23,2000.0,9.25,5.25,510.25,0.5,0.75,1.25,1.5,0.0,0.675,0.325
Alessio Cragno,29,1994.0,17.6,17.6,1584.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alessio Romagnoli,28,1995.0,24.4,23.4,2081.8,1.0,0.2,1.2,4.6,0.2,1.3199999999999998,0.45999999999999996
Alessio Zerbin,24,1999.0,6.0,1.0,103.5,0.0,0.0,0.0,0.5,0.0,0.2,0.0
Alex Baena,22,2001.0,13.5,8.25,744.5,1.75,1.75,3.5,4.25,0.5,1.4,2.1
Alex Cordaz,39,1983.0,18.5,18.0,1633.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Alex Ferrari,28,1994.0,15.0,13.0,1080.6,0.2,0.2,0.4,3.4,0.0,0.34,0.4
Alex Iwobi,27,1996.0,22.0,17.166666666666668,1540.6666666666667,1.1666666666666667,1.8333333333333333,3.0,0.8333333333333334,0.0,1.6833333333333336,2.2
Alex Král,23,1998.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Matos,19,2004.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex McCarthy,32,1989.0,20.25,20.25,1822.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0
Alex Meret,26,1997.0,19.2,19.0,1720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Mighten,20,2002.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Murphy,19,2004.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Oxlade-Chamberlain,28,1993.0,17.25,8.0,714.5,2.0,0.75,2.75,0.25,0.0,1.4249999999999998,0.85
Alex Petxa,24,1997.0,17.0,1.0,412.0,0.0,0.0,0.0,4.0,0.0,0.1,0.3
Alex Sandro,32,1991.0,22.2,17.4,1598.4,0.6,1.2,1.8,3.0,0.2,0.7,1.2
Alex Scott,20,2003.0,3.0,3.0,189.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1
Alex Sola,24,1999.0,5.0,2.2,209.0,0.0,0.0,0.0,0.4,0.0,0.2,0.18
Alex Telles,29,1992.0,19.0,13.666666666666666,1259.0,0.0,2.6666666666666665,2.6666666666666665,2.3333333333333335,0.0,0.3333333333333333,1.5333333333333332
Alexander,29,1988.0,7.0,6.5,535.0,1.0,1.0,2.0,0.5,0.0,1.1,1.25
Alexander Callens,30,1992.0,6.0,0.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alexander Isak,24,1999.0,22.666666666666668,16.0,1372.1666666666667,8.333333333333334,1.0,9.333333333333334,2.6666666666666665,0.0,8.049999999999999,1.6500000000000001
Alexander Sørloth,27,1995.0,26.666666666666668,20.333333333333332,1708.3333333333333,7.333333333333333,1.3333333333333333,8.666666666666666,2.3333333333333335,0.0,7.733333333333334,2.8000000000000003
Alexander Tettey,33,1986.0,30.0,28.0,2338.0,1.0,1.0,2.0,5.0,0.0,0.8,0.5
Alexandre Jankewitz,18,2001.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Alexandre Lacazette,30,1991.0,30.333333333333332,21.333333333333332,1859.6666666666667,9.0,4.333333333333333,13.333333333333334,3.6666666666666665,0.0,9.4,2.6999999999999997
Alexis,31,1985.0,28.0,25.0,2184.0,1.0,0.0,1.0,6.0,0.0,1.2,0.3
Alexis Blin,27,1996.0,22.0,14.5,1368.0,0.5,1.0,1.5,4.0,0.0,1.5999999999999999,0.8
Alexis Mac Allister,24,1998.0,22.0,16.4,1488.0,3.2,1.2,4.4,3.6,0.2,4.0600000000000005,1.6800000000000002
Alexis Saelemaekers,24,1999.0,23.8,14.8,1287.0,1.2,2.0,3.2,3.6,0.6,1.8,2.3
Alexis Sánchez,34,1988.0,21.0,7.5,769.5,4.0,3.75,7.75,1.0,0.25,3.825,2.6500000000000004
Aleš Matějů,25,1996.0,20.0,18.5,1637.5,0.0,1.0,1.0,6.5,0.5,0.35,1.0
Alfa Semedo,20,1997.0,3.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alfie Doughty,23,1999.0,13.0,10.0,883.0,0.0,1.0,1.0,1.0,0.0,0.2,1.7
Alfon,21,1999.0,2.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Alfonso Espino,31,1992.0,29.75,29.25,2567.0,0.5,2.25,2.75,5.75,0.0,0.9249999999999999,2.1999999999999997
Alfonso Pedraza,27,1996.0,25.714285714285715,19.285714285714285,1701.4285714285713,1.7142857142857142,2.7142857142857144,4.428571428571429,4.0,0.14285714285714285,1.7999999999999996,3.042857142857143
Alfred Duncan,30,1993.0,16.857142857142858,11.0,962.2857142857143,0.8571428571428571,1.7142857142857142,2.5714285714285716,2.0,0.0,0.5857142857142857,0.9857142857142858
Alfred N'Diaye,27,1990.0,2.0,1.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfredo Donnarumma,28,1990.0,31.0,20.0,1684.0,7.0,2.0,9.0,1.0,0.0,6.8,0.9
Alin Toșca,25,1992.0,6.0,5.0,423.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Alireza Jahanbakhsh,26,1993.0,15.5,4.5,419.5,1.0,0.5,1.5,1.5,0.0,1.05,1.8
Alisson,31,1992.0,29.6,29.6,2650.6,0.2,0.6,0.8,0.6,0.2,0.02,0.16
Allan,30,1991.0,25.0,21.333333333333332,1838.0,0.6666666666666666,1.0,1.6666666666666667,5.333333333333333,0.3333333333333333,0.3333333333333333,0.9
Allan Nyom,33,1988.0,23.25,20.5,1674.25,0.75,0.75,1.5,7.75,1.0,0.55,1.3499999999999999
Allan Saint-Maximin,25,1997.0,27.75,21.25,1836.75,3.0,4.5,7.5,1.75,0.0,3.175,3.9749999999999996
Allan Tchaptchet,18,2001.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphonse Areola,30,1993.0,11.8,11.2,1033.8,0.0,0.0,0.0,0.6,0.0,0.0,0.0
Alvaro Sanz,20,2001.0,2.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aly Abeid,19,1997.0,1.0,1.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Amad Diallo,18,2002.0,2.3333333333333335,0.6666666666666666,69.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.2333333333333333
Amadou Diallo,20,2003.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amadou Diambo,19,2001.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amadou Diawara,24,1997.0,14.666666666666666,9.333333333333334,782.0,0.6666666666666666,0.3333333333333333,1.0,2.6666666666666665,0.3333333333333333,0.6333333333333333,0.3
Amadou Onana,22,2001.0,22.0,20.0,1704.0,0.5,1.0,1.5,5.0,0.0,2.05,2.45
Amari'i Bell,29,1994.0,8.0,8.0,650.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3
Amath,27,1996.0,19.5,12.0,1053.8333333333333,1.0,1.0,2.0,3.5,0.16666666666666666,1.8666666666666665,0.9833333333333334
Ameen Al-Dakhil,21,2002.0,10.0,10.0,855.0,0.0,0.0,0.0,1.0,0.0,0.2,0.1
Amer Gojak,23,1997.0,15.0,6.0,475.0,1.0,1.0,2.0,1.0,0.0,0.8,0.3
Amin Younes,25,1993.0,9.0,1.0,176.0,1.0,0.0,1.0,1.0,0.0,0.7,0.6
Amir Rrahmani,29,1994.0,24.4,23.2,2074.4,1.4,0.4,1.8,2.8,0.0,1.98,0.48
Anaitz Arbilla,33,1987.0,28.0,25.0,2294.5,1.0,1.0,2.0,6.75,0.25,1.05,0.675
Anass Zaroury,23,2000.0,5.0,1.0,137.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0
Anastasios Douvikas,24,1999.0,10.0,1.0,217.0,2.0,0.0,2.0,0.0,0.0,1.2,0.0
Ander Barrenetxea,21,2001.0,17.333333333333332,7.833333333333333,729.8333333333334,2.0,0.5,2.5,2.0,0.0,1.4833333333333334,0.9500000000000001
Ander Capa,30,1992.0,21.5,16.666666666666668,1501.1666666666667,0.8333333333333334,1.0,1.8333333333333333,4.833333333333333,0.0,0.5,1.0833333333333333
Ander Guevara,26,1997.0,14.166666666666666,10.666666666666666,902.6666666666666,0.3333333333333333,0.16666666666666666,0.5,2.8333333333333335,0.0,0.20000000000000004,0.39999999999999997
Ander Herrera,34,1989.0,12.0,6.0,498.0,0.0,0.5,0.5,3.0,0.5,0.3,0.55
Ander Iturraspe,30,1989.0,13.666666666666666,8.0,748.0,0.0,0.0,0.0,3.0,0.0,0.06666666666666667,0.6666666666666666
Ander Martin,21,2000.0,4.0,0.5,64.5,0.0,0.0,0.0,0.0,0.0,0.05,0.1
Anderson Lima,21,1999.0,5.0,0.0,63.5,0.0,0.0,0.0,0.5,0.0,0.15000000000000002,0.1
Andi Zeqiri,21,1999.0,9.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1
