Jugador,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
Faouzi Ghoulam,30,1991.0,11.333333333333334,3.0,332.3333333333333,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.13333333333333333,0.7333333333333334
Faustino Anjorin,17,2001.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fayçal Fajr,30,1988.0,20.5,15.5,1394.0,0.5,2.0,2.5,4.5,0.0,0.95,1.75
Fede San Emeterio,26,1997.0,19.4,14.6,1204.6,0.2,0.2,0.4,5.8,0.2,0.12,0.34
Fede Vico,26,1994.0,19.0,10.0,821.5,1.0,0.5,1.5,1.0,0.0,1.2,1.35
Federico Barba,26,1993.0,18.5,18.0,1554.5,0.0,1.0,1.0,5.5,0.0,0.4,0.7
Federico Baschirotto,27,1996.0,24.5,24.5,2187.0,1.5,0.5,2.0,3.5,0.5,1.2,0.6499999999999999
Federico Bernardeschi,27,1994.0,28.0,14.333333333333334,1339.3333333333333,0.6666666666666666,2.0,2.6666666666666665,4.666666666666667,0.0,2.4,2.6999999999999997
Federico Bonazzoli,26,1997.0,18.166666666666668,8.166666666666666,825.0,3.5,0.6666666666666666,4.166666666666667,2.0,0.0,2.6999999999999997,0.7166666666666668
Federico Bonini,17,2001.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Brancolini,18,2001.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Cartabia,24,1993.0,20.0,16.0,1324.0,2.0,1.0,3.0,6.0,0.0,1.7,1.6
Federico Ceccherini,30,1992.0,19.8,16.2,1323.6,0.6,0.0,0.6,6.8,0.4,0.8,0.25999999999999995
Federico Chiesa,26,1997.0,19.0,14.833333333333334,1275.3333333333333,4.5,3.8333333333333335,8.333333333333334,2.1666666666666665,0.16666666666666666,4.3,3.1
Federico Di Francesco,29,1994.0,21.0,13.25,1123.75,2.5,0.5,3.0,2.75,0.0,1.9499999999999997,1.175
Federico Dimarco,26,1997.0,21.333333333333332,14.166666666666666,1247.5,2.1666666666666665,2.6666666666666665,4.833333333333333,1.3333333333333333,0.0,1.8166666666666664,4.2
Federico Fazio,36,1987.0,11.6,10.2,902.2,0.8,0.0,0.8,2.4,0.6,0.6,0.13999999999999999
Federico Fernández,33,1989.0,16.0,14.75,1328.0,0.5,0.5,1.0,3.0,0.0,0.5249999999999999,0.5249999999999999
Federico Gatti,25,1998.0,14.5,13.0,1177.0,0.5,0.0,0.5,4.0,0.0,0.8,1.1
Federico Gattoni,24,1999.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Marchetti,39,1983.0,2.5,2.0,200.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Federico Marigosu,18,2001.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Mattiello,25,1995.0,9.5,4.5,483.0,0.0,0.5,0.5,1.5,0.0,0.1,0.55
Federico Peluso,37,1984.0,10.666666666666666,6.333333333333333,577.0,0.0,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,0.26666666666666666,0.19999999999999998
Federico Ravaglia,20,1999.0,4.0,4.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Ricca,22,1994.0,14.0,13.0,1109.0,0.0,1.0,1.0,4.0,0.0,0.3,0.8
Federico Ricci,26,1994.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Santander,30,1991.0,11.666666666666666,1.6666666666666667,291.3333333333333,0.6666666666666666,0.3333333333333333,1.0,2.3333333333333335,0.0,1.4333333333333333,0.4666666666666666
Federico Valverde,25,1998.0,25.142857142857142,16.428571428571427,1510.7142857142858,1.8571428571428572,1.8571428571428572,3.7142857142857144,1.4285714285714286,0.0,1.7285714285714289,2.614285714285714
Felice D'Amico,18,2000.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe,33,1989.0,20.2,15.6,1455.0,0.6,0.4,1.0,4.8,0.2,1.06,0.36000000000000004
Felipe Anderson,30,1993.0,23.2,20.0,1660.2,3.4,3.6,7.0,1.2,0.0,3.34,3.4799999999999995
Felipe Caicedo,32,1988.0,16.75,7.0,660.5,4.5,1.0,5.5,3.25,0.0,3.1,1.25
Felipe Curcio,25,1993.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Felipe dal Belo,35,1984.0,15.0,11.0,997.0,0.0,0.0,0.0,5.0,0.0,0.7,0.0
Felix Afena-Gyan,19,2003.0,20.0,6.5,742.5,1.0,0.0,1.0,4.5,0.5,1.7999999999999998,0.35
Felix Garreta,18,2004.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Femi Seriki,18,2002.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ferland Mendy,28,1995.0,19.6,17.2,1520.0,0.8,1.0,1.8,3.8,0.2,0.5399999999999999,1.14
Fermin López,20,2003.0,9.0,5.0,429.0,1.0,0.0,1.0,1.0,0.0,2.2,0.2
Fernandinho,36,1985.0,23.333333333333332,16.0,1516.3333333333333,0.6666666666666666,1.3333333333333333,2.0,5.333333333333333,0.6666666666666666,1.0999999999999999,0.8999999999999999
Fernando,36,1987.857142857143,22.428571428571427,20.142857142857142,1781.0,0.8571428571428571,1.2857142857142858,2.142857142857143,4.428571428571429,0.14285714285714285,0.7571428571428571,0.6428571428571429
Fernando Calero,26,1995.0,23.5,20.0,1718.5,0.25,0.25,0.5,5.0,0.25,0.425,0.25
Fernando Forestieri,31,1990.0,11.5,1.5,305.0,1.5,1.0,2.5,1.0,0.0,1.3,0.65
Fernando Llorente,35,1985.0,11.333333333333334,3.6666666666666665,422.0,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,0.0,2.2666666666666666,0.4666666666666666
Fernando Marçal,32,1989.0,15.5,12.0,1036.0,0.0,0.0,0.0,2.5,0.0,0.25,0.35
Fernando Medrano,22,2000.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Navarro,35,1982.0,15.0,11.0,1046.0,0.0,0.0,0.0,5.0,0.0,0.0,0.3
Fernando Niño,21,2000.0,12.0,4.5,395.5,1.5,0.0,1.5,1.0,0.0,2.15,0.15000000000000002
Fernando Pacheco,30,1992.0,27.0,26.714285714285715,2399.714285714286,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.09999999999999999
Fernando Torres,33,1984.0,27.0,7.0,982.0,5.0,0.0,5.0,2.0,0.0,5.5,0.4
Ferrán Torres,23,2000.0,20.375,11.625,1056.375,3.25,2.0,5.25,2.25,0.125,3.45,2.3249999999999997
Festy Ebosele,21,2002.0,15.0,7.0,626.5,0.0,0.5,0.5,2.5,0.0,0.15000000000000002,1.1
Fidel,32,1989.0,30.0,26.0,2123.6666666666665,4.666666666666667,3.6666666666666665,8.333333333333334,7.333333333333333,0.0,3.133333333333333,3.9
Fikayo Tomori,25,1997.0,18.166666666666668,17.5,1555.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,2.6666666666666665,0.16666666666666666,0.7999999999999999,0.16666666666666666
Filip Benković,24,1997.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Filip Bradarić,27,1992.0,14.0,7.0,706.0,0.0,0.0,0.0,2.0,1.0,0.3,0.1
Filip Jagiełło,26,1997.0,6.5,3.0,293.0,0.0,1.0,1.0,0.0,0.0,0.15,0.4
Filip Jørgensen,21,2002.0,8.0,8.0,720.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Filip Kostić,31,1992.0,24.0,21.0,1619.0,1.5,5.5,7.0,2.5,0.0,1.3,5.449999999999999
Filip Krovinović,24,1995.0,11.0,5.0,546.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2
