,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
441,Javi Puado,ESP,Delantero,Espanyol,24,1998,37,25,2340,7,2,9,4,0,7.8,2.6
442,Arnau Puigmal,ESP,Centrocampista,Almería,21,2001,22,7,763,1,0,1,4,0,1.1,0.5
443,Domingos Quina,POR,Centrocampista,Elche,22,1999,10,2,275,0,0,0,3,1,0.2,0.4
444,Rubén Quintanilla,ESP,Defensa,Mallorca,20,2002,1,0,4,0,0,0,0,0,0.0,0.0
445,Antonio Raillo,ESP,Defensa,Mallorca,30,1991,31,31,2766,2,3,5,11,1,0.6,1.1
446,Predrag Rajković,SRB,PO,Mallorca,26,1995,36,36,3240,0,0,0,3,0,0.0,0.5
447,Ivan Rakitić,CRO,Centrocampista,Sevilla,34,1988,31,21,1788,1,3,4,3,1,3.3,1.9
448,Largie Ramazani,BEL,Delantero,Almería,21,2001,33,13,1403,3,1,4,6,0,4.2,1.7
449,Chris Ramos,ESP,Delantero,Cádiz,25,1997,15,7,710,1,0,1,2,0,3.0,0.2
450,Raphinha,BRA,Delantero,Barcelona,25,1996,36,25,2072,7,7,14,9,0,9.3,9.8
451,Sergio Reguilón,ESP,Defensa,Atlético Madrid,25,1996,11,2,309,0,0,0,3,1,0.2,0.4
452,Pepe Reina,ESP,PO,Villarreal,39,1982,22,22,1980,0,0,0,2,0,0.0,0.7
453,Reinier,BRA,Centrocampista,Girona,20,2002,18,5,647,2,1,3,1,1,1.3,0.6
454,Karim Rekik,NED,Defensa,Sevilla,27,1994,16,15,1181,1,1,2,2,0,0.8,0.1
455,Álex Remiro,ESP,PO,Real Sociedad,27,1995,38,38,3420,0,0,0,1,0,0.0,0.0
456,Alejandro Revuelta Montero,ESP,Defensa,Getafe,22,2000,1,0,1,0,0,0,0,0,0.0,0.0
457,Chadi Riad,MAR,Centrocampista,Barcelona,19,2003,1,0,2,0,0,0,0,0,0.0,0.0
458,Diego Rico,ESP,Defensa,Real Sociedad,29,1993,20,18,1646,0,0,0,3,0,0.2,1.5
459,Rodrigo Riquelme,ESP,Centrocampista,Girona,22,2000,34,25,2179,4,4,8,1,0,4.0,3.6
460,Sergi Roberto,ESP,Defensa,Barcelona,30,1992,23,15,1308,4,1,5,3,0,2.4,0.9
461,Lucas Robertone,ARG,Centrocampista,Almería,25,1997,37,34,2843,2,7,9,7,0,2.6,6.6
462,Joel Roca,ESP,Centrocampista,Girona,17,2005,5,0,84,0,0,0,1,0,0.3,0.0
463,Enzo Roco,CHI,Defensa,Elche,29,1992,22,19,1652,0,0,0,7,1,0.6,0.0
464,Rodri,ESP,Delantero,Betis,22,2000,30,19,1601,2,3,5,0,0,1.4,2.2
465,Ángel Rodríguez,ESP,Delantero,Mallorca,35,1987,17,2,394,1,0,1,1,0,2.8,0.1
466,Óscar Rodríguez Arnaiz,ESP,Centrocampista,Celta Vigo,24,1998,33,19,1775,2,0,2,6,0,3.6,2.2
467,Dani Rodríguez,ESP,Centrocampista,Mallorca,34,1988,35,26,2100,3,6,9,8,0,2.4,3.2
468,Guido Rodríguez,ARG,Centrocampista,Betis,28,1994,34,33,2872,1,0,1,8,0,1.2,0.4
469,Miguel Rodríguez,ESP,Centrocampista,Celta Vigo,19,2003,7,3,252,1,1,2,0,0,0.2,0.1
470,Rodrygo,BRA,Delantero,Real Madrid,21,2001,34,25,2379,9,8,17,4,0,13.7,7.0
471,Leonardo Román,ESP,PO,Mallorca,22,2000,1,1,90,0,0,0,0,0,0.0,0.0
472,Iván Romero,ESP,Centrocampista,Sevilla,21,2001,1,0,11,0,0,0,1,0,0.0,0.0
473,Oriol Romeu,ESP,Centrocampista,Girona,30,1991,33,33,2950,2,0,2,10,1,1.8,0.9
474,Rubén,ESP,Defensa,Espanyol,21,2001,18,9,888,0,2,2,1,0,0.5,1.5
475,Antonio Rüdiger,GER,Defensa,Real Madrid,29,1993,33,26,2415,1,0,1,1,0,1.8,0.1
476,Aitor Ruibal,ESP,Defensa,Betis,26,1996,26,15,1454,0,0,0,4,1,0.8,2.1
477,Víctor Ruiz,ESP,Defensa,Betis,33,1989,10,5,560,0,0,0,0,0,0.1,0.2
478,Gerónimo Rulli,ARG,PO,Villarreal,30,1992,14,14,1260,0,0,0,1,0,0.0,0.0
479,Franco Russo,ARG,Defensa,Mallorca,27,1994,3,2,145,0,0,0,0,0,0.0,0.0
480,Youssouf Sabaly,SEN,Defensa,Betis,29,1993,23,19,1680,1,1,2,2,0,0.5,0.8
481,Umar Sadiq,NGA,Delantero,Almería,25,1997,3,3,240,2,0,2,1,0,1.5,0.2
482,Samuel Sáiz,ESP,Centrocampista,Girona,31,1991,8,1,240,2,0,2,1,0,1.7,0.2
483,Kike Salas,ESP,Defensa,Sevilla,20,2002,6,4,368,1,1,2,1,1,0.2,0.2
484,Salvi,ESP,Delantero,Rayo Vallecano,31,1991,24,4,490,0,0,0,2,0,0.8,0.7
485,Fede San Emeterio,ESP,Centrocampista,Cádiz,25,1997,33,24,1844,0,1,1,14,0,0.3,0.8
486,Oihan Sancet,ESP,Centrocampista,Athletic Club,22,2000,36,32,2532,10,2,12,6,1,7.6,4.2
487,Antonio Sánchez,ESP,Centrocampista,Mallorca,25,1997,32,11,1076,0,0,0,5,0,0.6,0.8
488,Iván Sánchez,ESP,Centrocampista,Valladolid,29,1992,25,13,1154,1,1,2,0,0,0.8,1.6
489,Javi Sánchez,ESP,Defensa,Valladolid,25,1997,32,28,2392,1,0,1,11,0,0.7,0.1
490,Manu Sánchez,ESP,Defensa,Osasuna,21,2000,31,22,2124,0,2,2,3,0,0.8,2.1
491,Esteban Saveljich,MNE,Delantero,Rayo Vallecano,31,1991,1,0,1,0,0,0,1,0,0.0,0.0
492,Stefan Savić,MNE,Defensa,Atlético Madrid,31,1991,22,22,1943,0,0,0,4,2,0.2,0.0
493,Manuel Sebastián,ESP,Centrocampista,Sevilla,18,2004,2,2,149,0,0,0,0,0,0.0,0.1
494,Haris Seferović,SUI,Delantero,Celta Vigo,30,1992,18,10,887,3,1,4,3,0,1.8,0.5
495,Jaime Seoane,ESP,Centrocampista,Getafe,25,1997,16,2,326,0,0,0,1,0,0.1,0.3
496,David Silva,ESP,Centrocampista,Real Sociedad,36,1986,28,25,1937,2,5,7,3,0,3.9,3.6
497,Rui Silva,POR,PO,Betis,28,1994,26,26,2340,0,0,0,2,0,0.0,0.0
498,Simo,ESP,Defensa,Espanyol,17,2005,7,0,148,0,0,0,0,0,0.0,0.0
499,Unai Simón,ESP,PO,Athletic Club,25,1997,31,31,2745,0,0,0,2,0,0.0,0.0
500,Rubén Sobrino,ESP,Centrocampista,Cádiz,30,1992,33,28,2465,3,2,5,11,0,4.9,2.3
501,Alex Sola,ESP,Defensa,Real Sociedad,23,1999,10,3,349,0,0,0,1,0,0.1,0.1
502,Augusto Solari,ARG,Centrocampista,Celta Vigo,30,1992,12,3,262,0,1,1,0,0,0.3,0.2
503,Carlos Soler,ESP,Centrocampista,Valencia,25,1997,3,3,242,1,0,1,0,0,0.9,0.2
504,David Soria,ESP,PO,Getafe,29,1993,38,38,3420,0,0,0,2,0,0.0,0.2
505,Hugo Sotelo,ESP,Centrocampista,Celta Vigo,18,2003,1,0,17,0,0,0,0,0,0.0,0.0
506,Dyego Sousa,POR,Delantero,Almería,32,1989,20,3,527,0,1,1,1,0,1.2,1.0
507,Vinicius Souza,BRA,Centrocampista,Espanyol,23,1999,34,27,2428,1,1,2,10,1,0.8,0.6
508,Jørgen Strand Larsen,NOR,Delantero,Celta Vigo,22,2000,32,20,1705,4,4,8,4,0,5.6,2.0
509,Cristhian Stuani,URU,Delantero,Girona,35,1986,32,8,1090,9,0,9,8,0,9.7,1.3
510,Damián Suárez,URU,Defensa,Getafe,34,1988,28,26,1946,1,1,2,7,0,1.1,1.8
511,Denis Suárez,ESP,Centrocampista,Espanyol,28,1994,18,11,945,0,0,0,2,0,0.5,1.1
512,Mario Suárez,ESP,Centrocampista,Rayo Vallecano,35,1987,2,0,12,0,0,0,0,1,0.0,0.0
513,Suso,ESP,Centrocampista,Sevilla,28,1993,25,10,1065,2,4,6,1,0,1.1,2.8
514,Williot Swedberg,SWE,Centrocampista,Celta Vigo,18,2004,4,0,55,0,0,0,1,0,0.0,0.0
515,Alexander Sørloth,NOR,Delantero,Real Sociedad,26,1995,34,28,2386,12,3,15,4,0,12.7,4.2
516,Renato Tapia,PER,Centrocampista,Celta Vigo,27,1995,28,16,1451,0,0,0,8,1,1.0,1.1
517,Aurélien Tchouaméni,FRA,Centrocampista,Real Madrid,22,2000,33,24,2119,0,4,4,2,0,1.8,2.2
518,Alex Telles,BRA,Defensa,Sevilla,29,1992,27,15,1427,0,2,2,6,0,0.4,1.8
519,Marc-André ter Stegen,GER,PO,Barcelona,30,1992,38,38,3347,0,0,0,0,0,0.0,0.3
520,Ramón Terrats,ESP,Centrocampista,Villarreal,21,2000,16,11,816,1,1,2,1,0,0.9,1.5
521,Raúl de Tomás,ESP,Delantero,Rayo Vallecano,27,1994,19,9,805,4,0,4,2,0,5.1,0.5
522,Pablo Torre,ESP,Delantero,Barcelona,19,2003,8,1,144,0,0,0,0,0,0.0,0.5
523,David Torres,ESP,Defensa,Valladolid,19,2003,7,2,385,0,0,0,1,0,0.5,0.0
524,Ferrán Torres,ESP,Delantero,Barcelona,22,2000,33,14,1392,4,2,6,5,1,4.9,4.1
525,Óliver Torres,ESP,Centrocampista,Sevilla,27,1994,32,27,2137,3,1,4,2,0,2.6,3.3
526,Pau Torres,ESP,Defensa,Villarreal,25,1997,34,34,3054,1,0,1,10,0,2.4,1.0
527,Roberto Torres,ESP,Delantero,Osasuna,33,1989,2,0,11,0,0,0,0,0,0.0,0.3
528,Lucas Torró,ESP,Centrocampista,Osasuna,28,1994,33,31,2477,1,0,1,10,0,1.4,0.3
529,Nabil Touaizi,MAR,Centrocampista,Espanyol,21,2001,1,0,3,0,0,0,0,0,0.0,0.0
530,Óscar Trejo,ARG,Centrocampista,Rayo Vallecano,34,1988,34,28,2145,3,4,7,9,0,3.4,3.3
531,Manu Trigueros,ESP,Centrocampista,Villarreal,30,1991,23,8,828,0,1,1,2,1,0.4,1.1
532,Viktor Tsyhankov,UKR,Centrocampista,Girona,24,1997,19,17,1489,3,6,9,0,0,2.8,2.9
533,Beñat Turrientes,ESP,Centrocampista,Real Sociedad,20,2002,6,1,106,0,0,0,0,0,0.0,0.2
534,Enes Ünal,TUR,Delantero,Getafe,25,1997,35,35,2970,14,3,17,6,0,11.7,3.5
535,Oscar Ureña,ESP,Centrocampista,Girona,19,2003,3,1,100,0,0,0,0,0,0.2,0.0
536,Óscar Valentín,ESP,Centrocampista,Rayo Vallecano,27,1994,34,29,2555,0,0,0,11,0,0.5,0.9
537,Martin Valjent,SVK,Defensa,Mallorca,26,1995,30,30,2656,0,0,0,8,0,0.3,0.4
538,Jesús Vallejo,ESP,Defensa,Real Madrid,25,1997,1,0,22,0,0,0,0,0,0.3,0.0
539,Manu Vallejo,ESP,Delantero,Girona,25,1997,7,2,206,0,1,1,0,0,0.0,0.3
540,Federico Valverde,URU,Centrocampista,Real Madrid,24,1998,34,29,2502,7,4,11,2,0,4.3,6.3
541,Jesus Vazquez,ESP,Defensa,Valencia,19,2003,10,3,310,0,0,0,1,0,0.2,0.3
542,Kevin Vázquez,ESP,Defensa,Celta Vigo,29,1993,10,6,441,0,0,0,2,0,0.0,0.1
543,Lucas Vázquez,ESP,Defensa,Real Madrid,31,1991,23,12,1144,4,1,5,2,0,1.9,1.6
544,Gabriel Veiga,ESP,Centrocampista,Celta Vigo,20,2002,36,28,2294,11,4,15,6,1,6.1,2.6
545,Unai Vencedor Paris,ESP,Centrocampista,Athletic Club,21,2000,10,0,193,0,0,0,2,0,0.5,0.1
546,Gonzalo Verdú,ESP,Defensa,Elche,33,1988,16,9,703,1,0,1,1,2,0.6,0.0
547,Mikel Vesga,ESP,Centrocampista,Athletic Club,29,1993,36,28,2575,3,3,6,5,0,3.9,1.5
548,Aleix Vidal,ESP,Centrocampista,Espanyol,32,1989,25,10,1025,0,3,3,10,1,0.1,2.2
549,Nacho Vidal,ESP,Defensa,Osasuna,27,1995,20,15,1247,0,0,0,4,0,0.6,0.6
550,Toni Villa,ESP,Centrocampista,Valladolid,27,1995,2,1,91,0,0,0,0,0,0.0,0.0
551,Asier Villalibre,ESP,Delantero,Athletic Club,24,1997,5,1,97,0,0,0,0,0,0.3,0.2
552,Gonzalo Villar,ESP,Centrocampista,Getafe,24,1998,16,3,457,0,0,0,5,0,0.1,0.3
553,Iván Villar,ESP,PO,Celta Vigo,25,1997,19,19,1710,0,0,0,0,0,0.0,0.0
554,Daniel Vivian,ESP,Defensa,Athletic Club,23,1999,29,26,2376,1,0,1,7,1,1.2,0.7
555,Shon Weissman,ISR,Delantero,Valladolid,26,1996,15,6,747,1,0,1,1,0,2.3,0.2
556,Axel Werner,ARG,PO,Elche,26,1996,2,2,180,0,0,0,0,0,0.0,0.0
557,Iñaki Williams,GHA,Delantero,Athletic Club,28,1994,36,34,2836,10,3,13,2,0,10.7,4.8
558,Nico Williams,ESP,Delantero,Athletic Club,20,2002,36,32,2656,6,4,10,3,0,4.9,6.4
559,Axel Witsel,BEL,Defensa,Atlético Madrid,33,1989,33,25,2258,0,0,0,2,1,0.6,0.6
560,Lamine Yamal,ESP,Delantero,Barcelona,15,2007,1,0,8,0,0,0,0,0,0.4,0.0
561,Jawad El Yamiq,MAR,Defensa,Valladolid,30,1992,25,19,1608,1,0,1,1,1,1.1,0.4
562,Joseba Zaldúa,ESP,Defensa,Cádiz,30,1992,10,7,639,0,1,1,4,0,0.0,0.0
563,Oier Zarraga,ESP,Centrocampista,Athletic Club,23,1999,26,6,852,0,0,0,5,0,1.3,1.1
564,Igor Zubeldia,ESP,Defensa,Real Sociedad,25,1997,31,29,2542,1,1,2,11,0,0.9,0.4
565,Martín Zubimendi,ESP,Centrocampista,Real Sociedad,23,1999,36,35,3101,1,3,4,12,0,1.9,2.0
