,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
267,Jon Karrikaburu,ESP,Delantero,Real Sociedad,19,2002,6,0,93,0,0,0,1,0,0.3,0.3
268,Kenedy,BRA,Delantero,Valladolid,26,1996,12,2,275,0,1,1,3,0,0.5,0.6
269,Franck Kessié,CIV,Centrocampista,Barcelona,25,1996,28,7,990,1,1,2,4,0,1.8,0.7
270,Kiké,ESP,Delantero,Osasuna,32,1989,35,7,1021,2,0,2,5,0,4.4,1.1
271,Justin Kluivert,NED,Delantero,Valencia,23,1999,26,15,1447,6,0,6,4,0,6.6,2.4
272,Koke,ESP,Centrocampista,Atlético Madrid,30,1992,33,30,2545,0,3,3,4,0,0.8,1.7
273,Luca Koleosho,ITA,Delantero,Espanyol,17,2004,4,0,59,1,0,1,0,0,0.0,0.0
274,Geoffrey Kondogbia,CTA,Centrocampista,Atlético Madrid,29,1993,20,10,1006,0,2,2,5,0,0.7,0.9
275,Jules Koundé,FRA,Defensa,Barcelona,23,1998,29,28,2426,1,3,4,2,0,1.1,2.8
276,Toni Kroos,GER,Centrocampista,Real Madrid,32,1990,30,25,2155,2,4,6,2,1,1.4,4.4
277,Takefusa Kubo,JPN,Delantero,Real Sociedad,21,2001,35,29,2439,9,4,13,3,0,5.7,6.0
278,César de la Hoz,ESP,Centrocampista,Almería,30,1992,25,18,1673,1,0,1,6,0,0.4,0.9
279,Luca de la Torre,USA,Centrocampista,Celta Vigo,24,1998,28,16,1481,0,2,2,6,0,1.1,1.4
280,Érik Lamela,ARG,Delantero,Sevilla,30,1992,32,20,1844,6,0,6,10,1,5.3,1.4
281,Cyle Larin,CAN,Delantero,Valladolid,27,1995,19,16,1469,8,3,11,4,0,7.5,2.6
282,Juanmi Latasa,ESP,Delantero,Getafe,21,2001,18,2,448,1,0,1,2,0,1.1,0.6
283,Toni Lato,ESP,Defensa,Valencia,24,1997,24,9,914,1,0,1,1,0,0.8,0.9
284,Lázaro,BRA,Delantero,Almería,20,2002,19,7,716,6,0,6,1,0,4.0,0.8
285,Robin Le Normand,ESP,Defensa,Real Sociedad,25,1996,33,31,2796,0,0,0,6,0,1.0,0.1
286,Benjamin Lecomte,FRA,PO,Espanyol,31,1991,10,10,899,0,0,0,1,1,0.0,0.1
287,Florian Lejeune,FRA,Defensa,Rayo Vallecano,31,1991,31,31,2565,4,0,4,6,3,2.8,0.3
288,Iñigo Lekue,ESP,Defensa,Athletic Club,29,1993,20,14,1321,0,1,1,1,0,0.2,0.7
