,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada
50,Léo Baptistão,BRA,Delantero,Espanyol,24,1992,36,31,2677,8,3,11,4,0,10.2,2.5,2017-2018
51,Mariano Barbosa,ARG,PO,Villarreal,33,1984,13,12,1125,0,0,0,0,0,0.0,0.0,2017-2018
52,Enis Bardhi,MKD,Centrocampista,Levante,22,1995,26,16,1580,9,1,10,8,0,3.1,1.3,2017-2018
53,Antonio Barragán,ESP,Defensa,Betis,30,1987,29,28,2373,0,6,6,7,0,0.7,2.8,2017-2018
54,Barri,ESP,Centrocampista,Getafe,21,1995,2,1,113,0,0,0,0,0,0.1,0.0,2017-2018
55,Marc Bartra,ESP,Defensa,Betis,26,1991,16,16,1420,1,0,1,6,0,0.8,0.7,2017-2018
56,Borja Bastón,ESP,Delantero,Málaga,24,1992,20,8,985,2,0,2,2,0,5.1,0.1,2017-2018
57,Jon Bautista,ESP,Delantero,Real Sociedad,22,1995,11,1,181,1,0,1,0,0,1.3,0.1,2017-2018
58,Paul Baysse,FRA,Defensa,Málaga,29,1988,15,13,1239,1,0,1,1,0,1.1,0.0,2017-2018
59,Claudio Beauvue,GLP,Delantero,Leganés,29,1988,28,17,1672,2,0,2,4,0,4.2,1.3,2017-2018
60,Bebé,CPV,Centrocampista,Eibar,27,1990,9,3,365,0,1,1,0,0,0.3,1.7,2017-2018
61,Wissam Ben Yedder,FRA,Delantero,Sevilla,26,1990,25,18,1700,9,3,12,2,1,12.3,2.1,2017-2018
62,Karim Benzema,FRA,Delantero,Real Madrid,29,1987,32,25,2150,5,10,15,0,0,12.8,6.8,2017-2018
63,Markel Bergara,ESP,Centrocampista,Getafe,31,1986,18,18,1463,4,1,5,5,0,2.8,0.0,2017-2018
64,Pedro Bigas,ESP,Defensa,Las Palmas,26,1990,12,11,894,0,0,0,3,0,0.2,0.3,2017-2018
65,Rubén Blanco,ESP,PO,Celta Vigo,22,1995,22,22,1941,0,0,0,3,1,0.0,0.0,2017-2018
66,Emmanuel Boateng,GHA,Delantero,Levante,21,1996,25,10,1276,6,0,6,5,0,7.1,1.3,2017-2018
67,Daniele Bonera,ITA,Defensa,Villarreal,36,1981,15,14,1190,0,1,1,4,1,0.1,0.6,2017-2018
68,Celso Borges,CRC,Centrocampista,La Coruña,29,1988,32,26,2300,3,3,6,4,1,3.4,2.4,2017-2018
69,Ryad Boudebouz,ALG,Centrocampista,Betis,27,1990,27,15,1360,2,3,5,2,0,0.8,2.5,2017-2018
70,Yassine Bounou,MAR,PO,Girona,26,1991,30,30,2655,0,0,0,2,0,0.0,0.0,2017-2018
71,Eneko Bóveda,ESP,Defensa,La Coruña,28,1988,8,7,667,0,0,0,2,0,0.0,0.0,2017-2018
72,Eneko Bóveda,ESP,Defensa,Athletic Club,28,1988,6,6,522,0,1,1,1,0,0.0,0.2,2017-2018
73,Lucas Boyé,ARG,Delantero,Celta Vigo,21,1996,13,2,276,0,0,0,2,0,1.1,0.2,2017-2018
74,Darko Brašanac,SRB,Centrocampista,Leganés,25,1992,23,13,1203,2,0,2,3,0,1.6,1.0,2017-2018
75,Alberto Bueno,ESP,Centrocampista,Málaga,29,1988,11,1,226,0,0,0,0,0,1.1,0.5,2017-2018
76,Burgui,ESP,Centrocampista,Alavés,23,1993,23,12,1034,1,0,1,1,0,0.7,1.6,2017-2018
77,Sergio Busquets,ESP,Centrocampista,Barcelona,29,1988,31,30,2593,1,4,5,8,0,1.0,2.0,2017-2018
78,Unai Bustinza,ESP,Defensa,Leganés,25,1992,20,18,1637,2,0,2,5,0,2.4,0.2,2017-2018
79,Erick Cabaco,URU,Defensa,Levante,22,1995,14,12,1040,0,0,0,5,0,0.6,0.0,2017-2018
80,Gustavo Cabral,ARG,Defensa,Celta Vigo,31,1985,26,20,1891,1,1,2,5,0,0.7,0.3,2017-2018
81,Leandro Cabrera,URU,Defensa,Getafe,26,1991,9,8,720,0,0,0,3,0,0.5,0.3,2017-2018
82,Cala,ESP,Defensa,Getafe,27,1989,20,20,1800,2,2,4,9,0,1.6,0.7,2017-2018
83,Carlos Calderón,ESP,Centrocampista,Getafe,22,1995,1,0,4,0,0,0,0,0,0.0,0.0,2017-2018
84,Jonathan Calleri,ARG,Delantero,Las Palmas,23,1993,37,34,3109,9,3,12,7,0,13.5,2.8,2017-2018
85,Víctor Camarasa,ESP,Centrocampista,Betis,23,1994,24,14,1252,1,0,1,1,0,1.4,1.5,2017-2018
86,José Campaña,ESP,Centrocampista,Levante,24,1993,35,33,2734,1,4,5,9,1,1.4,4.7,2017-2018
87,Joel Campbell,CRC,Centrocampista,Betis,25,1992,8,2,214,2,1,3,1,0,1.1,0.5,2017-2018
88,Sergio Canales,ESP,Centrocampista,Real Sociedad,26,1991,36,20,1928,4,5,9,4,0,3.4,6.0,2017-2018
89,João Cancelo,POR,Centrocampista,Valencia,23,1994,1,1,90,0,0,0,0,0,0.3,0.4,2017-2018
90,Ander Capa,ESP,Defensa,Eibar,25,1992,33,25,2249,0,1,1,4,0,0.2,1.5,2017-2018
91,Lionel Carole,FRA,Defensa,Sevilla,26,1991,6,6,540,0,1,1,0,0,0.3,0.1,2017-2018
92,Yannick Carrasco,BEL,Centrocampista,Atlético Madrid,23,1993,17,8,901,3,4,7,3,0,2.3,2.6,2017-2018
93,Daniel Carriço,POR,Defensa,Sevilla,28,1988,6,5,460,0,0,0,1,0,0.1,0.2,2017-2018
94,Federico Cartabia,ARG,Delantero,La Coruña,24,1993,20,16,1324,2,1,3,6,0,1.7,1.6,2017-2018
95,Dani Carvajal,ESP,Defensa,Real Madrid,25,1992,25,25,2222,0,2,2,11,1,1.0,4.2,2017-2018
96,Casemiro,BRA,Centrocampista,Real Madrid,25,1992,30,30,2595,5,3,8,8,0,3.3,2.7,2017-2018
97,Kiko Casilla,ESP,PO,Real Madrid,30,1986,10,10,900,0,0,0,0,0,0.0,0.0,2017-2018
98,Dani Castellano,ESP,Defensa,Las Palmas,29,1987,24,23,2025,0,2,2,5,0,0.1,0.7,2017-2018
99,Javi Castellano,ESP,Centrocampista,Las Palmas,29,1987,23,17,1566,0,0,0,4,0,0.1,0.1,2017-2018
100,Samu Castillejo,ESP,Centrocampista,Villarreal,22,1995,30,25,2074,6,5,11,4,0,4.5,4.4,2017-2018
101,Chory Castro,URU,Centrocampista,Málaga,32,1984,26,26,2061,4,2,6,5,1,3.4,2.5,2017-2018
102,Jonny Castro,ESP,Defensa,Celta Vigo,23,1994,36,36,3202,2,1,3,10,0,1.8,1.6,2017-2018
103,Rubén Castro,ESP,Delantero,Betis,36,1981,10,3,359,1,1,2,0,0,1.8,0.6,2017-2018
104,Dani Ceballos,ESP,Centrocampista,Real Madrid,20,1996,12,4,401,2,0,2,0,0,0.4,0.2,2017-2018
105,Emanuel Cecchini,ARG,Centrocampista,Málaga,20,1996,2,0,30,0,0,0,2,0,0.0,0.0,2017-2018
106,Nereo Champagne,ARG,PO,Leganés,32,1985,2,2,180,0,0,0,0,0,0.0,0.0,2017-2018
107,Charles,BRA,Delantero,Eibar,33,1984,30,18,1582,8,1,9,5,1,8.1,1.7,2017-2018
108,Chema,ESP,Defensa,Levante,25,1992,25,23,2017,1,1,2,7,1,0.5,0.9,2017-2018
109,Denis Cheryshev,RUS,Centrocampista,Villarreal,26,1990,24,9,926,2,1,3,2,0,5.1,3.5,2017-2018
110,Leandro Chichizola,ARG,PO,Las Palmas,27,1990,27,27,2430,0,0,0,2,0,0.0,0.0,2017-2018
111,Chuca,ESP,Centrocampista,Villarreal,20,1997,4,1,88,0,0,0,1,0,0.1,0.0,2017-2018
112,Cifu,ESP,Defensa,Málaga,26,1990,2,1,108,0,0,0,0,0,0.0,0.1,2017-2018
113,Jasper Cillessen,NED,PO,Barcelona,28,1989,1,1,90,0,0,0,0,0,0.0,0.0,2017-2018
114,Coke,ESP,Defensa,Levante,30,1987,17,16,1383,3,0,3,5,1,1.9,0.4,2017-2018
115,Emre Çolak,TUR,Centrocampista,La Coruña,26,1991,26,17,1449,1,1,2,4,0,1.2,4.0,2017-2018
116,Francis Coquelin,FRA,Centrocampista,Valencia,26,1991,9,7,657,1,0,1,2,0,0.3,0.1,2017-2018
117,Sébastien Corchia,FRA,Defensa,Sevilla,26,1990,12,9,821,0,1,1,4,0,0.3,0.5,2017-2018
118,Iñigo Córdoba,ESP,Delantero,Athletic Club,20,1997,30,18,1459,1,1,2,3,0,1.5,1.9,2017-2018
119,Ángel Correa,ARG,Centrocampista,Atlético Madrid,22,1995,37,27,2253,8,4,12,4,1,5.9,2.7,2017-2018
120,Joaquín Correa,ARG,Delantero,Sevilla,22,1994,21,15,1193,1,1,2,5,0,2.4,2.0,2017-2018
121,Diego Costa,ESP,Delantero,Atlético Madrid,28,1988,15,13,1041,3,3,6,7,1,3.6,2.4,2017-2018
122,Jaume Costa,ESP,Defensa,Villarreal,29,1988,30,29,2536,0,0,0,14,1,0.5,1.7,2017-2018
123,Philippe Coutinho,BRA,Centrocampista,Barcelona,25,1992,18,16,1296,8,5,13,1,0,3.6,4.2,2017-2018
124,Juan Cruz,ESP,Delantero,Málaga,17,2000,1,0,7,0,0,0,0,0,0.0,0.0,2017-2018
125,Iván Cuéllar,ESP,PO,Leganés,33,1984,35,35,3150,0,0,0,4,0,0.0,0.1,2017-2018
126,Sergi Darder,ESP,Centrocampista,Espanyol,23,1993,35,32,2782,1,2,3,7,0,1.1,2.4,2017-2018
127,Salem Al-Dawsari,KSA,Centrocampista,Villarreal,25,1991,1,0,34,0,0,0,1,0,0.0,0.0,2017-2018
128,Ousmane Dembélé,FRA,Delantero,Barcelona,20,1997,17,12,925,3,6,9,2,0,2.1,3.7,2017-2018
129,Ermedin Demirović,BIH,Delantero,Alavés,19,1998,3,2,182,1,1,2,0,0,1.7,0.0,2017-2018
130,Gerard Deulofeu,ESP,Centrocampista,Barcelona,23,1994,10,5,503,1,1,2,1,0,1.2,1.5,2017-2018
131,Adrián Diéguez,ESP,Defensa,Alavés,21,1996,6,6,435,0,0,0,5,0,0.1,0.0,2017-2018
132,Lucas Digne,FRA,Defensa,Barcelona,24,1993,12,8,704,0,2,2,2,0,0.3,1.8,2017-2018
133,Papakouli Diop,SEN,Centrocampista,Espanyol,31,1986,5,3,264,0,0,0,2,0,0.0,0.0,2017-2018
134,Papakouli Diop,SEN,Centrocampista,Eibar,31,1986,15,12,940,0,0,0,5,0,1.0,0.2,2017-2018
135,Djené,TOG,Defensa,Getafe,25,1991,36,36,3239,1,0,1,9,0,0.7,0.2,2017-2018
136,Marko Dmitrović,SRB,PO,Eibar,25,1992,36,36,3240,0,0,0,1,0,0.0,0.0,2017-2018
137,Jaume Doménech,ESP,PO,Valencia,26,1990,5,5,450,0,0,0,2,0,0.0,0.0,2017-2018
138,Mauro dos Santos,ARG,Defensa,Leganés,28,1989,14,10,983,0,0,0,3,0,0.1,0.0,2017-2018
139,Cheick Doukouré,CIV,Centrocampista,Levante,24,1992,19,12,1022,1,0,1,4,0,1.1,0.3,2017-2018
140,Óscar Duarte,CRC,Defensa,Espanyol,28,1989,11,11,990,0,0,0,1,0,0.6,0.0,2017-2018
141,Rubén Duarte,ESP,Defensa,Alavés,21,1995,24,24,2138,0,2,2,9,1,0.8,1.6,2017-2018
142,Riza Durmisi,DEN,Defensa,Betis,23,1994,24,23,2080,2,3,5,4,0,1.9,2.6,2017-2018
