,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada
722,Beñat Etxebarria,ESP,Centrocampista,Athletic Club,31,1987,27,25,2031,1,2,3,8,0,0.5,2.6,2018-2019
723,Xabier Etxeita,ESP,Defensa,Huesca,30,1987,31,30,2677,4,0,4,10,0,2.7,0.3,2018-2019
724,Zouhair Feddal,MAR,Defensa,Betis,29,1989,21,19,1702,1,1,2,7,0,1.6,1.0,2018-2019
725,Aitor Fernández,ESP,PO,Levante,27,1991,16,16,1440,0,0,0,0,0,0.0,0.3,2018-2019
726,Andrés Fernández,ESP,PO,Villarreal,31,1986,6,6,540,0,0,0,2,0,0.0,0.0,2018-2019
727,Borja Fernández,ESP,Centrocampista,Valladolid,37,1981,19,10,841,0,0,0,4,0,0.2,0.0,2018-2019
728,Joaquín Fernández,ESP,Defensa,Valladolid,22,1996,13,9,839,1,0,1,2,0,0.7,0.0,2018-2019
729,Valery Fernández,ESP,Defensa,Girona,18,1999,17,10,888,0,1,1,2,0,0.1,0.7,2018-2019
730,David Ferreiro,ESP,Centrocampista,Huesca,30,1988,35,23,2280,1,3,4,5,0,2.8,5.4,2018-2019
731,Facundo Ferreyra,ARG,Delantero,Espanyol,27,1991,9,1,211,1,0,1,2,0,0.5,0.0,2018-2019
732,Junior Firpo,ESP,Defensa,Betis,21,1996,24,22,1937,3,4,7,7,0,2.2,2.2,2018-2019
733,Mathieu Flamini,FRA,Centrocampista,Getafe,34,1984,10,4,453,0,0,0,5,0,0.0,0.0,2018-2019
734,Pablo Fornals,ESP,Centrocampista,Villarreal,22,1996,35,28,2479,2,3,5,4,0,3.7,5.9,2018-2019
735,Dimitri Foulquier,FRA,Centrocampista,Getafe,25,1993,25,23,1799,3,2,5,7,0,1.1,1.7,2018-2019
736,Javi Fuego,ESP,Centrocampista,Villarreal,34,1984,5,3,233,0,0,0,1,0,0.0,0.0,2018-2019
737,Ramiro Funes Mori,ARG,Defensa,Villarreal,27,1991,31,29,2627,2,1,3,15,0,2.4,0.5,2018-2019
738,Javi Galán,ESP,Defensa,Huesca,23,1994,16,16,1440,0,2,2,7,0,0.1,2.4,2018-2019
739,Álex Gallar,ESP,Centrocampista,Huesca,26,1992,25,10,1009,4,1,5,2,0,3.6,2.8,2018-2019
740,Enric Gallego,ESP,Delantero,Huesca,31,1986,19,17,1539,5,1,6,4,0,4.7,2.1,2018-2019
741,Álex Gálvez,ESP,Defensa,Rayo Vallecano,29,1989,17,17,1412,1,0,1,6,0,2.1,0.5,2018-2019
742,Kévin Gameiro,FRA,Delantero,Valencia,31,1987,33,16,1612,6,1,7,1,0,8.8,3.7,2018-2019
743,Cristian Ganea,ROU,Defensa,Athletic Club,26,1992,1,1,49,0,0,0,0,0,0.0,0.0,2018-2019
744,Ezequiel Garay,ARG,Defensa,Valencia,31,1986,24,24,2136,2,0,2,4,0,1.6,0.5,2018-2019
745,Borja Garcés,ESP,Delantero,Atlético Madrid,18,1999,1,0,20,1,0,1,0,0,0.5,0.0,2018-2019
746,Alberto García,ESP,PO,Rayo Vallecano,33,1985,17,17,1530,0,0,0,1,0,0.0,0.0,2018-2019
747,Aleix García,ESP,Centrocampista,Girona,21,1997,31,20,1663,2,1,3,1,0,1.5,2.1,2018-2019
748,Álvaro García,ESP,Delantero,Rayo Vallecano,25,1992,35,17,1766,4,2,6,3,0,4.2,2.9,2018-2019
749,Borja García,ESP,Centrocampista,Girona,27,1990,33,30,2629,1,3,4,0,1,2.0,4.8,2018-2019
750,Dani García,ESP,Centrocampista,Athletic Club,28,1990,29,29,2476,0,1,1,13,0,0.0,0.1,2018-2019
751,Javi García,ESP,Defensa,Betis,31,1987,13,6,524,0,0,0,0,1,0.0,0.0,2018-2019
752,Manu García,ESP,Centrocampista,Alavés,32,1986,34,25,2330,1,1,2,6,0,2.9,0.7,2018-2019
753,Raúl García,ESP,Centrocampista,Athletic Club,32,1986,33,27,2369,9,3,12,12,0,8.7,3.0,2018-2019
754,Raúl García,ESP,Defensa,Leganés,29,1989,5,4,381,0,0,0,1,0,0.0,0.0,2018-2019
755,Raúl García,ESP,Defensa,Girona,29,1989,10,10,850,0,1,1,1,0,0.4,0.3,2018-2019
756,Sergio García,ESP,Delantero,Espanyol,35,1983,29,17,1486,2,1,3,3,0,3.3,2.3,2018-2019
757,Mario Gaspar,ESP,Defensa,Villarreal,27,1990,31,30,2599,1,2,3,17,1,1.9,2.6,2018-2019
758,Bryan Gil,ESP,Centrocampista,Sevilla,17,2001,11,0,167,1,1,2,0,0,0.8,0.4,2018-2019
759,Joris Gnagnon,FRA,Defensa,Sevilla,21,1997,7,4,446,0,0,0,2,0,0.1,0.1,2018-2019
760,Diego Godín,URU,Defensa,Atlético Madrid,32,1986,30,28,2509,3,1,4,6,0,2.6,0.3,2018-2019
761,Ibai Gómez,ESP,Delantero,Athletic Club,28,1989,14,6,580,0,2,2,0,0,0.4,1.4,2018-2019
762,Ibai Gómez,ESP,Centrocampista,Alavés,28,1989,18,17,1449,3,2,5,0,0,3.3,2.1,2018-2019
763,Maxi Gómez,URU,Delantero,Celta Vigo,21,1996,35,33,2960,13,5,18,6,1,12.5,3.0,2018-2019
764,Moi Gómez,ESP,Centrocampista,Huesca,24,1994,36,35,3055,2,7,9,3,0,2.1,4.8,2018-2019
765,Sergi Gómez,ESP,Defensa,Sevilla,26,1992,32,31,2765,0,0,0,1,0,0.8,0.4,2018-2019
766,Maxime Gonalons,FRA,Centrocampista,Sevilla,29,1989,10,5,540,0,0,0,0,0,0.2,0.1,2018-2019
767,Álvaro González,ESP,Defensa,Villarreal,28,1990,33,33,2964,1,2,3,17,2,1.2,1.2,2018-2019
768,Bruno González,ESP,Defensa,Getafe,28,1990,23,18,1701,0,1,1,7,1,0.7,0.3,2018-2019
769,Cristo González,ESP,Delantero,Real Madrid,20,1997,1,0,45,0,0,0,0,0,0.0,0.0,2018-2019
770,Andoni Gorosabel,ESP,Defensa,Real Sociedad,21,1996,7,6,455,0,0,0,0,0,0.1,0.5,2018-2019
771,Álex Granell,ESP,Centrocampista,Girona,29,1988,32,26,2391,0,4,4,5,0,1.2,6.0,2018-2019
772,Esteban Granero,ESP,Centrocampista,Espanyol,31,1987,28,24,2013,3,1,4,11,0,1.8,1.5,2018-2019
773,Antoine Griezmann,FRA,Delantero,Atlético Madrid,27,1991,37,37,3198,15,8,23,5,0,13.9,7.7,2018-2019
774,Andrés Guardado,MEX,Centrocampista,Betis,31,1986,31,27,2335,0,4,4,8,0,1.4,3.6,2018-2019
775,Sergi Guardiola,ESP,Delantero,Valladolid,27,1991,17,17,1514,3,1,4,0,0,5.4,2.2,2018-2019
776,Sergi Guardiola,ESP,Centrocampista,Getafe,27,1991,3,0,30,0,0,0,0,0,0.1,0.0,2018-2019
777,Gonçalo Guedes,POR,Centrocampista,Valencia,21,1996,25,18,1465,5,3,8,2,0,2.1,2.7,2018-2019
778,Javi Guerra,ESP,Delantero,Rayo Vallecano,36,1982,8,1,236,0,1,1,0,0,0.8,0.6,2018-2019
779,Francis Guerrero,ESP,Defensa,Betis,22,1996,22,22,1778,0,1,1,2,0,0.4,1.4,2018-2019
780,Ander Guevara,ESP,Centrocampista,Real Sociedad,21,1997,1,1,90,0,0,0,0,0,0.1,0.0,2018-2019
781,John Guidetti,SWE,Delantero,Alavés,26,1992,22,6,631,2,1,3,2,0,1.4,1.0,2018-2019
782,Gerard Gumbau,ESP,Centrocampista,Leganés,23,1994,16,13,1199,1,1,2,6,1,2.0,0.4,2018-2019
783,Serdar Gürler,TUR,Centrocampista,Huesca,26,1991,13,5,482,0,1,1,2,0,0.7,0.2,2018-2019
784,Gorka Guruzeta,ESP,Centrocampista,Athletic Club,21,1996,6,0,50,0,0,0,0,0,0.1,0.1,2018-2019
785,Hacen,MTN,Centrocampista,Valladolid,20,1997,1,0,3,0,0,0,0,0,0.0,0.0,2018-2019
786,Munir El Haddadi,MAR,Delantero,Sevilla,22,1995,16,12,1042,5,1,6,2,0,5.1,0.9,2018-2019
787,Munir El Haddadi,MAR,Delantero,Barcelona,22,1995,7,1,152,1,1,2,0,0,0.9,0.6,2018-2019
788,Uche Henry Agbo,NGA,Centrocampista,Rayo Vallecano,22,1995,6,5,372,0,0,0,2,0,0.0,0.0,2018-2019
789,Mario Hermoso,ESP,Defensa,Espanyol,23,1995,32,31,2806,3,0,3,7,0,2.6,0.4,2018-2019
790,Lucas Hernández,FRA,Defensa,Atlético Madrid,22,1996,14,13,1117,1,0,1,5,0,0.8,0.8,2018-2019
791,Theo Hernández,FRA,Defensa,Real Sociedad,20,1997,24,22,1976,1,2,3,5,1,1.4,1.8,2018-2019
792,Yangel Herrera,VEN,Centrocampista,Huesca,20,1998,16,14,1154,0,0,0,5,0,0.5,0.2,2018-2019
793,Iago Herrerín,ESP,PO,Athletic Club,30,1988,31,31,2790,0,1,1,1,0,0.0,0.5,2018-2019
794,Pablo Hervías,ESP,Centrocampista,Valladolid,25,1993,3,2,160,0,0,0,1,0,0.1,0.3,2018-2019
795,Pablo Hervías,ESP,Centrocampista,Eibar,25,1993,3,2,180,0,1,1,0,0,0.1,0.3,2018-2019
796,Andrew Hjulsager,DEN,Centrocampista,Celta Vigo,23,1995,15,2,359,0,3,3,1,0,0.1,1.7,2018-2019
797,Wesley Hoedt,NED,Defensa,Celta Vigo,24,1994,10,9,893,0,0,0,3,1,0.3,0.4,2018-2019
798,Robert Ibáñez,ESP,Centrocampista,Getafe,25,1993,7,0,76,0,0,0,1,0,0.2,0.0,2018-2019
799,Vicente Iborra,ESP,Centrocampista,Villarreal,30,1988,19,19,1665,3,1,4,7,0,2.3,0.9,2018-2019
800,Borja Iglesias,ESP,Delantero,Espanyol,25,1993,37,35,3075,17,3,20,5,0,16.0,4.1,2018-2019
801,Asier Illarramendi,ESP,Centrocampista,Real Sociedad,28,1990,23,20,1821,1,1,2,8,0,0.5,1.4,2018-2019
802,Giannelli Imbula,COD,Centrocampista,Rayo Vallecano,25,1992,22,21,1732,1,1,2,7,0,0.9,0.9,2018-2019
803,Pablo Insua,ESP,Defensa,Huesca,24,1993,10,10,776,0,0,0,4,0,0.1,0.1,2018-2019
804,Takashi Inui,JPN,Centrocampista,Alavés,30,1988,12,10,828,2,0,2,0,0,2.2,0.6,2018-2019
805,Takashi Inui,JPN,Centrocampista,Betis,30,1988,8,5,377,0,0,0,0,0,1.0,0.1,2018-2019
806,Gorka Iraizoz,ESP,PO,Girona,37,1981,7,6,559,0,0,0,0,0,0.0,0.0,2018-2019
807,Carlos Isaac,ESP,Defensa,Atlético Madrid,20,1998,1,1,90,0,0,0,0,0,0.1,0.0,2018-2019
808,Isco,ESP,Centrocampista,Real Madrid,26,1992,27,11,1192,3,2,5,3,0,5.1,2.8,2018-2019
809,Manuel Iturra,CHI,Centrocampista,Villarreal,34,1984,3,1,74,0,0,0,1,0,0.0,0.0,2018-2019
810,Ander Iturraspe,ESP,Centrocampista,Athletic Club,29,1989,3,1,98,0,0,0,1,0,0.0,0.0,2018-2019
811,Ivi,ESP,Centrocampista,Valladolid,24,1994,3,0,20,0,0,0,0,0,0.1,0.0,2018-2019
812,Adnan Januzaj,BEL,Delantero,Real Sociedad,23,1995,20,13,1254,1,3,4,1,0,2.4,3.0,2018-2019
813,Jason,ESP,Defensa,Levante,24,1994,30,26,2330,2,5,7,10,0,3.2,4.8,2018-2019
814,Mathias Jensen,DEN,Centrocampista,Celta Vigo,22,1996,6,3,235,0,0,0,0,0,0.1,0.1,2018-2019
815,Jesé,ESP,Delantero,Betis,25,1993,14,9,779,2,0,2,2,0,3.3,0.7,2018-2019
816,Joaquín,ESP,Delantero,Betis,37,1981,30,17,1696,6,0,6,5,0,3.2,3.5,2018-2019
817,Jony,ESP,Centrocampista,Alavés,27,1991,36,34,2971,5,11,16,3,0,4.6,9.6,2018-2019
818,Joan Jordán,ESP,Centrocampista,Eibar,24,1994,36,32,2875,4,4,8,10,0,2.6,5.0,2018-2019
819,Willian José,BRA,Delantero,Real Sociedad,26,1991,31,28,2367,11,5,16,5,1,11.7,3.7,2018-2019
820,Aleksandar Jovanović,SRB,PO,Huesca,25,1992,12,12,1080,0,0,0,1,0,0.0,0.0,2018-2019
821,Jozabed,ESP,Centrocampista,Celta Vigo,27,1991,20,14,1155,0,0,0,1,0,0.4,0.8,2018-2019
822,Miguel Juan Llambrich,ESP,Defensa,Villarreal,22,1996,8,5,544,0,0,0,1,0,0.1,0.2,2018-2019
823,Juanfran,ESP,Defensa,Leganés,29,1988,23,17,1459,1,1,2,0,0,0.4,1.9,2018-2019
824,Juanfran,ESP,Defensa,Atlético Madrid,33,1985,22,18,1609,0,2,2,7,0,0.0,3.5,2018-2019
825,Juanmi,ESP,Delantero,Real Sociedad,25,1993,30,16,1523,5,2,7,5,1,6.6,1.5,2018-2019
826,Juanpe,ESP,Defensa,Girona,27,1991,33,31,2767,0,0,0,8,0,1.7,0.2,2018-2019
827,Juanpi,VEN,Centrocampista,Huesca,24,1994,14,8,670,2,2,4,2,0,2.0,0.5,2018-2019
828,David Juncà,ESP,Defensa,Celta Vigo,24,1993,21,21,1754,0,3,3,6,0,0.5,0.9,2018-2019
829,Vinicius Júnior,BRA,Delantero,Real Madrid,18,2000,18,9,869,2,0,2,0,0,3.6,1.5,2018-2019
830,Gaël Kakuta,COD,Centrocampista,Rayo Vallecano,27,1991,12,9,717,1,0,1,1,0,1.1,0.2,2018-2019
831,Nikola Kalinić,CRO,Delantero,Atlético Madrid,30,1988,17,7,642,2,0,2,3,0,1.8,0.2,2018-2019
832,Lee Kang-in,KOR,Centrocampista,Valencia,17,2001,3,0,24,0,0,0,1,0,0.0,0.0,2018-2019
833,Wilfrid Kaptoum,CMR,Centrocampista,Betis,22,1996,10,9,773,0,0,0,2,0,0.1,0.1,2018-2019
834,Keko,ESP,Centrocampista,Valladolid,26,1991,26,20,1533,2,1,3,2,0,3.4,1.6,2018-2019
835,Kiké,ESP,Delantero,Eibar,28,1989,30,15,1298,3,0,3,0,0,5.6,1.8,2018-2019
836,Simon Kjær,DEN,Defensa,Sevilla,29,1989,26,25,2008,0,0,0,5,0,0.9,0.5,2018-2019
837,Kenan Kodro,BIH,Delantero,Athletic Club,24,1993,11,0,161,1,0,1,0,0,0.2,0.1,2018-2019
838,Koke,ESP,Centrocampista,Atlético Madrid,26,1992,30,29,2586,3,5,8,10,1,1.5,4.8,2018-2019
839,Geoffrey Kondogbia,CTA,Centrocampista,Valencia,25,1993,19,14,1245,1,1,2,1,0,2.2,0.9,2018-2019
840,Vasyl Kravets,UKR,Defensa,Leganés,20,1997,6,6,481,0,0,0,2,0,0.1,0.9,2018-2019
841,Toni Kroos,GER,Centrocampista,Real Madrid,28,1990,28,26,2221,0,4,4,2,0,1.4,5.3,2018-2019
842,Víctor Laguardia,ESP,Defensa,Alavés,28,1989,36,36,3240,1,2,3,13,0,1.7,1.0,2018-2019
843,Diego Lainez,MEX,Delantero,Betis,18,2000,12,3,353,0,1,1,2,0,0.3,0.4,2018-2019
844,Toni Lato,ESP,Defensa,Valencia,20,1997,4,3,270,0,0,0,1,0,0.1,0.0,2018-2019
845,Miguel Layún,MEX,Centrocampista,Villarreal,30,1988,8,5,506,0,1,1,1,0,0.5,0.9,2018-2019
846,Robin Le Normand,ESP,Defensa,Real Sociedad,21,1996,4,3,284,0,1,1,1,0,0.2,0.9,2018-2019
847,Wu Lei,CHN,Delantero,Espanyol,26,1991,16,12,1061,3,1,4,1,0,5.1,1.5,2018-2019
848,Iñigo Lekue,ESP,Defensa,Athletic Club,25,1993,4,2,211,0,0,0,1,0,0.0,0.1,2018-2019
849,Thomas Lemar,FRA,Centrocampista,Atlético Madrid,22,1995,31,22,1817,3,3,6,4,0,3.0,3.3,2018-2019
850,Clément Lenglet,FRA,Defensa,Barcelona,23,1995,23,22,1933,1,0,1,8,1,0.9,0.0,2018-2019
851,Pedro León,ESP,Centrocampista,Eibar,31,1986,9,5,425,1,0,1,0,0,1.0,0.3,2018-2019
852,Sergio León,ESP,Delantero,Betis,29,1989,16,6,638,0,1,1,1,0,0.6,0.6,2018-2019
853,Diego Llorente,ESP,Defensa,Real Sociedad,24,1993,21,20,1752,0,0,0,5,0,0.5,0.1,2018-2019
854,Marcos Llorente,ESP,Centrocampista,Real Madrid,23,1995,7,6,540,0,0,0,1,0,0.1,0.2,2018-2019
855,Giovani Lo Celso,ARG,Centrocampista,Betis,22,1996,32,27,2397,9,4,13,5,0,8.2,4.0,2018-2019
856,Stanislav Lobotka,SVK,Centrocampista,Celta Vigo,23,1994,31,27,2489,0,1,1,1,0,0.9,0.9,2018-2019
857,Samuele Longo,ITA,Delantero,Huesca,26,1992,15,6,556,1,2,3,4,0,1.8,1.7,2018-2019
858,Álex López,ESP,Centrocampista,Espanyol,21,1997,4,1,112,0,0,0,1,0,0.0,0.0,2018-2019
859,David López,ESP,Defensa,Espanyol,28,1989,21,21,1819,0,0,0,4,0,1.0,0.3,2018-2019
860,Diego López,ESP,PO,Espanyol,36,1981,38,38,3420,0,0,0,2,0,0.0,0.0,2018-2019
861,Javi López,ESP,Defensa,Espanyol,32,1986,23,21,1948,0,1,1,5,1,0.7,0.9,2018-2019
862,Lluis López,ESP,Defensa,Espanyol,21,1997,6,5,521,0,0,0,0,0,0.2,0.0,2018-2019
863,Pedro López Muñoz,ESP,Defensa,Levante,34,1983,8,4,465,0,1,1,1,0,0.1,0.5,2018-2019
864,Pau López,ESP,PO,Betis,23,1994,33,33,2970,0,0,0,3,0,0.0,0.0,2018-2019
865,Roberto López,ESP,Centrocampista,Real Sociedad,18,2000,1,0,29,0,0,0,0,0,0.0,0.0,2018-2019
866,Unai López,ESP,Centrocampista,Athletic Club,22,1995,7,3,328,0,0,0,1,0,0.2,0.4,2018-2019
867,Anthony Lozano,HON,Delantero,Girona,25,1993,20,7,730,0,0,0,4,1,2.3,0.4,2018-2019
868,Filipe Luís,BRA,Defensa,Atlético Madrid,32,1985,27,24,2030,2,2,4,4,0,0.8,1.1,2018-2019
869,José Luis Gayà,ESP,Defensa,Valencia,23,1995,35,35,3137,1,1,2,10,0,1.0,2.3,2018-2019
870,José Luis Morales,ESP,Delantero,Levante,31,1987,37,35,3195,12,5,17,7,0,13.6,6.0,2018-2019
871,Luisinho,POR,Defensa,Huesca,33,1985,7,6,507,0,0,0,4,0,0.1,0.7,2018-2019
872,Douglas Luiz,BRA,Centrocampista,Girona,20,1998,23,16,1490,0,0,0,7,0,1.6,0.5,2018-2019
873,Antonio Luna,ESP,Defensa,Levante,27,1991,16,14,1258,0,2,2,4,0,0.2,1.8,2018-2019
874,Andriy Lunin,UKR,PO,Leganés,19,1999,5,4,365,0,0,0,0,0,0.0,0.0,2018-2019
875,Nemanja Maksimović,SRB,Centrocampista,Getafe,23,1995,36,36,3209,1,0,1,4,0,2.6,0.5,2018-2019
876,Malcom,BRA,Delantero,Barcelona,21,1997,15,6,614,1,2,3,0,0,1.4,1.7,2018-2019
877,Hugo Mallo,ESP,Defensa,Celta Vigo,27,1991,35,35,3092,1,4,5,11,0,1.8,4.7,2018-2019
878,Aïssa Mandi,ALG,Defensa,Betis,26,1991,35,34,3059,1,1,2,10,0,0.6,1.5,2018-2019
879,Martín Mantovani,ARG,Defensa,Huesca,34,1984,9,6,701,2,0,2,2,0,0.5,0.0,2018-2019
880,Fran Manzanara,ESP,Defensa,Levante,21,1996,4,1,157,0,0,0,0,0,0.6,0.0,2018-2019
881,Marcelo,BRA,Defensa,Real Madrid,30,1988,23,21,1853,2,2,4,6,0,1.9,3.1,2018-2019
882,Óscar de Marcos,ESP,Defensa,Athletic Club,29,1989,30,28,2421,1,2,3,7,2,1.3,3.3,2018-2019
883,Miguel Marí,ESP,Centrocampista,Eibar,21,1997,2,0,69,0,0,0,0,0,0.0,0.0,2018-2019
884,José María Giménez,URU,Defensa,Atlético Madrid,23,1995,21,19,1772,0,0,0,5,0,1.2,0.5,2018-2019
885,Mariano,DOM,Delantero,Real Madrid,24,1993,13,3,447,3,0,3,2,0,2.6,1.0,2018-2019
886,Adrián Marín,ESP,Defensa,Alavés,21,1997,6,2,290,0,0,0,2,0,0.3,0.0,2018-2019
887,Guillermo Maripán,CHI,Defensa,Alavés,24,1994,23,22,2008,2,2,4,5,0,2.5,1.0,2018-2019
888,Roger Martí,ESP,Delantero,Levante,27,1991,31,23,1887,13,0,13,5,0,12.8,1.0,2018-2019
889,Iñigo Martínez,ESP,Defensa,Athletic Club,27,1991,33,33,2902,0,0,0,12,0,2.1,0.6,2018-2019
890,Gelson Martins,POR,Delantero,Atlético Madrid,23,1995,8,1,229,0,0,0,0,0,0.3,0.1,2018-2019
891,Jordi Masip,ESP,PO,Valladolid,29,1989,35,35,3150,0,0,0,1,0,0.0,0.0,2018-2019
892,Jaime Mata,ESP,Delantero,Getafe,29,1988,34,27,2432,14,6,20,10,0,12.4,2.5,2018-2019
893,Borja Mayoral,ESP,Delantero,Levante,21,1997,29,16,1621,3,2,5,1,0,4.7,3.1,2018-2019
894,Róbert Mazáň,SVK,Defensa,Celta Vigo,24,1994,1,1,90,0,0,0,0,0,0.0,0.1,2018-2019
895,Álvaro Medrán,ESP,Centrocampista,Rayo Vallecano,24,1994,21,12,1149,3,0,3,8,1,2.3,1.6,2018-2019
896,Óscar Melendo,ESP,Centrocampista,Espanyol,20,1997,32,22,1997,0,5,5,3,0,0.4,4.0,2018-2019
897,Gonzalo Melero,ESP,Centrocampista,Huesca,24,1994,22,14,1345,2,1,3,3,0,5.1,1.9,2018-2019
898,Arthur Melo,BRA,Centrocampista,Barcelona,21,1996,27,19,1430,0,1,1,2,0,0.3,1.1,2018-2019
899,Brais Méndez,ESP,Centrocampista,Celta Vigo,21,1997,31,27,2349,6,7,13,5,0,5.5,4.1,2018-2019
900,Gabriel Mercado,ARG,Defensa,Sevilla,31,1987,23,19,1738,2,1,3,10,0,1.8,0.4,2018-2019
901,Mikel Merino,ESP,Centrocampista,Real Sociedad,22,1996,29,24,2055,3,3,6,10,1,2.9,2.4,2018-2019
902,Sabin Merino,ESP,Delantero,Leganés,26,1992,12,2,295,0,0,0,0,0,1.5,0.1,2018-2019
903,Martín Merquelanz,ESP,Centrocampista,Real Sociedad,23,1995,1,0,6,0,0,0,0,0,0.0,0.0,2018-2019
904,Roque Mesa,ESP,Centrocampista,Sevilla,29,1989,31,20,1746,2,2,4,11,1,1.2,1.7,2018-2019
905,Lionel Messi,ARG,Delantero,Barcelona,31,1987,34,29,2713,36,13,49,3,0,23.8,14.4,2018-2019
906,Míchel,ESP,Centrocampista,Valladolid,30,1988,35,27,2553,1,2,3,9,0,1.5,4.2,2018-2019
907,Miguel,ESP,Delantero,Valladolid,18,1999,2,0,12,0,0,0,0,0,0.1,0.0,2018-2019
908,Pere Milla,ESP,Centrocampista,Eibar,25,1992,5,5,341,0,0,0,0,0,0.2,0.2,2018-2019
909,Santi Mina,ESP,Delantero,Valencia,22,1995,30,23,1852,7,5,12,4,0,8.1,3.9,2018-2019
910,Ignasi Miquel,ESP,Defensa,Getafe,25,1992,7,4,316,0,0,0,1,0,0.0,0.0,2018-2019
911,Jorge Miramón,ESP,Defensa,Huesca,29,1989,30,30,2492,1,0,1,5,0,0.8,1.9,2018-2019
912,Luka Modrić,CRO,Centrocampista,Real Madrid,32,1985,34,31,2608,3,6,9,6,0,2.7,3.8,2018-2019
913,Johan Mojica,COL,Delantero,Girona,25,1992,1,0,20,0,0,0,0,0,0.0,0.0,2018-2019
914,Jorge Molina,ESP,Delantero,Getafe,36,1982,38,28,2648,14,5,19,2,0,11.5,6.6,2018-2019
915,Victor Mollejo,ESP,Delantero,Atlético Madrid,17,2001,4,0,65,0,0,0,0,0,0.1,0.0,2018-2019
916,Francisco Montero,ESP,Defensa,Atlético Madrid,19,1999,9,4,404,0,0,0,2,0,0.0,0.0,2018-2019
917,Emre Mor,TUR,Delantero,Celta Vigo,21,1997,10,4,369,0,0,0,1,0,0.7,0.1,2018-2019
918,Álvaro Morata,ESP,Delantero,Atlético Madrid,25,1992,15,13,1083,6,1,7,5,0,6.3,0.7,2018-2019
919,Álex Moreno,ESP,Defensa,Rayo Vallecano,25,1993,36,36,3136,1,1,2,5,0,1.1,2.6,2018-2019
920,Gerard Moreno,ESP,Delantero,Villarreal,26,1992,35,25,2315,8,1,9,3,0,12.0,3.9,2018-2019
921,Héctor Moreno,MEX,Defensa,Real Sociedad,30,1988,25,21,1933,1,0,1,2,0,0.6,0.5,2018-2019
922,Sergio Moreno,ESP,Delantero,Rayo Vallecano,19,1999,1,0,14,0,0,0,0,0,0.3,0.0,2018-2019
923,Manu Morlanes,ESP,Centrocampista,Villarreal,19,1999,10,7,610,0,3,3,2,0,0.1,1.7,2018-2019
924,Loren Morón,ESP,Delantero,Betis,24,1993,33,22,1957,6,0,6,4,0,8.9,1.2,2018-2019
925,Toni Moya,ESP,Defensa,Atlético Madrid,20,1998,1,1,90,0,0,0,0,0,0.0,0.0,2018-2019
926,Javi Moyano,ESP,Defensa,Valladolid,32,1986,27,25,2098,0,0,0,3,0,0.3,0.3,2018-2019
927,Iker Muniain,ESP,Centrocampista,Athletic Club,25,1992,34,27,2383,7,3,10,7,0,7.1,3.3,2018-2019
928,Marc Muniesa,ESP,Defensa,Girona,26,1992,19,15,1406,0,0,0,6,0,0.5,0.5,2018-2019
929,Aihen Muñoz,ESP,Defensa,Real Sociedad,20,1997,11,11,951,0,0,0,0,0,0.1,0.3,2018-2019
930,Ezequiel Muñoz,ARG,Defensa,Leganés,27,1990,3,2,211,0,0,0,0,0,0.2,0.0,2018-2019
931,Joaquín Muñoz,ESP,Delantero,Atlético Madrid,19,1999,1,0,1,0,0,0,0,0,0.0,0.0,2018-2019
932,Luis Muriel,COL,Centrocampista,Sevilla,27,1991,6,1,123,1,1,2,0,0,0.2,0.1,2018-2019
933,Jeison Murillo,COL,Defensa,Valencia,26,1992,1,1,90,0,0,0,0,0,0.0,0.0,2018-2019
934,Jeison Murillo,COL,Defensa,Barcelona,26,1992,2,1,113,0,0,0,0,0,0.0,0.0,2018-2019
935,Damián Musto,ARG,Centrocampista,Huesca,31,1987,24,20,1686,0,0,0,11,0,1.2,0.3,2018-2019
936,Nacho,ESP,Defensa,Valladolid,29,1989,35,35,3150,1,3,4,10,0,0.6,3.7,2018-2019
937,Nacho,ESP,Defensa,Real Madrid,28,1990,20,19,1698,0,1,1,8,1,0.3,0.8,2018-2019
938,Naldo,BRA,Defensa,Espanyol,29,1988,16,16,1362,1,1,2,3,0,1.1,0.3,2018-2019
939,Ximo Navarro,ESP,Defensa,Alavés,28,1990,31,28,2533,2,2,4,7,0,0.7,1.5,2018-2019
940,Jesús Navas,ESP,Defensa,Sevilla,32,1985,32,31,2712,1,5,6,8,0,1.5,6.2,2018-2019
941,Keylor Navas,CRC,PO,Real Madrid,31,1986,10,10,900,0,0,0,1,0,0.0,0.0,2018-2019
942,Raúl Navas,ESP,Defensa,Real Sociedad,30,1988,16,15,1310,0,0,0,4,0,0.3,0.3,2018-2019
943,Neto,BRA,PO,Valencia,29,1989,34,34,3060,0,0,0,2,0,0.0,0.1,2018-2019
944,Saúl Ñíguez,ESP,Centrocampista,Atlético Madrid,23,1994,33,32,2925,4,1,5,10,0,5.0,1.3,2018-2019
945,Peru Nolaskoain,ESP,Defensa,Athletic Club,19,1998,8,4,464,2,0,2,2,1,0.4,0.1,2018-2019
946,Nolito,ESP,Delantero,Sevilla,31,1986,4,1,76,0,0,0,0,0,0.5,0.0,2018-2019
