Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
Álex Berenguer,ESP,Centrocampista,Athletic Club,27,1995.0,27.142857142857142,18.0,1603.7142857142858,3.4285714285714284,2.7142857142857144,6.142857142857143,3.2857142857142856,0.0,3.157142857142857,3.3285714285714287
Álex Cantero,ESP,Delantero,Levante,21,2000.0,14.5,3.5,423.5,0.0,0.5,0.5,1.0,0.0,1.3,0.65
Álex Centelles,ESP,Defensa,Almería,24,1997.0,15.0,11.0,1123.0,1.0,2.0,3.0,0.0,1.0,0.4,1.3
Álex Collado,ESP,Delantero,Barcelona,23,1999.0,8.75,5.25,460.0,0.75,0.5,1.25,0.5,0.0,0.375,0.65
Álex Fernández,ESP,Centrocampista,Cádiz,29,1992.0,28.333333333333332,20.0,1857.6666666666667,3.3333333333333335,1.0,4.333333333333333,1.0,0.0,3.0,1.4666666666666668
Álex Gallar,ESP,Centrocampista,Huesca,26,1992.0,25.0,10.0,1009.0,4.0,1.0,5.0,2.0,0.0,3.6,2.8
Álex Granell,ESP,Centrocampista,Girona,29,1988.0,33.0,29.5,2619.5,0.5,5.5,6.0,8.0,0.0,1.7999999999999998,6.25
Álex Gálvez,ESP,Defensa,Las Palmas,29,1989.0,13.0,13.0,1130.3333333333333,0.6666666666666666,0.0,0.6666666666666666,4.0,0.3333333333333333,1.0,0.19999999999999998
Álex López,ESP,Centrocampista,Espanyol,21,1997.0,4.0,1.0,112.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Álex Martín,ESP,Defensa,Cádiz,22,1998.0,2.0,1.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Martínez,ESP,Defensa,Granada,28,1990.0,1.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0
Álex Millán,ESP,Delantero,Villarreal,20,1999.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Moreno,ESP,Defensa,Aston Villa,29,1993.0,25.666666666666668,23.0,2045.0,1.0,2.6666666666666665,3.6666666666666665,3.5,0.16666666666666666,1.7333333333333336,2.4
Álex Mula,ESP,Delantero,Málaga,21,1996.0,11.0,7.0,561.0,0.0,0.0,0.0,1.0,0.0,1.6,0.4
Álex Remiro,ESP,PO,Real Sociedad,27,1995.0,34.0,34.0,3060.0,0.0,0.0,0.0,0.5,0.0,0.025,0.0
Álex Robles,ESP,Defensa,Málaga,18,1999.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Aceves,ESP,PO,Valladolid,19,2003.0,1.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Aguado,ESP,Centrocampista,Valladolid,26,1996.0,34.0,18.0,1888.0,1.0,2.0,3.0,4.0,0.0,1.0,2.2
Álvaro Aguirre,ESP,Delantero,Rayo Vallecano,21,2000.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Bastida,ESP,Centrocampista,Cádiz,17,2004.0,3.5,1.0,116.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Álvaro Bravo,ESP,Centrocampista,Granada,22,1998.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Fernández,ESP,PO,Brentford,24,1998.0,15.0,15.0,1350.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.03333333333333333,0.06666666666666667
Álvaro García,ESP,Delantero,Rayo Vallecano,29,1992.0,35.333333333333336,28.333333333333332,2544.6666666666665,5.333333333333333,3.6666666666666665,9.0,5.333333333333333,0.0,4.366666666666666,4.433333333333334
Álvaro Giménez,ESP,Delantero,Cádiz,31,1991.0,6.0,1.5,212.0,1.0,0.5,1.5,0.0,0.0,0.65,0.05
Álvaro González,ESP,Defensa,Villarreal,28,1990.0,33.0,32.5,2931.0,0.5,2.0,2.5,15.5,1.5,1.4,0.8999999999999999
Álvaro Jiménez,ESP,Centrocampista,Getafe,26,1995.0,11.0,3.0,381.5,0.5,0.5,1.0,2.0,0.5,0.3,0.39999999999999997
Álvaro Medrán,ESP,Centrocampista,Alavés,24,1994.0,13.0,7.333333333333333,722.6666666666666,1.6666666666666667,0.0,1.6666666666666667,3.3333333333333335,0.3333333333333333,1.1333333333333333,0.8666666666666667
Álvaro Morata,ESP,Delantero,Chelsea,29,1992.0,28.428571428571427,20.714285714285715,1771.2857142857142,9.571428571428571,3.4285714285714284,13.0,4.714285714285714,0.2857142857142857,10.385714285714286,3.2285714285714286
Álvaro Muñoz,URU,Delantero,Real Madrid,18,2004.0,6.0,0.0,79.0,1.0,1.0,2.0,0.0,0.0,0.2,0.3
Álvaro Negredo,ESP,Delantero,Cádiz,36,1985.0,30.0,20.666666666666668,1704.0,5.333333333333333,2.6666666666666665,8.0,2.6666666666666665,0.3333333333333333,4.933333333333334,3.0
Álvaro Odriozola,ESP,Defensa,Real Sociedad,26,1995.0,15.666666666666666,12.833333333333334,1173.3333333333333,0.5,1.5,2.0,2.0,0.5,0.6000000000000001,2.016666666666667
Álvaro Tejero,ESP,Defensa,Eibar,24,1996.0,10.0,8.5,778.5,0.0,0.0,0.0,2.5,0.0,0.1,0.6
Álvaro Vadillo,ESP,Delantero,Granada,26,1994.0,12.5,7.5,612.5,1.5,0.5,2.0,0.5,0.0,0.9,1.05
Ángel,ESP,PO,Granada,18,2002.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ángel Algobia,ESP,Centrocampista,Getafe,23,1999.0,26.0,11.0,1138.0,0.0,0.0,0.0,3.0,0.0,0.3,0.6
Ángel Correa,ARG,Centrocampista,Atlético Madrid,27,1995.0,35.833333333333336,22.0,1989.5,7.666666666666667,4.333333333333333,12.0,4.166666666666667,0.6666666666666666,6.133333333333334,4.133333333333333
Ángel Di María,ARG,Delantero,Juventus,34,1988.0,26.0,15.0,1363.0,4.0,4.0,8.0,1.0,1.0,3.1,4.5
Ángel Montoro,ESP,Centrocampista,Granada,33,1988.0,20.333333333333332,13.666666666666666,1222.0,1.3333333333333333,2.3333333333333335,3.6666666666666665,5.666666666666667,0.0,1.2,1.8666666666666665
Ángel Rodríguez,ESP,Delantero,Getafe,35,1987.0,30.166666666666668,14.666666666666666,1471.8333333333333,6.833333333333333,1.6666666666666667,8.5,4.166666666666667,0.0,6.5,1.9333333333333333
Çağlar Söyüncü,TUR,Defensa,Leicester City,26,1996.0,19.6,18.2,1650.6,0.8,0.2,1.0,2.8,0.2,0.8600000000000001,0.30000000000000004
Éder,ITA,Delantero,Inter,30,1986.0,29.0,4.0,800.0,3.0,0.0,3.0,4.0,0.0,2.7,1.3
Éder Militão,BRA,Defensa,Real Madrid,24,1998.0,24.0,21.75,1972.25,1.75,0.5,2.25,3.75,0.25,1.525,0.45000000000000007
Éderson,BRA,Centrocampista,Salernitana,23,1999.0,25.0,19.0,1681.0,1.5,1.0,2.5,4.5,0.0,2.0,1.65
Édgar Badía,ESP,PO,Elche,30,1992.0,30.0,30.0,2700.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0
Édgar Barreto,PAR,Centrocampista,Sampdoria,35,1984.0,14.0,11.333333333333334,946.6666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,2.3333333333333335,0.6666666666666666,0.7666666666666666,1.0666666666666667
Édgar González,ESP,Centrocampista,Betis,25,1997.0,18.666666666666668,13.666666666666666,1305.6666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,5.666666666666667,0.6666666666666666,1.2000000000000002,0.5333333333333333
Édgar Méndez,ESP,Centrocampista,Alavés,31,1990.0,27.0,17.666666666666668,1522.6666666666667,2.3333333333333335,0.6666666666666666,3.0,7.0,0.3333333333333333,2.5,1.5666666666666667
Érik Lamela,ARG,Delantero,Tottenham,30,1992.0,24.0,10.5,1101.3333333333333,3.3333333333333335,1.1666666666666667,4.5,5.0,0.3333333333333333,3.183333333333333,1.5
Étienne Capoue,FRA,Centrocampista,Watford,34,1988.0,26.666666666666668,24.0,2090.5,1.1666666666666667,1.1666666666666667,2.3333333333333335,7.166666666666667,0.3333333333333333,1.0666666666666667,1.1166666666666667
Éver Banega,ARG,Centrocampista,Sevilla,31,1988.0,32.0,28.333333333333332,2513.6666666666665,3.0,5.0,8.0,12.0,1.0,3.266666666666667,5.433333333333333
Íñigo Eguaras,ESP,Centrocampista,Almería,30,1992.0,25.0,10.0,967.0,1.0,1.0,2.0,6.0,0.0,1.0,0.6
Óliver Torres,ESP,Centrocampista,Sevilla,27,1994.0,29.75,18.5,1535.25,2.0,2.5,4.5,2.75,0.0,1.475,2.425
Óscar Clemente,ESP,Centrocampista,Atlético Madrid,20,1999.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Óscar Duarte,CRC,Defensa,Espanyol,32,1989.0,16.4,13.2,1193.6,0.6,0.0,0.6,1.6,0.0,0.6599999999999999,0.14
Óscar Gil,ESP,Defensa,Espanyol,25,1997.0,27.5,25.5,2123.5,0.0,1.5,1.5,10.5,0.0,0.4,2.45
Óscar Melendo,ESP,Centrocampista,Espanyol,23,1997.0,23.75,13.5,1197.0,0.0,1.5,1.5,1.0,0.0,0.375,1.6500000000000001
Óscar Mingueza,ESP,Defensa,Barcelona,23,1999.0,22.333333333333332,15.0,1359.6666666666667,0.6666666666666666,1.0,1.6666666666666667,2.6666666666666665,0.0,0.5666666666666668,1.0666666666666667
Óscar Plano,ESP,Centrocampista,Valladolid,31,1991.0,34.5,27.5,2438.25,3.25,3.0,6.25,4.5,0.25,4.0,2.55
Óscar Rodríguez Arnaiz,ESP,Centrocampista,Leganés,24,1998.0,23.833333333333332,14.5,1344.0,2.5,1.0,3.5,3.6666666666666665,0.16666666666666666,2.4166666666666665,2.1
Óscar Romero,PAR,Centrocampista,Alavés,25,1992.0,5.0,2.0,251.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3
Óscar Trejo,ARG,Centrocampista,Rayo Vallecano,34,1988.0,30.666666666666668,24.666666666666668,1972.0,2.3333333333333335,5.666666666666667,8.0,9.666666666666666,0.3333333333333333,3.3333333333333335,4.066666666666666
