,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
3276,Rodrigo,ESP,Delantero,Valencia,26,1991,37,31,2684,16,4,20,4,0,13.5,4.0
3277,Kévin Rodrigues,POR,Defensa,Real Sociedad,23,1994,20,18,1635,1,2,3,1,0,0.4,0.9
3278,Ángel Rodríguez,ESP,Delantero,Getafe,30,1987,33,26,2293,13,2,15,6,0,11.0,3.7
3279,Iván Rodríguez,ESP,Defensa,Málaga,21,1996,1,0,20,0,0,0,1,0,0.0,0.0
3280,Diego Rolán,URU,Delantero,Málaga,24,1993,26,21,1946,5,0,5,0,0,5.6,1.3
3281,Esteban Rolón,ARG,Centrocampista,Málaga,22,1995,8,6,418,0,0,0,1,0,0.1,0.0
3282,Óscar Romero,PAR,Centrocampista,Alavés,25,1992,5,2,251,0,0,0,0,0,0.2,0.3
3283,Cristiano Ronaldo,POR,Delantero,Real Madrid,32,1985,27,27,2285,26,5,31,1,0,25.2,5.0
3284,Facundo Roncaglia,ARG,Defensa,Celta Vigo,30,1987,21,17,1492,0,0,0,2,0,0.3,0.1
3285,Roberto Rosales,VEN,Defensa,Málaga,28,1988,35,35,3123,1,0,1,10,0,0.6,3.8
3286,Rubén,ESP,PO,La Coruña,33,1984,28,27,2478,0,0,0,3,0,0.0,0.0
3287,Aitor Ruibal,ESP,Centrocampista,Betis,21,1996,2,0,9,0,0,0,0,0,0.0,0.0
3288,Fabián Ruiz Peña,ESP,Centrocampista,Betis,21,1996,34,30,2659,3,6,9,3,0,1.6,2.2
3289,Víctor Ruiz,ESP,Defensa,Villarreal,28,1989,27,27,2416,2,1,3,10,1,0.8,0.1
3290,Antonio Rukavina,SRB,Defensa,Villarreal,33,1984,17,14,1272,0,0,0,5,0,0.1,0.6
3291,Gerónimo Rulli,ARG,PO,Real Sociedad,25,1992,26,26,2340,0,0,0,3,0,0.0,0.0
3292,Enric Saborit,ESP,Defensa,Athletic Club,25,1992,19,16,1428,0,1,1,5,0,0.2,0.5
3293,Mujaid Sadick,ESP,Defensa,La Coruña,17,2000,2,1,106,0,0,0,0,0,0.0,0.0
3294,Armando Sadiku,ALB,Delantero,Levante,26,1991,6,4,267,0,0,0,1,0,0.2,0.0
3295,Sergi Samper,ESP,Centrocampista,Las Palmas,22,1995,2,2,143,0,0,0,0,0,0.0,0.0
3296,Jairo Samperio,ESP,Delantero,Las Palmas,24,1993,11,6,556,0,0,0,1,0,0.7,0.4
3297,Mikel San José,ESP,Centrocampista,Athletic Club,28,1989,26,24,2155,1,1,2,5,0,1.6,1.2
3298,Antonio Sanabria,PAR,Delantero,Betis,21,1996,17,8,853,8,0,8,0,0,5.1,0.1
3299,Carlos Sánchez,COL,Centrocampista,Espanyol,31,1986,14,13,1122,0,0,0,3,0,0.1,0.3
3300,Sergio Sánchez,ESP,Defensa,Espanyol,31,1986,2,1,101,0,0,0,1,0,0.1,0.0
3301,Víctor Sánchez,ESP,Centrocampista,Espanyol,29,1987,30,29,2457,0,2,2,13,0,0.5,0.5
3302,Arona Sané,SEN,Centrocampista,Atlético Madrid,22,1995,1,0,65,0,0,0,0,0,0.0,0.0
3303,Nicola Sansone,ITA,Delantero,Villarreal,25,1991,18,5,635,5,1,6,1,0,2.9,1.3
3304,Christian Santos,VEN,Delantero,Alavés,29,1988,10,5,436,2,0,2,3,1,0.9,0.0
3305,Pablo Sarabia,ESP,Delantero,Sevilla,25,1992,34,27,2395,6,5,11,8,1,7.3,6.5
3306,Imanol Sarriegi,ESP,Centrocampista,Eibar,22,1995,3,0,41,0,0,0,1,0,0.0,0.0
3307,Stefan Savić,MNE,Defensa,Atlético Madrid,26,1991,27,26,2299,0,0,0,6,0,0.2,0.2
3308,Fabian Schär,SUI,Defensa,La Coruña,25,1991,25,25,2219,2,2,4,10,0,3.0,0.6
3309,Nélson Semedo,POR,Defensa,Barcelona,23,1993,24,17,1493,0,0,0,1,0,0.3,1.2
3310,Rúben Semedo,POR,Defensa,Villarreal,23,1994,4,3,231,0,0,0,0,0,0.0,0.0
3311,Gaku Shibasaki,JPN,Centrocampista,Getafe,25,1992,22,12,1002,1,0,1,2,0,0.9,0.9
