Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada,Valor de mercado
Aaron Connolly,IRL,Delantero,Brighton,21,2000.0,15.0,8.0,735.0,1.6666666666666667,0.6666666666666666,2.333333333333333,0.0,0.0,2.8000000000000003,0.2666666666666666,2019-2020,3500000.0
Aaron Cresswell,ENG,Defensa,West Ham,32,1989.0,30.33333333333333,29.166666666666668,2586.0,1.0,2.6666666666666665,3.6666666666666665,4.0,0.0,0.8500000000000001,3.483333333333333,2017-2018,1200000.0
Aaron Hickey,SCO,Defensa,Bologna,20,2002.0,24.33333333333333,22.33333333333333,1831.3333333333333,1.6666666666666667,0.6666666666666666,2.333333333333333,5.666666666666667,0.3333333333333333,0.4666666666666666,0.7666666666666666,2022-2023,30000000.0
Aaron Ramsdale,ENG,PO,Arsenal,24,1998.0,36.75,36.75,3307.5,0.0,0.25,0.25,0.75,0.0,0.0,0.1999999999999999,2019-2020,32000000.0
Aaron Ramsey,WAL,Centrocampista,Juventus,30,1990.0,20.2,12.0,1083.2,3.2,3.8,7.0,0.8,0.0,3.24,2.38,2017-2018,2500000.0
Aaron Rowe,ENG,Delantero,Huddersfield,17,2000.0,2.0,1.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-2019,150000.0
Aaron Wan-Bissaka,ENG,Defensa,Manchester Utd,24,1997.0,25.0,24.33333333333333,2186.5,0.3333333333333333,1.8333333333333333,2.1666666666666665,3.333333333333333,0.1666666666666666,0.6,1.5833333333333333,2017-2018,25000000.0
Aarón Escandell,ESP,PO,Granada,25,1995.0,4.0,3.6666666666666665,334.6666666666667,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,2019-2020,1000000.0
Aarón Martín,ESP,Defensa,Celta Vigo,23,1997.0,25.5,24.0,2177.5,0.0,1.5,1.5,3.5,0.0,0.15,1.7999999999999998,2017-2018,7000000.0
Abdallahi Mahmoud,MTN,Centrocampista,Alavés,20,2000.0,2.5,1.0,109.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2019-2020,500000.0
Abdelhamid Sabiri,MAR,Centrocampista,Sampdoria,25,1996.0,9.75,6.0,557.5,1.25,0.75,2.0,2.25,0.0,1.175,0.775,2017-2018,2500000.0
Abdessamad Ezzalzouli,MAR,Delantero,Osasuna,20,2001.0,19.0,12.5,1042.0,2.5,1.0,3.5,4.0,1.0,2.0,1.4,2021-2022,15000000.0
Abdou Harroui,NED,Centrocampista,Sassuolo,24,1998.0,22.5,4.0,549.5,1.0,0.0,1.0,2.0,0.0,1.0,0.25,2021-2022,2700000.0
Abdou Lahat Diakhate,SEN,Centrocampista,Parma,19,1998.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-2019,10000.0
Abdoulay Diaby,MLI,Defensa,Getafe,29,1991.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,2020-2021,1200000.0
Abdoulaye Ba,SEN,Defensa,Rayo Vallecano,27,1991.0,26.0,25.0,2110.0,1.0,0.0,1.0,4.0,2.0,1.3,0.1,2018-2019,300000.0
Abdoulaye Doucouré,MLI,Centrocampista,Everton,29,1993.0,32.166666666666664,30.33333333333333,2675.833333333333,4.166666666666667,3.333333333333333,7.5,7.333333333333333,0.1666666666666666,3.633333333333333,2.85,2017-2018,12000000.0
Abdoulaye Touré,GUI,Centrocampista,Genoa,27,1994.0,8.0,6.0,430.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,2021-2022,1200000.0
Abdul Mumin,GHA,Defensa,Rayo Vallecano,24,1998.0,16.0,9.0,922.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0,2022-2023,1500000.0
Abdón Prats,ESP,Delantero,Mallorca,29,1992.0,23.0,2.6666666666666665,445.3333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.6666666666666667,0.0,1.2333333333333334,0.6999999999999998,2019-2020,2000000.0
Abel Ruiz,ESP,Delantero,Barcelona,18,2000.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,2018-2019,14000000.0
Abner,BRA,Defensa,Betis,22,2000.0,13.0,7.0,607.0,0.0,0.0,0.0,2.0,0.0,1.7,0.1,2022-2023,7000000.0
Aboubakar Kamara,MTN,Delantero,Fulham,25,1995.0,12.0,3.5,504.0,1.5,0.0,1.5,1.5,0.5,2.1,0.5,2018-2019,2500000.0
Achraf Hakimi,MAR,Defensa,Inter,21,1998.0,23.0,18.5,1711.0,4.5,4.0,8.5,3.0,0.0,2.5,3.25,2017-2018,65000000.0
Achraf Lazaar,MAR,Centrocampista,Benevento,25,1992.0,9.0,6.0,478.0,1.0,0.0,1.0,0.0,0.0,0.3,0.2,2017-2018,200000.0
Adalberto Peñaranda,VEN,Delantero,Málaga,20,1997.0,13.0,11.0,802.0,0.0,0.0,0.0,3.0,0.0,0.7,0.4,2017-2018,400000.0
Adam Armstrong,ENG,Delantero,Southampton,25,1997.0,26.5,15.5,1374.0,2.0,1.5,3.5,1.5,0.0,3.3,1.4500000000000002,2021-2022,14000000.0
Adam Forshaw,ENG,Centrocampista,Leeds United,30,1991.0,17.0,11.0,1004.5,0.0,0.5,0.5,2.5,0.0,0.25,0.95,2021-2022,1200000.0
Adam Idah,IRL,Delantero,Norwich City,20,2001.0,14.5,3.5,426.5,0.5,0.5,1.0,0.0,0.0,1.65,0.3,2019-2020,2000000.0
Adam Lallana,ENG,Centrocampista,Brighton,34,1988.0,18.33333333333333,9.166666666666666,839.5,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.1666666666666667,0.0,1.0333333333333334,1.0,2017-2018,1200000.0
Adam Marušić,MNE,Defensa,Lazio,29,1992.0,29.166666666666668,26.0,2337.1666666666665,1.5,1.8333333333333333,3.333333333333333,4.166666666666667,0.6666666666666666,1.5166666666666664,1.5,2017-2018,8000000.0
Adam Masina,MAR,Defensa,Udinese,28,1994.0,20.6,17.0,1504.2,0.6,0.6,1.2,3.6,0.2,0.66,0.82,2018-2019,2500000.0
Adam Obert,SVK,Defensa,Cagliari,18,2002.0,6.0,3.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,1800000.0
Adam Ounas,ALG,Delantero,Napoli,25,1996.0,10.666666666666666,4.166666666666667,413.6666666666667,1.1666666666666667,0.6666666666666666,1.8333333333333333,0.3333333333333333,0.0,0.9166666666666666,1.1333333333333333,2017-2018,7000000.0
Adam Smith,ENG,Defensa,Bournemouth,31,1991.0,28.25,26.25,2283.75,0.5,1.5,2.0,7.25,0.25,0.575,1.15,2017-2018,1200000.0
Adam Webster,ENG,Defensa,Brighton,27,1995.0,27.25,24.75,2170.25,1.5,0.25,1.75,3.75,0.0,1.5,0.425,2019-2020,25000000.0
Adama Diakhaby,FRA,Delantero,Huddersfield,22,1996.0,12.0,6.0,552.0,0.0,0.0,0.0,1.0,0.0,0.6,0.5,2018-2019,600000.0
Adama Soumaoro,FRA,Defensa,Bologna,30,1992.0,19.75,18.5,1631.25,0.5,0.0,0.5,4.25,0.75,0.7499999999999999,0.05,2019-2020,3000000.0
Adama Traoré,ESP,Delantero,Barcelona,26,1996.0,28.0,14.833333333333334,1516.8333333333333,1.6666666666666667,2.5,4.166666666666667,1.3333333333333333,0.0,2.033333333333333,3.266666666666667,2018-2019,10000000.0
Adel Taarabt,MAR,Delantero,Genoa,28,1989.0,22.0,18.0,1615.0,2.0,2.0,4.0,4.0,1.0,1.5,2.7,2017-2018,1000000.0
Adem Ljajić,SRB,Centrocampista,Torino,26,1991.0,14.0,11.5,1098.0,3.0,5.0,8.0,1.0,0.0,2.2,4.2,2017-2018,500000.0
Ademola Lookman,NGA,Delantero,Atalanta,24,1997.0,23.8,14.2,1341.2,4.6,2.4,7.0,2.0,0.0,4.279999999999999,3.12,2017-2018,30000000.0
Adnan Januzaj,BEL,Delantero,Sevilla,27,1995.0,22.33333333333333,12.333333333333334,1113.3333333333333,2.333333333333333,2.6666666666666665,5.0,2.5,0.0,3.283333333333333,3.0666666666666664,2017-2018,4000000.0
Adolfo Gaich,ARG,Delantero,Hellas Verona,23,1999.0,15.5,8.5,747.0,2.0,0.0,2.0,1.5,0.0,2.65,0.4,2020-2021,1800000.0
Adrian Mariappa,JAM,Defensa,Watford,32,1986.0,24.666666666666668,19.666666666666668,1883.3333333333333,0.0,0.0,0.0,4.333333333333333,0.3333333333333333,0.5333333333333333,0.3333333333333333,2017-2018,100000.0
Adrian Stoian,ROU,Centrocampista,Crotone,26,1991.0,32.0,26.0,2133.0,2.0,4.0,6.0,5.0,0.0,1.6,2.4,2017-2018,75000.0
Adrian Šemper,CRO,PO,Genoa,23,1998.0,3.5,3.5,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-2019,1200000.0
Adrien Rabiot,FRA,Centrocampista,Juventus,27,1995.0,31.5,26.25,2314.5,3.25,2.25,5.5,7.0,0.5,3.125,1.6,2019-2020,40000000.0
Adrien Silva,POR,Centrocampista,Sampdoria,32,1989.0,13.75,10.0,882.75,0.25,0.75,1.0,3.5,0.5,0.275,0.5,2017-2018,1000000.0
Adrien Tameze,CMR,Centrocampista,Hellas Verona,28,1994.0,28.75,22.75,2030.0,1.25,0.5,1.75,3.25,0.0,0.825,0.8749999999999999,2019-2020,6000000.0
Adrià Pedrosa,ESP,Defensa,Espanyol,24,1998.0,17.5,13.0,1199.75,0.75,0.25,1.0,3.0,0.0,0.7000000000000001,0.7749999999999999,2018-2019,5000000.0
Adrián Butzke,ESP,Delantero,Granada,22,1999.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,400000.0
Adrián Diéguez,ESP,Defensa,Huesca,22,1996.0,7.5,7.0,592.0,0.0,0.0,0.0,4.0,0.0,0.1,0.0,2017-2018,600000.0
Adrián Guerrero,ESP,Defensa,Valencia,21,1998.0,2.0,1.0,126.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2019-2020,2000000.0
Adrián Marín,ESP,Defensa,Granada,23,1997.0,7.0,3.4,347.4,0.0,0.2,0.2,1.0,0.0,0.24,0.1,2017-2018,1500000.0
Adrián Ramos,COL,Delantero,Granada,33,1986.0,7.0,2.0,226.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,2019-2020,300000.0
Adu Ares,ESP,Delantero,Athletic Club,20,2001.0,8.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,2022-2023,500000.0
Afriyie Acquah,GHA,Centrocampista,Empoli,26,1992.0,25.0,14.0,1230.5,1.5,0.0,1.5,4.0,1.0,0.8999999999999999,0.7,2017-2018,300000.0
Ager Aketxe,ESP,Centrocampista,Athletic Club,23,1993.0,3.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,2017-2018,1000000.0
Agustín Marchesín,ARG,PO,Celta Vigo,34,1988.0,19.0,19.0,1710.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2022-2023,1500000.0
Agustín Álvarez Martínez,URU,Delantero,Sassuolo,21,2001.0,22.0,1.0,368.0,1.0,1.0,2.0,1.0,0.0,1.5,0.4,2022-2023,8000000.0
Ahmad Benali,LBY,Centrocampista,Crotone,28,1992.0,14.0,12.5,1012.5,0.5,1.0,1.5,2.0,0.0,0.75,0.75,2017-2018,900000.0
Ahmed Hegazi,EGY,Defensa,West Brom,29,1991.0,19.5,19.5,1738.0,1.0,0.0,1.0,2.0,0.0,0.85,0.3,2017-2018,2500000.0
Aihen Muñoz,ESP,Defensa,Real Sociedad,24,1997.0,17.0,14.2,1248.0,0.0,0.4,0.4,2.6,0.2,0.1399999999999999,0.44,2018-2019,6000000.0
Aimar Oroz,ESP,Delantero,Osasuna,20,2001.0,16.0,11.5,1012.0,1.5,3.0,4.5,3.0,0.0,1.8,1.4,2019-2020,15000000.0
Aimar Sher,SWE,Centrocampista,Spezia,18,2002.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,750000.0
Ainsley Maitland-Niles,ENG,Defensa,Roma,24,1997.0,14.375,9.375,896.125,0.125,0.375,0.5,1.75,0.25,0.325,0.7125,2017-2018,6000000.0
Aitor Fernández,ESP,PO,Osasuna,31,1991.0,23.0,23.0,2069.2,0.0,0.0,0.0,0.8,0.2,0.0,0.08,2018-2019,3000000.0
Aitor Paredes,ESP,Defensa,Athletic Club,22,2000.0,16.0,9.0,859.0,0.0,0.0,0.0,3.0,0.0,0.5,0.4,2022-2023,8000000.0
Aitor Ruibal,ESP,Centrocampista,Betis,26,1996.0,20.0,11.6,1026.4,0.4,0.4,0.8,3.2,0.2,1.0799999999999998,1.4,2017-2018,5000000.0
Ajdin Hrustic,AUS,Centrocampista,Hellas Verona,26,1996.0,6.0,3.0,226.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,2022-2023,900000.0
Akin Famewo,ENG,Centrocampista,Norwich City,20,1998.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,300000.0
Alan Empereur,BRA,Defensa,Hellas Verona,26,1994.0,8.5,6.0,537.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,2019-2020,750000.0
Alassane Sidibe,CIV,Centrocampista,Atalanta,19,2002.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,750000.0
Alban Lafont,FRA,PO,Fiorentina,19,1999.0,34.0,34.0,3015.0,0.0,0.0,0.0,2.0,0.0,0.0,0.4,2018-2019,13000000.0
Albert Guðmundsson,ISL,Delantero,Genoa,24,1997.0,12.0,6.0,607.0,1.0,0.0,1.0,3.0,0.0,1.3,0.8,2021-2022,12000000.0
Albert Sambi Lokonga,BEL,Centrocampista,Crystal Palace,22,1999.0,11.333333333333334,6.666666666666667,622.6666666666666,0.0,0.0,0.0,2.333333333333333,0.0,0.2666666666666666,0.3333333333333333,2021-2022,15000000.0
Alberto Basso,ITA,Centrocampista,Cremonese,18,2004.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023,100000.0
Alberto Brignoli,ITA,PO,Benevento,25,1991.0,13.0,11.0,1126.0,1.0,0.0,1.0,2.0,0.0,0.1,0.0,2017-2018,1800000.0
Alberto Cerri,ITA,Delantero,Cagliari,24,1996.0,14.25,4.0,425.75,0.75,0.0,0.75,1.5,0.0,1.725,0.6,2018-2019,2000000.0
Alberto Del Moral,ESP,Centrocampista,Villarreal,22,2000.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023,1000000.0
Alberto García,ESP,PO,Rayo Vallecano,33,1985.0,17.0,17.0,1530.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018-2019,3000000.0
Alberto Grassi,ITA,Centrocampista,Empoli,27,1995.0,21.5,15.0,1316.8333333333333,0.6666666666666666,0.3333333333333333,1.0,3.5,0.1666666666666666,1.0499999999999998,0.6666666666666666,2017-2018,2000000.0
Alberto López,ESP,Defensa,Málaga,22,1995.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,7000000.0
Alberto Moreno,ESP,Defensa,Villarreal,30,1992.0,14.833333333333334,10.333333333333334,933.8333333333334,0.5,0.5,1.0,2.833333333333333,0.0,0.9333333333333336,0.7666666666666666,2017-2018,2000000.0
Alberto Paleari,ITA,PO,Genoa,27,1992.0,3.0,2.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-2021,700000.0
Alberto Paloschi,ITA,Delantero,Cagliari,29,1990.0,19.0,9.75,922.25,2.25,0.0,2.25,1.25,0.0,2.95,0.5,2017-2018,500000.0
Alberto Perea,ESP,Centrocampista,Cádiz,31,1990.0,15.333333333333334,8.333333333333334,790.3333333333334,0.6666666666666666,1.3333333333333333,2.0,0.6666666666666666,0.0,0.9,1.0333333333333334,2020-2021,1000000.0
Alberto Soro,ESP,Delantero,Granada,22,1999.0,15.5,5.0,485.5,0.5,1.0,1.5,0.5,0.0,0.75,0.4,2020-2021,1500000.0
Albian Ajeti,SUI,Delantero,West Ham,22,1997.0,9.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,2019-2020,1500000.0
Albin Ekdal,SWE,Centrocampista,Spezia,33,1989.0,30.6,24.0,2140.2,0.6,1.0,1.6,8.0,0.4,1.42,1.0,2018-2019,800000.0
Aleandro Rosi,ITA,Defensa,Genoa,30,1987.0,24.0,22.0,1700.0,0.0,1.0,1.0,5.0,0.0,1.1,1.1,2017-2018,150000.0
Aleix Febas,ESP,Centrocampista,Mallorca,25,1996.0,16.5,11.5,903.5,0.0,1.5,1.5,2.5,0.0,0.2,0.9,2019-2020,1500000.0
Aleix García,ESP,Centrocampista,Girona,25,1997.0,23.0,14.5,1322.25,1.0,1.75,2.75,1.5,0.0,0.925,2.6,2017-2018,10000000.0
Aleix Garrido,ESP,Delantero,Barcelona,18,2004.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023,300000.0
Aleix Vidal,ESP,Centrocampista,Espanyol,32,1989.0,20.5,11.833333333333334,1112.3333333333333,0.8333333333333334,1.5,2.333333333333333,5.166666666666667,0.1666666666666666,0.8833333333333333,2.016666666666667,2017-2018,1000000.0
Alejandro Arribas,ESP,Defensa,La Coruña,28,1989.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,2017-2018,350000.0
Alejandro Asensio,ESP,Delantero,Rayo Vallecano,20,2000.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,25000.0
Alejandro Balde,ESP,Defensa,Barcelona,18,2003.0,19.0,16.0,1329.5,0.5,3.0,3.5,2.0,0.0,0.95,2.45,2021-2022,50000000.0
Alejandro Blanco,ESP,Delantero,Valencia,21,1998.0,7.5,3.0,298.0,0.5,0.0,0.5,0.5,0.0,0.25,0.25,2018-2019,600000.0
Alejandro Blesa,ESP,Centrocampista,Levante,18,2002.0,1.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-2020,300000.0
Alejandro Garnacho,ARG,Delantero,Manchester Utd,18,2004.0,10.5,2.5,291.0,1.5,1.0,2.5,1.5,0.0,1.5,0.5,2021-2022,25000000.0
Alejandro Pozo Pozo,ESP,Defensa,Almería,23,1999.0,20.5,15.0,1401.25,0.25,1.25,1.5,1.5,0.0,0.3,1.55,2019-2020,3000000.0
Alejandro Primo,ESP,PO,Levante,17,2004.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,100000.0
Alejandro Revuelta Montero,ESP,Defensa,Getafe,22,2000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023,25000.0
Alejandro Rodríguez,ESP,Centrocampista,Empoli,27,1991.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2018-2019,1500000.0
Aleksa Terzić,SRB,Centrocampista,Fiorentina,22,1999.0,12.666666666666666,3.0,405.6666666666667,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,0.1333333333333333,0.7666666666666666,2019-2020,4000000.0
Aleksandar Dragović,AUT,Defensa,Leicester City,26,1991.0,11.0,7.0,769.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,2017-2018,4500000.0
Aleksandar Jovanović,SRB,PO,Huesca,25,1992.0,12.0,12.0,1080.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2018-2019,800000.0
Aleksandar Katai,SRB,Centrocampista,Alavés,26,1991.0,3.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2017-2018,4500000.0
Aleksandar Mitrović,SRB,Delantero,Fulham,27,1994.0,23.5,18.25,1696.25,7.25,1.75,9.0,4.25,0.0,9.1,2.1,2017-2018,28000000.0
Aleksandar Sedlar,SRB,Defensa,Mallorca,29,1991.0,11.0,6.0,609.0,0.0,0.0,0.0,4.0,1.0,0.05,0.05,2019-2020,500000.0
Aleksandar Trajkovski,MKD,Centrocampista,Mallorca,26,1992.0,14.0,1.0,330.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,2019-2020,450000.0
Aleksander Buksa,POL,Delantero,Genoa,18,2003.0,4.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,700000.0
Aleksandr Kokorin,RUS,Delantero,Fiorentina,30,1991.0,5.0,0.0,74.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2020-2021,1000000.0
Aleksei Miranchuk,RUS,Centrocampista,Torino,26,1995.0,24.33333333333333,11.666666666666666,1178.6666666666667,3.333333333333333,4.0,7.333333333333333,0.0,0.0,1.8333333333333333,2.866666666666667,2020-2021,9000000.0
Alen Halilović,CRO,Delantero,Las Palmas,21,1996.0,20.0,16.0,1304.0,2.0,1.0,3.0,1.0,1.0,1.6,1.8,2017-2018,1000000.0
Alessandro Bastoni,ITA,Defensa,Inter,23,1999.0,24.33333333333333,21.166666666666668,1848.6666666666667,0.6666666666666666,1.1666666666666667,1.8333333333333333,4.0,0.1666666666666666,0.6999999999999998,1.2333333333333334,2017-2018,60000000.0
Alessandro Berardi,ITA,PO,Hellas Verona,30,1991.0,1.0,0.5,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-2021,50000.0
Alessandro Bianco,ITA,Centrocampista,Fiorentina,19,2002.0,7.0,2.0,153.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,2022-2023,1200000.0
Alessandro Buongiorno,ITA,Defensa,Torino,23,1999.0,17.5,12.75,1192.25,0.25,0.75,1.0,4.25,0.0,0.8500000000000001,0.5,2017-2018,20000000.0
Alessandro Cortinovis,ITA,Centrocampista,Hellas Verona,21,2001.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023,700000.0
Alessandro Deiola,ITA,Centrocampista,Cagliari,25,1995.0,12.625,7.625,658.25,0.625,0.375,1.0,2.375,0.0,0.65,0.4125,2017-2018,1800000.0
Alessandro Di Pardo,ITA,Delantero,Juventus,21,1999.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-2021,900000.0
Alessandro Florenzi,ITA,Defensa,Milan,31,1991.0,19.5,14.166666666666666,1278.5,1.0,1.0,2.0,2.6666666666666665,0.3333333333333333,1.4333333333333331,2.166666666666667,2019-2020,2000000.0
Alessandro Murgia,ITA,Centrocampista,SPAL,22,1996.0,14.25,9.75,902.0,0.0,1.0,1.0,1.75,0.25,1.0,1.025,2017-2018,450000.0
Alessandro Russo,ITA,Centrocampista,Sassuolo,21,2002.0,1.0,0.5,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,350000.0
Alessandro Semprini,ITA,Defensa,Brescia,21,1998.0,12.0,6.0,629.0,1.0,0.0,1.0,2.0,0.0,0.9,0.2,2019-2020,125000.0
Alessandro Tripaldelli,ITA,Defensa,Cagliari,21,1999.0,6.0,2.0,217.5,0.0,0.0,0.0,0.5,0.0,0.0,0.05,2019-2020,600000.0
Alessandro Tuia,ITA,Defensa,Lecce,32,1990.0,17.0,12.5,1137.0,0.5,0.0,0.5,3.5,0.0,0.45,0.15,2020-2021,400000.0
Alessandro Zanoli,ITA,Defensa,Napoli,21,2000.0,11.666666666666666,7.0,669.6666666666666,0.6666666666666666,1.0,1.6666666666666667,1.6666666666666667,0.0,0.9,0.4333333333333333,2021-2022,6000000.0
Alessio Cragno,ITA,PO,Monza,28,1994.0,25.5,25.5,2282.6666666666665,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-2018,3000000.0
Alessio Romagnoli,ITA,Defensa,Lazio,27,1995.0,28.33333333333333,27.33333333333333,2421.5,1.5,0.1666666666666666,1.6666666666666667,5.833333333333333,0.6666666666666666,1.4,0.45,2017-2018,18000000.0
Alessio Zerbin,ITA,Delantero,Napoli,23,1999.0,10.0,2.0,198.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,2022-2023,4000000.0
Alex Baena,ESP,Centrocampista,Villarreal,21,2001.0,14.0,7.0,699.6666666666666,2.0,0.6666666666666666,2.6666666666666665,4.333333333333333,0.3333333333333333,1.3333333333333333,1.7666666666666666,2019-2020,20000000.0
Alex Cordaz,ITA,PO,Inter,39,1983.0,25.0,24.666666666666668,2228.6666666666665,0.0,0.0,0.0,1.0,0.0,0.0,0.0666666666666666,2017-2018,200000.0
Alex Ferrari,ITA,Defensa,Cremonese,28,1994.0,15.142857142857142,13.714285714285714,1154.142857142857,0.2857142857142857,0.1428571428571428,0.4285714285714285,3.4285714285714284,0.0,0.3571428571428572,0.3142857142857143,2017-2018,1000000.0
Alex Iwobi,NGA,Centrocampista,Everton,26,1996.0,30.33333333333333,23.33333333333333,2058.5,2.0,3.6666666666666665,5.666666666666667,0.6666666666666666,0.0,2.6,3.8333333333333335,2017-2018,28000000.0
Alex Král,CZE,Centrocampista,West Ham,23,1998.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,10000000.0
Alex McCarthy,ENG,PO,Southampton,32,1989.0,20.666666666666668,20.666666666666668,1860.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2017-2018,900000.0
Alex Meret,ITA,PO,Napoli,25,1997.0,18.666666666666668,18.33333333333333,1653.1666666666667,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,2017-2018,18000000.0
Alex Mighten,ENG,Delantero,Nott'ham Forest,20,2002.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022-2023,600000.0
Alex Oxlade-Chamberlain,ENG,Defensa,Liverpool,28,1993.0,15.142857142857142,7.0,659.0,1.5714285714285714,1.4285714285714286,3.0,0.5714285714285714,0.0,1.2428571428571429,1.1142857142857143,2017-2018,6000000.0
Alex Petxa,ESP,Defensa,Athletic Club,24,1997.0,17.0,1.0,412.0,0.0,0.0,0.0,4.0,0.0,0.1,0.3,2021-2022,600000.0
Alex Pritchard,ENG,Centrocampista,Huddersfield,25,1993.0,22.0,19.0,1539.5,1.5,0.5,2.0,1.5,0.0,1.95,1.85,2017-2018,1800000.0
Alex Sandro,BRA,Defensa,Juventus,31,1991.0,27.5,22.666666666666668,2052.333333333333,1.3333333333333333,1.8333333333333333,3.1666666666666665,4.833333333333333,0.1666666666666666,1.1,1.85,2017-2018,3000000.0
Alex Sola,ESP,Defensa,Real Sociedad,23,1999.0,4.333333333333333,1.3333333333333333,160.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.1,0.1,2018-2019,3000000.0
Alex Telles,BRA,Defensa,Sevilla,29,1992.0,19.0,13.666666666666666,1259.0,0.0,2.6666666666666665,2.6666666666666665,2.333333333333333,0.0,0.3333333333333333,1.5333333333333332,2020-2021,7000000.0
Alexander,ARG,Centrocampista,Leganés,29,1988.0,7.0,6.5,535.0,1.0,1.0,2.0,0.5,0.0,1.1,1.25,2017-2018,65000000.0
Alexander Callens,PER,Defensa,Girona,30,1992.0,6.0,0.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2022-2023,1800000.0
Alexander Isak,SWE,Delantero,Real Sociedad,22,1999.0,25.4,17.8,1532.2,8.6,1.2,9.8,3.2,0.0,8.459999999999999,1.92,2022-2023,70000000.0
Alexander Sørloth,NOR,Delantero,Real Sociedad,26,1995.0,20.75,13.0,1173.5,4.0,0.75,4.75,1.5,0.0,4.9,2.25,2017-2018,14000000.0
