Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Temporada,Valor de mercado
Lucas Oliveira Rosa,BRA,Defensa,Valladolid,22,2000.0,17.0,11.0,931.0,0.0,1.0,1.0,3.0,0.0,0.4,1.0,2022-2023,1000000.0
Lucas Paquetá,BRA,Centrocampista,Milan,24,1997.0,21.666666666666668,17.0,1365.3333333333333,1.6666666666666667,1.6666666666666667,3.333333333333333,5.666666666666667,0.3333333333333333,2.6,1.6666666666666667,2022-2023,65000000.0
Lucas Piazon,BRA,Centrocampista,Chievo,24,1994.0,4.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2018-2019,1600000.0
Lucas Pérez,ESP,Delantero,Cádiz,33,1988.0,22.714285714285715,16.428571428571427,1497.2857142857142,4.857142857142857,2.571428571428572,7.428571428571429,1.7142857142857142,0.0,5.1571428571428575,4.142857142857143,2018-2019,800000.0
Lucas Robertone,ARG,Centrocampista,Almería,25,1997.0,37.0,34.0,2843.0,2.0,7.0,9.0,7.0,0.0,2.6,6.6,2022-2023,7000000.0
Lucas Torreira,URU,Centrocampista,Fiorentina,25,1996.0,29.8,21.2,1957.4,2.6,1.0,3.6,6.4,0.4,1.94,1.48,2018-2019,15000000.0
Lucas Torró,ESP,Centrocampista,Osasuna,28,1994.0,30.33333333333333,26.666666666666668,2250.0,0.6666666666666666,0.3333333333333333,1.0,8.0,0.0,1.5,0.4333333333333333,2020-2021,8000000.0
Lucas Vázquez,ESP,Centrocampista,Real Madrid,31,1991.0,26.33333333333333,15.333333333333334,1477.0,2.6666666666666665,2.833333333333333,5.5,3.0,0.1666666666666666,2.45,3.3833333333333333,2017-2018,6000000.0
Luciano Narsingh,NED,Delantero,Swansea City,26,1990.0,18.0,5.0,625.0,1.0,0.0,1.0,0.0,0.0,0.8,1.1,2017-2018,250000.0
Luciano Vietto,ARG,Delantero,Valencia,24,1993.0,13.333333333333334,6.333333333333333,594.3333333333334,1.0,1.6666666666666667,2.6666666666666665,1.0,0.0,1.5333333333333332,1.2666666666666666,2018-2019,2300000.0
Lucien Agoume,FRA,Centrocampista,Spezia,18,2002.0,7.5,4.5,434.0,0.0,0.0,0.0,1.5,0.0,0.05,0.1,2019-2020,7000000.0
Ludwig Augustinsson,SWE,Defensa,Mallorca,28,1994.0,8.666666666666666,3.6666666666666665,334.0,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,0.1666666666666666,0.2666666666666666,2022-2023,2500000.0
Luigi Samele,ITA,Delantero,Sassuolo,19,2002.0,2.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,2021-2022,150000.0
Luigi Sepe,ITA,PO,Salernitana,31,1991.0,23.5,23.5,2107.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.1333333333333333,2017-2018,1000000.0
Luis Abram,PER,Defensa,Granada,25,1996.0,8.0,6.0,560.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,2021-2022,3000000.0
Luis Advíncula,PER,Defensa,Rayo Vallecano,28,1990.0,28.0,27.0,2389.0,1.0,3.0,4.0,6.0,2.0,1.1,2.4,2018-2019,1200000.0
Luis Alberto,ESP,Delantero,Lazio,29,1992.0,33.333333333333336,30.0,2530.833333333333,6.833333333333333,8.666666666666666,15.5,4.833333333333333,0.1666666666666666,5.133333333333334,8.633333333333333,2017-2018,4000000.0
Luis Binks,ENG,Defensa,Bologna,19,2001.0,15.0,7.0,646.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2021-2022,2800000.0
Luis Díaz,COL,Delantero,Liverpool,25,1997.0,15.0,11.0,977.0,4.0,2.5,6.5,1.0,0.0,3.05,2.05,2021-2022,75000000.0
Luis Hernández,ESP,Defensa,Cádiz,33,1989.0,29.0,28.666666666666668,2585.0,0.0,0.3333333333333333,0.3333333333333333,7.0,0.3333333333333333,0.3333333333333333,0.5,2017-2018,1000000.0
Luis Javier Suárez,COL,Delantero,Almería,24,1997.0,28.33333333333333,23.33333333333333,2000.0,5.666666666666667,3.0,8.666666666666666,5.333333333333333,0.3333333333333333,6.866666666666667,2.4,2020-2021,8000000.0
Luis Muriel,COL,Delantero,Atalanta,31,1991.0,25.714285714285715,12.428571428571429,1211.428571428571,9.428571428571429,3.0,12.428571428571429,1.2857142857142858,0.2857142857142857,7.028571428571428,3.3285714285714287,2017-2018,5000000.0
Luis Rioja,ESP,Centrocampista,Alavés,27,1993.0,33.333333333333336,26.666666666666668,2278.333333333333,1.6666666666666667,1.6666666666666667,3.333333333333333,3.333333333333333,0.0,2.233333333333333,3.333333333333333,2019-2020,3000000.0
Luis Sinisterra,COL,Delantero,Leeds United,23,1999.0,19.0,13.0,867.0,5.0,0.0,5.0,3.0,1.0,3.7,0.4,2022-2023,20000000.0
Luis Suárez,URU,Delantero,Atlético Madrid,34,1987.0,32.2,27.0,2413.4,18.8,6.2,25.0,6.2,0.0,17.080000000000002,4.84,2017-2018,4000000.0
Luismi,ESP,Centrocampista,Sevilla,28,1996.5,6.5,1.0,90.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-2021,600000.0
Luiz Felipe,ITA,Defensa,Lazio,25,1997.0,21.5,18.5,1607.3333333333333,0.3333333333333333,0.5,0.8333333333333334,5.5,0.6666666666666666,0.4333333333333333,0.2666666666666666,2022-2023,15000000.0
Luiz Henrique,BRA,Delantero,Betis,21,2001.0,33.0,21.0,1807.0,1.0,3.0,4.0,6.0,0.0,2.9,2.9,2022-2023,15000000.0
Luka Bogdan,CRO,Defensa,Salernitana,25,1996.0,6.0,4.0,399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-2022,600000.0
Luka Jović,SRB,Delantero,Fiorentina,24,1997.0,16.75,5.75,620.5,2.25,1.75,4.0,1.5,0.0,3.375,0.95,2019-2020,8000000.0
Luka Krajnc,SVN,Defensa,Frosinone,23,1994.0,9.0,9.0,788.0,0.0,0.0,0.0,3.0,0.0,0.2,0.1,2018-2019,500000.0
Luka Lochoshvili,GEO,Defensa,Cremonese,24,1998.0,25.0,22.0,1839.0,1.0,2.0,3.0,4.0,0.0,0.6,1.1,2022-2023,1500000.0
Luka Milivojević,SRB,Centrocampista,Crystal Palace,31,1991.0,28.166666666666668,23.666666666666668,2109.6666666666665,4.333333333333333,0.8333333333333334,5.166666666666667,6.833333333333333,0.1666666666666666,4.133333333333334,1.45,2017-2018,2000000.0
Luka Modrić,CRO,Centrocampista,Real Madrid,36,1985.0,31.166666666666668,25.33333333333333,2180.5,3.0,5.5,8.5,5.166666666666667,0.1666666666666666,2.5,4.266666666666667,2017-2018,10000000.0
Luka Romero,ARG,Delantero,Lazio,17,2004.0,5.0,0.3333333333333333,81.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3,0.0333333333333333,2019-2020,3000000.0
Lukas Lerager,DEN,Centrocampista,Genoa,27,1993.0,17.0,13.666666666666666,1222.6666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,3.0,0.0,0.9,1.0333333333333334,2018-2019,3000000.0
Lukas Nmecha,GER,Delantero,Manchester City,18,1998.0,2.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-2018,12000000.0
Lukas Rupp,GER,Delantero,Norwich City,30,1991.0,15.5,7.5,732.0,0.0,0.0,0.0,0.5,0.0,0.8,1.15,2019-2020,700000.0
Luke Amos,ENG,Centrocampista,Tottenham,21,1997.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-2019,400000.0
Luke Ayling,ENG,Defensa,Leeds United,30,1991.0,31.0,28.666666666666668,2575.0,1.3333333333333333,1.0,2.333333333333333,4.666666666666667,0.3333333333333333,2.033333333333333,2.333333333333333,2020-2021,1800000.0
Luke Cundle,ENG,Centrocampista,Wolves,19,2002.0,4.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2021-2022,3000000.0
