Jugador,País,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado
Juan Pérez,ESP,PO,Osasuna,25,1996.0,2.3333333333333335,2.3333333333333335,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0
Juan Soriano,ESP,PO,Sevilla,21,1997.0,7.5,7.5,674.5,0.0,0.0,0.0,2.0,0.5,0.2,0.0,1000000.0
Juan Sánchez Miño,ARG,Defensa,Elche,30,1990.0,9.0,5.0,495.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,275000.0
Juan Villar,ESP,Delantero,Osasuna,31,1988.0,10.0,2.0,240.0,1.0,0.0,1.0,1.0,0.0,1.2,0.1,100000.0
Juanjo Narváez,COL,Centrocampista,Betis,27,1995.0,6.0,2.5,226.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.05,800000.0
Juankar,ESP,Defensa,Málaga,27,1990.0,10.0,9.0,784.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6,800000.0
Juanlu Sánchez,ESP,Defensa,Sevilla,20,2003.0,7.0,4.0,361.0,0.0,2.0,2.0,1.0,0.0,0.2,0.6,3000000.0
Juanmi,ESP,Delantero,Real Sociedad,29,1993.0,23.166666666666668,12.666666666666666,1156.0,6.0,1.3333333333333333,7.333333333333333,3.1666666666666665,0.3333333333333333,5.083333333333333,1.05,10000000.0
Juanmi Latasa,ESP,Delantero,Real Madrid,22,2001.0,11.0,3.0,383.6666666666667,1.0,0.0,1.0,1.6666666666666667,0.0,0.8333333333333334,0.4333333333333333,3000000.0
Juanpe,ESP,Defensa,Girona,32,1991.0,23.0,20.5,1844.75,1.5,0.25,1.75,5.0,0.0,1.075,0.325,1500000.0
Juanpi,VEN,Centrocampista,Málaga,24,1994.0,15.0,6.5,640.0,1.0,2.0,3.0,1.5,0.0,1.4,0.95,500000.0
Jude Bellingham,ENG,Centrocampista,Real Madrid,20,2003.0,12.0,12.0,1021.0,11.0,2.0,13.0,1.0,0.0,5.3,1.6,150000000.0
Julen Agirrezabala,ESP,PO,Athletic Club,21,2000.0,6.0,5.5,517.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000000.0
Julen Lobete,ESP,Delantero,Real Sociedad,20,2000.0,13.0,2.0,284.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,1500000.0
Jules Koundé,FRA,Defensa,Sevilla,25,1998.0,27.0,25.4,2258.2,1.4,1.4,2.8,2.8,0.4,1.5,1.4999999999999998,60000000.0
Julian Araujo,MEX,Defensa,Las Palmas,22,2001.0,12.0,6.0,636.0,0.0,0.0,0.0,3.0,0.0,0.3,0.7,4000000.0
Julian Chabot,GER,Defensa,Sampdoria,23,1998.0,14.666666666666666,10.0,904.6666666666666,0.6666666666666666,0.3333333333333333,1.0,5.666666666666667,0.6666666666666666,0.26666666666666666,0.16666666666666666,7500000.0
Julian Kristoffersen,NOR,Delantero,Salernitana,25,1997.0,1.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175000.0
Julio César Enciso,PAR,Centrocampista,Brighton,19,2004.0,11.0,4.0,437.5,2.0,2.0,4.0,1.0,0.0,2.1,1.2,22000000.0
Julio Gracia,ESP,Defensa,Betis,19,1998.0,2.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
Julius Beck,DEN,Centrocampista,Spezia,17,2005.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0
Julián Álvarez,ARG,Centrocampista,Manchester City,23,2000.0,22.0,13.0,1270.0,6.5,1.5,8.0,1.0,0.0,5.25,2.3,80000000.0
Junior Firpo,ESP,Defensa,Leeds United,25,1996.0,17.5,13.833333333333334,1251.3333333333333,1.3333333333333333,1.8333333333333333,3.1666666666666665,5.833333333333333,0.16666666666666666,0.9833333333333334,1.2833333333333334,7000000.0
Junior Messias,BRA,Defensa,Genoa,32,1991.0,22.5,17.25,1545.0,5.0,2.0,7.0,2.75,0.0,3.4,1.3250000000000002,4500000.0
Junior Sambia,FRA,Defensa,Salernitana,27,1996.0,12.0,3.5,377.5,0.0,0.5,0.5,1.5,0.0,0.35,0.9,3500000.0
Juraj Kucka,SVK,Centrocampista,Watford,34,1987.0,26.666666666666668,24.0,2062.0,4.666666666666667,2.0,6.666666666666667,6.0,0.6666666666666666,5.033333333333334,1.9333333333333333,1200000.0
Jurriën Timber,NED,Defensa,Arsenal,22,2001.0,1.0,1.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42000000.0
Justin Kluivert,NED,Delantero,Bournemouth,24,1999.0,15.0,10.0,863.75,2.75,0.25,3.0,2.5,0.25,2.4749999999999996,0.9249999999999999,14000000.0
Jutglà,ESP,Delantero,Barcelona,22,1999.0,6.0,4.0,301.0,1.0,0.0,1.0,1.0,0.0,1.6,0.2,8000000.0
Jérôme Onguéné,CMR,Defensa,Genoa,22,1997.0,4.0,1.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0
Jóhann Berg Guðmundsson,ISL,Centrocampista,Burnley,33,1990.0,15.0,10.5,900.0,0.75,0.75,1.5,1.5,0.0,0.925,0.75,1200000.0
Jørgen Strand Larsen,NOR,Delantero,Celta Vigo,23,2000.0,23.0,17.0,1387.0,4.0,2.0,6.0,2.5,0.0,5.1,1.3,12000000.0
Júnior Alonso,PAR,Defensa,Celta Vigo,25,1993.0,9.0,6.0,536.0,0.0,0.0,0.0,2.0,0.0,0.4,0.2,7000000.0
Jürgen Locadia,NED,Centrocampista,Brighton,27,1993.0,1.5,0.5,54.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1800000.0
Kaan Ayhan,TUR,Defensa,Sassuolo,27,1994.0,17.333333333333332,8.666666666666666,898.3333333333334,0.3333333333333333,0.0,0.3333333333333333,2.0,0.3333333333333333,0.26666666666666666,0.0,3700000.0
