Jugador,País,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Gls.,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas,Valor de mercado
Aaron Connolly,IRL,Delantero,Brighton,21,2000.0,15.0,8.0,735.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.0,0.0,2.8000000000000003,0.26666666666666666,3500000.0
Aaron Cresswell,ENG,Defensa,West Ham,33,1989.0,25.6,24.6,2188.6,1.0,2.4,3.4,3.2,0.0,0.76,3.34,1200000.0
Aaron Hickey,SCO,Defensa,Brentford,21,2002.0,20.5,19.0,1551.75,1.25,0.5,1.75,5.5,0.25,0.4,0.6,30000000.0
Aaron Ramsdale,ENG,PO,Arsenal,25,1998.0,30.4,30.4,2736.0,0.0,0.2,0.2,0.6,0.0,0.0,0.15999999999999998,32000000.0
Aaron Ramsey,ENG,Delantero,Burnley,30,1993.25,14.0,6.75,619.0,1.25,1.25,2.5,1.0,0.0,1.7,1.225,2500000.0
Aaron Wan-Bissaka,ENG,Defensa,Manchester Utd,26,1997.0,23.0,21.8,1960.8,0.4,1.8,2.2,3.4,0.0,0.6199999999999999,1.6600000000000001,25000000.0
Aarón Escandell,ESP,PO,Granada,25,1995.0,4.0,3.6666666666666665,334.6666666666667,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,1000000.0
Aarón Martín,ESP,Defensa,Espanyol,26,1997.0,19.333333333333332,17.666666666666668,1567.3333333333333,0.0,1.0,1.0,3.0,0.3333333333333333,0.10000000000000002,1.2999999999999998,7000000.0
Abdallahi Mahmoud,MTN,Centrocampista,Alavés,20,2000.0,2.5,1.0,109.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,500000.0
Abdel Abqar,MAR,Defensa,Alavés,24,1999.0,11.0,11.0,989.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,1400000.0
Abdelhamid Sabiri,MAR,Centrocampista,Sampdoria,25,1996.0,16.0,10.5,981.0,2.5,1.0,3.5,4.0,0.0,2.2,1.5,2500000.0
Abderrahman Rebbach,ALG,Delantero,Alavés,25,1998.0,11.0,2.0,297.0,1.0,0.0,1.0,0.0,0.0,0.4,0.7,500000.0
Abdessamad Ezzalzouli,MAR,Delantero,Barcelona,21,2001.0,12.5,6.5,614.75,1.5,0.5,2.0,2.0,0.5,1.2,0.775,15000000.0
Abdou Harroui,NED,Centrocampista,Frosinone,25,1998.0,16.0,3.6666666666666665,451.3333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.0,1.1666666666666667,0.20000000000000004,2700000.0
Abdoulay Diaby,MLI,Defensa,Getafe,29,1991.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,1200000.0
Abdoulaye Ba,SEN,Defensa,Rayo Vallecano,27,1991.0,26.0,25.0,2110.0,1.0,0.0,1.0,4.0,2.0,1.3,0.1,300000.0
Abdoulaye Doucouré,MLI,Delantero,Everton,30,1993.0,26.8,24.8,2158.8,3.4,2.2,5.6,6.2,0.2,3.3,2.4,12000000.0
Abdoulaye Touré,GUI,Centrocampista,Genoa,27,1994.0,8.0,6.0,430.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1200000.0
Abdul Mumin,GHA,Defensa,Rayo Vallecano,25,1998.0,11.0,7.0,678.0,0.5,0.0,0.5,1.5,0.5,0.2,0.0,1500000.0
Abdón Prats,ESP,Delantero,Mallorca,30,1992.0,20.0,3.75,459.5,2.25,0.5,2.75,1.25,0.0,1.3,0.7749999999999999,2000000.0
Abel Ruiz,ESP,Delantero,Barcelona,18,2000.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,14000000.0
Abner,BRA,Defensa,Betis,23,2000.0,11.0,6.0,564.5,0.0,0.0,0.0,2.0,0.0,0.9,0.25,7000000.0
Aboubakar Kamara,MTN,Delantero,Fulham,25,1995.0,11.0,2.0,315.0,0.0,0.0,0.0,1.0,1.0,0.5,0.3,2500000.0
Achraf Hakimi,MAR,Defensa,Real Madrid,21,1998.0,23.0,18.5,1711.0,4.5,4.0,8.5,3.0,0.0,2.5,3.25,65000000.0
Adalberto Peñaranda,VEN,Delantero,Málaga,20,1997.0,13.0,11.0,802.0,0.0,0.0,0.0,3.0,0.0,0.7,0.4,400000.0
Adam Armstrong,ENG,Delantero,Southampton,25,1997.0,26.5,15.5,1374.0,2.0,1.5,3.5,1.5,0.0,3.3,1.4500000000000002,14000000.0
Adam Forshaw,ENG,Centrocampista,Leeds United,30,1991.0,17.0,11.0,1004.5,0.0,0.5,0.5,2.5,0.0,0.25,0.95,1200000.0
Adam Idah,IRL,Delantero,Norwich City,20,2001.0,14.5,3.5,426.5,0.5,0.5,1.0,0.0,0.0,1.65,0.3,2000000.0
Adam Lallana,ENG,Centrocampista,Brighton,35,1988.0,18.6,10.8,913.4,0.8,0.8,1.6,1.2,0.0,0.8800000000000001,1.1199999999999999,1200000.0
Adam Marušić,MNE,Defensa,Lazio,31,1992.0,26.0,23.4,2096.4,1.0,1.2,2.2,4.2,0.4,1.0,0.9,8000000.0
Adam Masina,MAR,Defensa,Watford,28,1994.0,18.333333333333332,13.666666666666666,1229.0,1.0,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,0.43333333333333335,0.49999999999999994,2500000.0
Adam Obert,SVK,Defensa,Cagliari,21,2002.0,7.0,3.5,326.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,1800000.0
Adam Ounas,ALG,Delantero,Napoli,25,1996.0,9.75,4.75,462.0,1.0,1.0,2.0,0.5,0.0,0.975,1.1500000000000001,7000000.0
Adam Smith,ENG,Defensa,Bournemouth,32,1991.0,22.0,20.0,1736.6666666666667,0.0,1.0,1.0,6.0,0.0,0.43333333333333335,0.9333333333333335,1200000.0
Adam Webster,ENG,Defensa,Brighton,28,1995.0,23.0,21.0,1844.2,1.2,0.2,1.4,3.2,0.0,1.24,0.34,25000000.0
Adama Soumaoro,FRA,Defensa,Bologna,30,1992.0,19.75,18.5,1631.25,0.5,0.0,0.5,4.25,0.75,0.7499999999999999,0.05,3000000.0
Adama Traoré,ESP,Delantero,Fulham,27,1996.0,23.833333333333332,13.5,1373.8333333333333,1.5,2.3333333333333335,3.8333333333333335,1.1666666666666667,0.0,1.8499999999999996,2.9,10000000.0
Ademola Lookman,NGA,Delantero,Leicester City,26,1997.0,26.0,19.25,1667.0,6.75,3.0,9.75,3.0,0.0,5.75,3.675,30000000.0
Adnan Januzaj,BEL,Delantero,Real Sociedad,28,1995.0,19.428571428571427,10.571428571428571,960.5714285714286,2.0,2.2857142857142856,4.285714285714286,2.142857142857143,0.0,2.814285714285714,2.6285714285714286,4000000.0
Adolfo Gaich,ARG,Delantero,Hellas Verona,23,1999.0,15.5,8.5,747.0,2.0,0.0,2.0,1.5,0.0,2.65,0.4,1800000.0
Adri Bosch,ESP,Defensa,Granada,22,2001.0,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adri Embarba,ESP,Centrocampista,Rayo Vallecano,31,1992.0,21.5,16.166666666666668,1339.3333333333333,1.8333333333333333,2.5,4.333333333333333,3.3333333333333335,0.3333333333333333,2.9166666666666665,3.1333333333333333,0.0
Adrian Mariappa,JAM,Defensa,Watford,32,1986.0,20.0,15.0,1513.0,0.0,0.0,0.0,6.0,1.0,0.2,0.2,100000.0
Adrian Šemper,CRO,PO,Genoa,23,1998.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200000.0
Adrien Rabiot,FRA,Centrocampista,Juventus,28,1995.0,27.6,23.4,2067.6,2.8,2.2,5.0,6.6,0.4,2.84,1.7,40000000.0
Adrien Silva,POR,Centrocampista,Sampdoria,32,1989.0,20.5,15.0,1341.0,0.5,1.0,1.5,5.5,1.0,0.4,0.6000000000000001,1000000.0
Adrien Tameze,CMR,Defensa,Torino,29,1994.0,25.2,20.0,1780.8,1.0,0.8,1.8,3.2,0.0,0.68,0.8999999999999998,6000000.0
Adrià Altimira,ESP,Defensa,Villarreal,22,2001.0,5.0,4.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1000000.0
Adrià Pedrosa,ESP,Defensa,Espanyol,25,1998.0,16.2,11.6,1096.2,0.6,0.6,1.2,2.6,0.0,0.62,0.86,5000000.0
Adrián Butzke,ESP,Delantero,Granada,22,1999.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0
Adrián Diéguez,ESP,Defensa,Alavés,22,1996.0,7.5,7.0,592.0,0.0,0.0,0.0,4.0,0.0,0.1,0.0,600000.0
Adrián Guerrero,ESP,Defensa,Valencia,21,1998.0,2.0,1.0,126.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2000000.0
Adrián Marín,ESP,Defensa,Villarreal,23,1997.0,7.0,3.4,347.4,0.0,0.2,0.2,1.0,0.0,0.24000000000000005,0.1,1500000.0
Adrián Ramos,COL,Delantero,Granada,33,1986.0,7.0,2.0,226.0,0.0,0.0,0.0,0.0,0.0,0.4,0.7,300000.0
Adu Ares,ESP,Delantero,Athletic Club,22,2001.0,5.0,0.0,54.5,0.0,0.0,0.0,0.5,0.0,0.05,0.1,500000.0
Ager Aketxe,ESP,Centrocampista,Athletic Club,23,1993.0,3.0,0.0,37.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1000000.0
Agustín Marchesín,ARG,PO,Celta Vigo,34,1988.0,19.0,19.0,1710.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1500000.0
Agustín Martegani,ARG,Centrocampista,Salernitana,23,2000.0,9.0,3.0,400.0,0.0,0.0,0.0,1.0,0.0,0.2,0.4,2000000.0
Agustín Álvarez Martínez,URU,Delantero,Sassuolo,21,2001.0,22.0,1.0,368.0,1.0,1.0,2.0,1.0,0.0,1.5,0.4,8000000.0
Ahmad Benali,LBY,Centrocampista,Crotone,28,1992.0,18.0,15.0,1214.0,0.0,1.0,1.0,2.0,0.0,0.6,1.2,900000.0
Ahmed Elmohamady,EGY,Defensa,Aston Villa,32,1987.0,16.0,9.5,935.0,0.5,0.5,1.0,1.5,0.0,0.30000000000000004,1.9,0.0
Ahmed Hegazi,EGY,Defensa,West Brom,29,1991.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0
Ahmed Touba,ALG,Defensa,Lecce,25,1998.0,3.0,1.0,114.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2800000.0
Aihen Muñoz,ESP,Defensa,Real Sociedad,26,1997.0,16.5,13.5,1211.5,0.0,0.5,0.5,2.5,0.16666666666666666,0.13333333333333333,0.5166666666666667,6000000.0
Aimar Oroz,ESP,Delantero,Osasuna,22,2001.0,15.333333333333334,12.333333333333334,1057.0,1.3333333333333333,2.3333333333333335,3.6666666666666665,2.6666666666666665,0.0,1.7,1.2,15000000.0
Aimar Sher,SWE,Centrocampista,Spezia,18,2002.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000.0
Ainsley Maitland-Niles,ENG,Defensa,Southampton,24,1997.0,14.0,9.333333333333334,878.0,0.0,0.3333333333333333,0.3333333333333333,1.8333333333333333,0.16666666666666666,0.25000000000000006,0.65,6000000.0
Aitor Fernández,ESP,PO,Levante,32,1991.0,19.833333333333332,19.666666666666668,1771.1666666666667,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.06666666666666667,3000000.0
Aitor Paredes,ESP,Defensa,Athletic Club,23,2000.0,15.0,10.5,962.0,0.0,0.0,0.0,3.5,0.0,0.45,0.25,8000000.0
Aitor Ruibal,ESP,Centrocampista,Betis,27,1996.0,17.666666666666668,10.166666666666666,895.8333333333334,0.3333333333333333,0.5,0.8333333333333334,3.0,0.16666666666666666,0.9499999999999998,1.3333333333333333,5000000.0
Ajdin Hrustic,AUS,Centrocampista,Hellas Verona,26,1996.0,6.0,3.0,226.0,0.0,0.0,0.0,0.0,0.0,0.3,0.6,900000.0
Akin Famewo,ENG,Centrocampista,Norwich City,20,1998.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0
Alan Empereur,BRA,Defensa,Hellas Verona,26,1994.0,8.5,6.0,537.0,0.0,0.0,0.0,2.0,0.0,0.1,0.0,750000.0
Alan Matturro,URU,Defensa,Genoa,19,2004.0,3.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0
Alassane Sidibe,CIV,Centrocampista,Atalanta,19,2002.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750000.0
Albert Guðmundsson,ISL,Delantero,Genoa,26,1997.0,12.0,9.0,840.0,3.0,0.0,3.0,2.5,0.0,1.4500000000000002,1.1,12000000.0
Albert Sambi Lokonga,BEL,Centrocampista,Luton Town,24,1999.0,9.0,5.5,499.25,0.0,0.0,0.0,1.75,0.0,0.225,0.275,15000000.0
Alberto Basso,ITA,Centrocampista,Cremonese,18,2004.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
Alberto Cerri,ITA,Delantero,Cagliari,24,1996.0,14.0,3.0,344.3333333333333,1.0,0.0,1.0,1.0,0.0,1.6333333333333335,0.4666666666666666,2000000.0
Alberto Del Moral,ESP,Centrocampista,Villarreal,22,2000.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0
Alberto Dossena,ITA,Defensa,Cagliari,25,1998.0,13.0,12.0,1086.0,2.0,1.0,3.0,0.0,0.0,1.1,0.6,2000000.0
Alberto García,ESP,PO,Rayo Vallecano,33,1985.0,17.0,17.0,1530.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3000000.0
Alberto Grassi,ITA,Centrocampista,Empoli,28,1995.0,21.0,13.2,1176.2,0.2,0.6,0.8,4.2,0.2,0.54,0.74,2000000.0
Alberto López,ESP,Defensa,Málaga,22,1995.0,1.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0
Alberto Moleiro,ESP,Centrocampista,Las Palmas,20,2003.0,5.0,2.0,233.0,1.0,1.0,2.0,0.0,0.0,0.3,0.1,5000000.0
Alberto Moreno,ESP,Defensa,Villarreal,31,1992.0,16.2,10.0,926.2,0.6,0.8,1.4,3.6,0.2,1.04,0.8399999999999999,2000000.0
Alberto Paleari,ITA,PO,Genoa,27,1992.0,3.0,2.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0
Alberto Paloschi,ITA,Delantero,SPAL,29,1990.0,8.5,3.0,321.0,0.0,0.0,0.0,0.0,0.0,0.9,0.25,500000.0
Alberto Perea,ESP,Centrocampista,Cádiz,32,1990.0,12.0,6.25,593.25,0.5,1.0,1.5,0.5,0.0,0.675,0.8,1000000.0
Alberto Soro,ESP,Delantero,Granada,24,1999.0,10.666666666666666,3.3333333333333335,326.3333333333333,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,0.0,0.5,0.26666666666666666,1500000.0
Albian Ajeti,SUI,Delantero,West Ham,22,1997.0,9.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1500000.0
Albin Ekdal,SWE,Centrocampista,Spezia,33,1989.0,30.25,22.5,2013.75,0.75,1.25,2.0,8.5,0.5,1.55,1.0,800000.0
Aleix Febas,ESP,Centrocampista,Mallorca,25,1996.0,16.5,11.5,903.5,0.0,1.5,1.5,2.5,0.0,0.2,0.9,1500000.0
Aleix García,ESP,Centrocampista,Girona,26,1997.0,21.2,14.4,1309.8,1.4,2.2,3.6,1.4,0.0,0.9200000000000002,2.6399999999999997,10000000.0
Aleix Garrido,ESP,Delantero,Barcelona,18,2004.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0
Aleix Vidal,ESP,Centrocampista,Barcelona,32,1989.0,20.5,11.833333333333334,1112.3333333333333,0.8333333333333334,1.5,2.3333333333333335,5.166666666666667,0.16666666666666666,0.8833333333333333,2.016666666666667,1000000.0
Alejandro Arribas,ESP,Defensa,La Coruña,28,1989.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,350000.0
Alejandro Asensio,ESP,Delantero,Rayo Vallecano,20,2000.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0
Alejandro Balde,ESP,Defensa,Barcelona,20,2003.0,17.0,14.333333333333334,1217.0,0.3333333333333333,2.3333333333333335,2.6666666666666665,1.6666666666666667,0.0,0.6666666666666666,1.9666666666666668,50000000.0
Alejandro Blanco,ESP,Delantero,Alavés,21,1998.0,7.5,3.0,298.0,0.5,0.0,0.5,0.5,0.0,0.25,0.25,600000.0
Alejandro Blesa,ESP,Centrocampista,Levante,18,2002.0,1.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0
Alejandro Garnacho,ARG,Delantero,Manchester Utd,19,2004.0,10.666666666666666,3.3333333333333335,352.3333333333333,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,0.0,1.4000000000000001,0.5666666666666667,25000000.0
Alejandro Pozo Pozo,ESP,Defensa,Mallorca,24,1999.0,18.2,12.8,1201.6,0.2,1.0,1.2,1.2,0.0,0.24,1.34,3000000.0
Alejandro Primo,ESP,PO,Levante,17,2004.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0
Alejandro Revuelta Montero,ESP,Defensa,Getafe,22,2000.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25000.0
Alejo Véliz,ARG,Delantero,Tottenham,20,2003.0,4.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11000000.0
Aleksa Terzić,SRB,Defensa,Fiorentina,22,1999.0,12.666666666666666,3.0,405.6666666666667,0.3333333333333333,0.6666666666666666,1.0,1.0,0.0,0.13333333333333333,0.7666666666666666,4000000.0
Aleksandar Jovanović,SRB,PO,Huesca,25,1992.0,12.0,12.0,1080.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,800000.0
Aleksandar Katai,SRB,Centrocampista,Alavés,26,1991.0,3.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,4500000.0
Aleksandar Mitrović,SRB,Delantero,Fulham,29,1994.0,17.333333333333332,12.0,1147.6666666666667,5.666666666666667,1.3333333333333333,7.0,3.3333333333333335,0.0,7.1000000000000005,1.6666666666666667,28000000.0
Aleksandar Sedlar,SRB,Defensa,Mallorca,31,1991.0,11.0,7.666666666666667,721.3333333333334,0.3333333333333333,0.0,0.3333333333333333,3.3333333333333335,0.6666666666666666,0.13333333333333333,0.06666666666666667,500000.0
Aleksandar Trajkovski,MKD,Centrocampista,Mallorca,26,1992.0,14.0,1.0,330.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,450000.0
Aleksander Buksa,POL,Delantero,Genoa,18,2003.0,4.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0
Aleksandr Kokorin,RUS,Delantero,Fiorentina,30,1991.0,5.0,0.0,74.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1000000.0
Aleksei Miranchuk,RUS,Centrocampista,Atalanta,28,1995.0,19.25,9.0,925.0,2.5,3.0,5.5,0.0,0.0,1.375,2.225,9000000.0
Alen Halilović,CRO,Delantero,Las Palmas,21,1996.0,20.0,16.0,1304.0,2.0,1.0,3.0,1.0,1.0,1.6,1.8,1000000.0
Alessandro Bastoni,ITA,Defensa,Inter,24,1999.0,25.4,23.6,2012.2,0.6,1.4,2.0,5.0,0.2,0.74,1.6199999999999999,60000000.0
Alessandro Berardi,ITA,PO,Hellas Verona,30,1991.0,1.0,0.5,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50000.0
Alessandro Bianco,ITA,Centrocampista,Fiorentina,19,2002.0,7.0,2.0,153.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,1200000.0
Alessandro Buongiorno,ITA,Defensa,Torino,24,1999.0,19.75,15.25,1399.0,0.75,0.75,1.5,4.5,0.0,1.0250000000000001,0.5,20000000.0
Alessandro Cortinovis,ITA,Centrocampista,Hellas Verona,21,2001.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0
Alessandro Deiola,ITA,Centrocampista,Cagliari,28,1995.0,12.833333333333334,8.666666666666666,696.5,0.8333333333333334,0.3333333333333333,1.1666666666666667,2.1666666666666665,0.0,0.7166666666666668,0.5,1800000.0
Alessandro Di Pardo,ITA,Centrocampista,Cagliari,24,1999.0,5.0,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,900000.0
Alessandro Florenzi,ITA,Defensa,Valencia,32,1991.0,13.4,8.0,715.2,0.4,0.2,0.6,2.4,0.2,0.5599999999999999,0.8800000000000001,2000000.0
Alessandro Murgia,ITA,Centrocampista,SPAL,22,1996.0,25.0,19.0,1750.0,0.0,1.0,1.0,3.0,0.0,2.4,2.0,450000.0
Alessandro Russo,ITA,PO,Sassuolo,21,2002.0,1.0,0.5,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350000.0
Alessandro Semprini,ITA,Defensa,Brescia,21,1998.0,12.0,6.0,629.0,1.0,0.0,1.0,2.0,0.0,0.9,0.2,125000.0
Alessandro Sorrentino,ITA,PO,Monza,21,2002.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
Alessandro Tripaldelli,ITA,Defensa,Cagliari,21,1999.0,6.0,2.0,217.5,0.0,0.0,0.0,0.5,0.0,0.0,0.05,600000.0
Alessandro Tuia,ITA,Defensa,Lecce,32,1990.0,17.0,12.5,1137.0,0.5,0.0,0.5,3.5,0.0,0.45,0.15,400000.0
Alessandro Vogliacco,ITA,Defensa,Genoa,25,1998.0,3.0,1.0,89.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2000000.0
Alessandro Zanoli,ITA,Defensa,Napoli,23,2000.0,9.25,5.25,510.25,0.5,0.75,1.25,1.5,0.0,0.675,0.325,6000000.0
Alessio Cragno,ITA,PO,Sassuolo,29,1994.0,17.6,17.6,1584.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3000000.0
Alessio Romagnoli,ITA,Defensa,Lazio,28,1995.0,24.4,23.4,2081.8,1.0,0.2,1.2,4.6,0.2,1.3199999999999998,0.45999999999999996,18000000.0
Alessio Zerbin,ITA,Delantero,Napoli,24,1999.0,6.0,1.0,103.5,0.0,0.0,0.0,0.5,0.0,0.2,0.0,4000000.0
Alex Baena,ESP,Centrocampista,Villarreal,22,2001.0,13.5,8.25,744.5,1.75,1.75,3.5,4.25,0.5,1.4,2.1,20000000.0
Alex Cordaz,ITA,PO,Inter,39,1983.0,18.5,18.0,1633.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,200000.0
Alex Ferrari,ITA,Defensa,Sampdoria,28,1994.0,15.0,13.0,1080.6,0.2,0.2,0.4,3.4,0.0,0.34,0.4,1000000.0
Alex Iwobi,NGA,Centrocampista,Everton,27,1996.0,22.0,17.166666666666668,1540.6666666666667,1.1666666666666667,1.8333333333333333,3.0,0.8333333333333334,0.0,1.6833333333333336,2.2,28000000.0
Alex Král,CZE,Centrocampista,West Ham,23,1998.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
Alex Matos,ENG,Centrocampista,Chelsea,19,2004.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0
Alex McCarthy,ENG,PO,Southampton,32,1989.0,20.25,20.25,1822.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,900000.0
Alex Meret,ITA,PO,Napoli,26,1997.0,19.2,19.0,1720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18000000.0
Alex Mighten,ENG,Delantero,Nott'ham Forest,20,2002.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600000.0
Alex Oxlade-Chamberlain,ENG,Delantero,Liverpool,28,1993.0,17.25,8.0,714.5,2.0,0.75,2.75,0.25,0.0,1.4249999999999998,0.85,6000000.0
Alex Petxa,ESP,Defensa,Athletic Club,24,1997.0,17.0,1.0,412.0,0.0,0.0,0.0,4.0,0.0,0.1,0.3,600000.0
Alex Sandro,BRA,Defensa,Juventus,32,1991.0,22.2,17.4,1598.4,0.6,1.2,1.8,3.0,0.2,0.7,1.2,3000000.0
Alex Scott,ENG,Centrocampista,Bournemouth,20,2003.0,3.0,3.0,189.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,20000000.0
Alex Sola,ESP,Defensa,Real Sociedad,24,1999.0,5.0,2.2,209.0,0.0,0.0,0.0,0.4,0.0,0.2,0.18,3000000.0
Alex Telles,BRA,Defensa,Manchester Utd,29,1992.0,19.0,13.666666666666666,1259.0,0.0,2.6666666666666665,2.6666666666666665,2.3333333333333335,0.0,0.3333333333333333,1.5333333333333332,7000000.0
Alexander,ARG,Centrocampista,Leganés,29,1988.0,7.0,6.5,535.0,1.0,1.0,2.0,0.5,0.0,1.1,1.25,65000000.0
Alexander Callens,PER,Defensa,Girona,30,1992.0,6.0,0.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1800000.0
Alexander Isak,SWE,Delantero,Newcastle Utd,24,1999.0,22.666666666666668,16.0,1372.1666666666667,8.333333333333334,1.0,9.333333333333334,2.6666666666666665,0.0,8.049999999999999,1.6500000000000001,70000000.0
Alexander Sørloth,NOR,Delantero,Real Sociedad,27,1995.0,26.666666666666668,20.333333333333332,1708.3333333333333,7.333333333333333,1.3333333333333333,8.666666666666666,2.3333333333333335,0.0,7.733333333333334,2.8000000000000003,14000000.0
Alexandre Jankewitz,SUI,Centrocampista,Southampton,18,2001.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,800000.0
Alexandre Lacazette,FRA,Delantero,Arsenal,30,1991.0,30.333333333333332,21.333333333333332,1859.6666666666667,9.0,4.333333333333333,13.333333333333334,3.6666666666666665,0.0,9.4,2.6999999999999997,12000000.0
Alexis,ESP,Defensa,Alavés,31,1985.0,28.0,25.0,2184.0,1.0,0.0,1.0,6.0,0.0,1.2,0.3,65000000.0
Alexis Blin,FRA,Centrocampista,Lecce,27,1996.0,22.0,14.5,1368.0,0.5,1.0,1.5,4.0,0.0,1.5999999999999999,0.8,2500000.0
Alexis Mac Allister,ARG,Centrocampista,Liverpool,24,1998.0,22.0,16.4,1488.0,3.2,1.2,4.4,3.6,0.2,4.0600000000000005,1.6800000000000002,65000000.0
Alexis Saelemaekers,BEL,Delantero,Bologna,24,1999.0,23.8,14.8,1287.0,1.2,2.0,3.2,3.6,0.6,1.8,2.3,10000000.0
Alexis Sánchez,CHI,Delantero,Inter,34,1988.0,21.0,7.5,769.5,4.0,3.75,7.75,1.0,0.25,3.825,2.6500000000000004,4000000.0
Aleš Matějů,CZE,Defensa,Venezia,25,1996.0,20.0,18.5,1637.5,0.0,1.0,1.0,6.5,0.5,0.35,1.0,900000.0
Alfa Semedo,GNB,Centrocampista,Espanyol,20,1997.0,3.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2000000.0
Alfie Doughty,ENG,Defensa,Luton Town,23,1999.0,13.0,10.0,883.0,0.0,1.0,1.0,1.0,0.0,0.2,1.7,2200000.0
Alfon,ESP,Centrocampista,Celta Vigo,21,1999.0,2.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,12000000.0
Alfonso Espino,URU,Defensa,Cádiz,31,1992.0,29.75,29.25,2567.0,0.5,2.25,2.75,5.75,0.0,0.9249999999999999,2.1999999999999997,3500000.0
