,Jugador,Pais,Posicion,Equipo,Edad,Nacimiento,PJ,Titular,Mín,Goles,Asistencias,Goles+Asistencias,Tarjetas Amarillas,Tarjetas Rojas,Goles Esperados,Asistencias Esperadas
55,Álex Berenguer,ESP,Delantero,Torino,22,1995,22,11,1043,1,3,4,1,0,1.0,2.2
56,Bartosz Bereszyński,POL,Defensa,Sampdoria,25,1992,31,28,2480,0,1,1,5,0,0.1,1.0
57,Etrit Berisha,ALB,PO,Atalanta,28,1989,31,31,2790,0,0,0,0,0,0.0,0.0
58,Federico Bernardeschi,ITA,Delantero,Juventus,23,1994,22,7,847,4,3,7,4,0,2.8,2.0
59,Andrea Bertolacci,ITA,Centrocampista,Genoa,26,1991,33,33,2895,1,0,1,7,1,0.9,1.6
60,Daniel Bessa,ITA,Centrocampista,Hellas Verona,24,1993,17,15,1389,1,1,2,5,0,1.0,1.8
61,Daniel Bessa,ITA,Centrocampista,Genoa,24,1993,11,6,438,2,0,2,0,0,1.8,0.6
62,Matteo Bianchetti,ITA,Defensa,Hellas Verona,24,1993,2,1,124,0,0,0,1,0,0.0,0.0
63,Lucas Biglia,ARG,Centrocampista,Milan,31,1986,28,24,2039,1,0,1,5,0,0.8,0.8
64,Jean-Claude Billong,CMR,Defensa,Benevento,23,1993,5,3,294,0,0,0,0,0,0.0,0.0
65,Davide Biondini,ITA,Centrocampista,Sassuolo,34,1983,7,2,206,0,0,0,1,0,0.0,0.1
66,Cristiano Biraghi,ITA,Defensa,Fiorentina,24,1992,34,34,2980,1,4,5,7,0,1.6,4.5
67,Davide Biraschi,ITA,Defensa,Genoa,23,1994,23,20,1796,0,1,1,2,0,0.6,0.8
68,Valter Birsa,SVN,Centrocampista,Chievo,30,1986,35,29,2504,3,6,9,3,0,2.3,6.4
69,Albano Bizzarri,ARG,PO,Udinese,39,1977,32,32,2880,0,0,0,0,1,0.0,0.0
70,Deian Boldor,ROU,Defensa,Hellas Verona,22,1995,1,1,90,0,0,0,1,0,0.0,0.1
71,Giacomo Bonaventura,ITA,Centrocampista,Milan,27,1989,33,30,2541,8,2,10,3,0,4.1,3.4
72,Federico Bonazzoli,ITA,Delantero,SPAL,20,1997,11,2,176,0,0,0,0,0,0.6,0.1
73,Federico Bonazzoli,ITA,Delantero,Sampdoria,20,1997,1,0,28,0,0,0,0,0,0.1,0.0
74,Kevin Bonifazi,ITA,Defensa,Torino,21,1996,6,4,408,0,0,0,0,0,0.0,0.0
75,Leonardo Bonucci,ITA,Defensa,Milan,30,1987,35,35,3085,2,1,3,5,1,2.4,0.9
76,Fabio Borini,ITA,Defensa,Milan,26,1991,29,19,1610,2,3,5,5,0,2.0,0.8
77,Marco Borriello,ITA,Delantero,SPAL,35,1982,15,9,773,1,0,1,6,0,0.6,0.9
78,Lucas Boyé,ARG,Delantero,Torino,21,1996,11,0,155,0,0,0,0,0,0.0,0.6
79,Enrico Brignola,ITA,Centrocampista,Benevento,18,1999,18,16,1347,3,2,5,5,0,2.7,1.3
80,Alberto Brignoli,ITA,PO,Benevento,25,1991,13,11,1126,1,0,1,2,0,0.1,0.0
81,Petar Brlek,CRO,Centrocampista,Genoa,23,1994,5,3,232,0,0,0,1,0,0.1,0.1
82,Marcelo Brozović,CRO,Centrocampista,Inter,24,1992,31,21,1926,4,8,12,9,0,2.2,4.9
83,Marcel Büchel,LIE,Centrocampista,Hellas Verona,26,1991,23,20,1696,0,0,0,9,0,0.2,0.4
84,Ante Budimir,CRO,Delantero,Crotone,26,1991,22,17,1588,6,0,6,8,0,5.3,1.4
