RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
25,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,2,1,135,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
26,José Antonio Miranda,gq EQG,"CC,DF",Getafe,22,1998,4,0,26,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,0,3,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Partidos
27,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
28,Mauro Arambarri,uy URU,CC,Getafe,24,1995,34,33,2983,33.1,3,0,3,3,0,0,11,0,2.1,2.1,2.0,4.0,38,119,50,0.09,0.00,0.09,0.09,0.09,0.06,0.06,0.12,0.06,0.12,Partidos
29,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,33,26,2426,27.0,0,0,0,0,0,0,5,0,0.4,0.4,0.8,1.1,26,82,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Partidos
30,Ronald Araújo,uy URU,DF,Barcelona,21,1999,24,16,1510,16.8,2,1,3,2,0,0,3,0,1.8,1.8,0.2,2.0,9,43,2,0.12,0.06,0.18,0.12,0.18,0.11,0.01,0.12,0.11,0.12,Partidos
31,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,34,30,2807,31.2,0,1,1,0,0,0,8,0,1.8,1.8,0.9,2.7,37,173,19,0.00,0.03,0.03,0.00,0.03,0.06,0.03,0.09,0.06,0.09,Partidos
32,Unai Arietaleanizbeaskoa,es ESP,"DL,CC",Eibar,21,1999,4,0,47,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,6,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
33,Sergio Arribas,es ESP,"CC,DL",Real Madrid,18,2001,8,0,135,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,8,8,13,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos
34,Sergio Asenjo,es ESP,PO,Villarreal,31,1989,36,36,3240,36.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
35,Marco Asensio,es ESP,"DL,CC",Real Madrid,24,1996,35,21,1869,20.8,5,2,7,5,0,0,1,0,3.8,3.8,3.3,7.0,92,82,166,0.24,0.10,0.34,0.24,0.34,0.18,0.16,0.34,0.18,0.34,Partidos
36,Iago Aspas,es ESP,DL,Celta Vigo,32,1987,33,33,2864,31.8,14,13,27,9,5,5,9,0,12.4,8.5,9.0,17.5,93,144,269,0.44,0.41,0.85,0.28,0.69,0.39,0.28,0.67,0.27,0.55,Partidos
37,Miguel Atienza,es ESP,CC,Eibar,21,1999,12,9,838,9.3,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,31,10,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.05,0.03,0.05,Partidos
38,Ezequiel Ávila,ar ARG,"DL,CC",Osasuna,26,1994,8,2,202,2.2,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,1,6,9,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Partidos
39,Ramon Azeez,ng NGA,CC,Granada,27,1992,2,1,101,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Partidos
40,Carlos Bacca,co COL,DL,Villarreal,33,1986,23,9,786,8.7,5,0,5,5,0,0,1,0,3.2,3.2,1.0,4.2,11,14,52,0.57,0.00,0.57,0.57,0.57,0.36,0.12,0.48,0.36,0.48,Partidos
41,Édgar Badía,es ESP,PO,Elche,28,1992,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
