RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
1,Abner,br BRA,DF,Betis,23-187,2000,9,5,522,5.8,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.4,5,11,29,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Partidos
2,Abdel Abqar,ma MAR,DF,Alavés,24-265,1999,11,11,989,11.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,2,23,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
3,Marcos Acuña,ar ARG,DF,Sevilla,32-033,1991,7,6,411,4.6,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,11,19,14,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.09,0.02,0.09,Partidos
4,Joseph Aidoo,gh GHA,DF,Celta Vigo,28-062,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Partidos
5,Ilias Akhomach,es ESP,"CC,DL",Villarreal,19-228,2004,10,2,346,3.8,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,12,7,34,0.00,0.26,0.26,0.00,0.26,0.03,0.09,0.12,0.03,0.12,Partidos
6,Sergio Akieme,es ESP,DF,Almería,25-349,1997,11,11,990,11.0,2,0,2,2,0,0,1,0,1.1,1.1,1.0,2.1,19,19,45,0.18,0.00,0.18,0.18,0.18,0.10,0.09,0.19,0.10,0.19,Partidos
7,Paul Akouokou,ci CIV,CC,Betis,25-345,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
8,David Alaba,at AUT,DF,Real Madrid,31-159,1992,11,11,940,10.4,0,1,1,0,0,0,2,0,0.9,0.9,0.7,1.6,8,42,13,0.00,0.10,0.10,0.00,0.10,0.09,0.06,0.15,0.09,0.15,Partidos
9,Raúl Albiol,es ESP,DF,Villarreal,38-087,1985,12,11,976,10.8,0,0,0,0,0,0,3,0,0.4,0.4,0.3,0.7,6,29,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Partidos
10,Rubén Alcaraz,es ESP,CC,Cádiz,32-213,1991,13,13,1080,12.0,1,0,1,1,0,0,6,0,0.5,0.5,0.1,0.6,12,49,8,0.08,0.00,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Partidos
11,Omar Alderete,py PAR,"DF,CC",Getafe,26-339,1996,9,6,569,6.3,0,1,1,0,0,0,3,0,0.2,0.2,0.1,0.2,5,19,2,0.00,0.16,0.16,0.00,0.16,0.02,0.01,0.04,0.02,0.04,Partidos
12,Iván Alejo,es ESP,CC,Cádiz,28-293,1995,13,11,822,9.1,0,0,0,0,0,0,6,0,0.0,0.0,0.3,0.4,25,14,50,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.00,0.04,Partidos
13,Carles Aleñá,es ESP,CC,Getafe,25-329,1998,13,7,563,6.3,1,1,2,1,0,0,4,0,1.0,1.0,1.0,2.1,5,9,18,0.16,0.16,0.32,0.16,0.32,0.16,0.17,0.33,0.16,0.33,Partidos
14,Mohamed Ali Cho,fr FRA,"DL,CC",Real Sociedad,19-315,2004,11,1,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19,0.00,0.00,0.00,0.00,0.00,0.14,0.04,0.18,0.14,0.18,Partidos
15,Domingos André Ribeiro Almeida,pt POR,"DL,CC",Valencia,23-184,2000,8,6,479,5.3,0,1,1,0,0,0,0,0,0.2,0.2,0.7,0.8,13,23,12,0.00,0.19,0.19,0.00,0.19,0.03,0.12,0.16,0.03,0.16,Partidos
16,Marcos Alonso,es ESP,DF,Barcelona,32-337,1990,4,2,162,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,8,9,26,0.00,0.00,0.00,0.00,0.00,0.05,0.27,0.32,0.05,0.32,Partidos
17,Adrià Altimira,es ESP,"DF,CC",Villarreal,22-247,2001,5,4,348,3.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,14,8,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Partidos
18,Sergi Altimira,es ESP,CC,Betis,22-097,2001,3,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
19,Gastón Álvarez,uy URU,DF,Getafe,23-251,2000,12,11,993,11.0,1,0,1,1,0,0,3,0,0.3,0.3,0.4,0.6,4,22,7,0.09,0.00,0.09,0.09,0.09,0.02,0.04,0.06,0.02,0.06,Partidos
20,Yeray Álvarez,es ESP,DF,Athletic Club,28-310,1995,5,2,185,2.1,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,5,2,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,Partidos
21,Selim Amallah,ma MAR,"CC,DL",Valencia,27-015,1996,9,5,374,4.2,0,1,1,0,0,0,4,1,0.3,0.3,0.2,0.5,6,13,22,0.00,0.24,0.24,0.00,0.24,0.08,0.04,0.12,0.08,0.12,Partidos
22,Amath,sn SEN,"DL,CC",Mallorca,27-137,1996,11,2,285,3.2,0,0,0,0,0,0,1,0,1.5,1.5,0.0,1.5,13,8,17,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.47,0.47,0.47,Partidos
23,Miguel Ángel Rubio,es ESP,DF,Granada,25-264,1998,7,6,559,6.2,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,1,8,0,0.16,0.00,0.16,0.16,0.16,0.07,0.00,0.07,0.07,0.07,Partidos
24,Fabrizio Angileri,ar ARG,"DF,DL",Getafe,29-260,1994,4,1,76,0.8,0,0,0,0,0,0,1,1,0.0,0.0,0.2,0.2,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,Partidos
25,Mauro Arambarri,uy URU,CC,Getafe,28-061,1995,7,3,339,3.8,0,0,0,0,0,0,2,0,0.5,0.5,0.0,0.6,2,20,6,0.00,0.00,0.00,0.00,0.00,0.14,0.01,0.15,0.14,0.15,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
26,Julian Araujo,mx MEX,DF,Las Palmas,22-109,2001,12,6,636,7.1,0,0,0,0,0,0,3,0,0.3,0.3,0.7,1.0,12,29,18,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,Partidos
27,Ronald Araújo,uy URU,DF,Barcelona,24-268,1999,8,5,573,6.4,1,0,1,1,0,0,0,0,0.6,0.6,0.7,1.3,16,44,8,0.16,0.00,0.16,0.16,0.16,0.09,0.11,0.20,0.09,0.20,Partidos
28,Adu Ares,es ESP,DL,Athletic Club,22-049,2001,2,0,25,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
29,Jesús Areso,es ESP,DF,Osasuna,24-151,1999,13,9,823,9.1,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.3,21,41,55,0.00,0.11,0.11,0.00,0.11,0.01,0.13,0.14,0.01,0.14,Partidos
30,José Arnaiz,es ESP,"DL,CC",Osasuna,28-229,1995,9,3,289,3.2,1,0,1,1,0,0,0,0,0.6,0.6,0.2,0.8,3,3,25,0.31,0.00,0.31,0.31,0.31,0.18,0.06,0.25,0.18,0.25,Partidos
31,Sergio Arribas,es ESP,"CC,DL",Almería,22-061,2001,14,8,842,9.4,5,0,5,5,0,0,0,0,4.3,4.3,0.4,4.7,19,31,34,0.53,0.00,0.53,0.53,0.53,0.46,0.04,0.50,0.46,0.50,Partidos
32,Kepa Arrizabalaga,es ESP,PO,Real Madrid,29-058,1994,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
33,Iago Aspas,es ESP,DL,Celta Vigo,36-121,1987,14,13,1081,12.0,1,4,5,1,0,2,4,0,5.2,3.6,4.6,8.2,32,58,66,0.08,0.33,0.42,0.08,0.42,0.43,0.38,0.81,0.30,0.68,Partidos
34,Ezequiel Ávila,ar ARG,"DL,CC",Osasuna,29-297,1994,12,7,638,7.1,1,2,3,1,0,0,2,2,1.5,1.5,1.6,3.0,11,31,60,0.14,0.28,0.42,0.14,0.42,0.21,0.22,0.43,0.21,0.43,Partidos
35,César Azpilicueta,es ESP,DF,Atlético Madrid,34-094,1989,10,7,665,7.4,0,1,1,0,0,0,1,0,0.6,0.6,1.8,2.4,22,42,19,0.00,0.14,0.14,0.00,0.14,0.09,0.24,0.33,0.09,0.33,Partidos
36,Iddrisu Baba,gh GHA,CC,Almería,27-312,1996,14,9,829,9.2,0,0,0,0,0,0,3,0,0.5,0.5,0.6,1.0,0,39,4,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Partidos
37,Srđan Babić,rs SRB,DF,Almería,27-222,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,6,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
38,Loïc Bade,fr FRA,DF,Sevilla,23-233,2000,11,10,886,9.8,0,1,1,0,0,0,1,1,0.6,0.6,0.2,0.8,5,34,0,0.00,0.10,0.10,0.00,0.10,0.06,0.02,0.08,0.06,0.08,Partidos
39,Alex Baena,es ESP,"CC,DL",Villarreal,22-133,2001,12,12,879,9.8,1,5,6,1,0,0,4,1,1.6,1.6,3.1,4.7,26,52,54,0.10,0.51,0.61,0.10,0.61,0.17,0.31,0.48,0.17,0.48,Partidos
40,Alejandro Balde,es ESP,DF,Barcelona,20-043,2003,13,11,992,11.0,0,1,1,0,0,0,1,0,0.1,0.1,1.0,1.1,51,29,96,0.00,0.09,0.09,0.00,0.09,0.00,0.09,0.10,0.00,0.10,Partidos
41,Iván Balliu,al ALB,DF,Rayo Vallecano,31-333,1992,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.8,17,33,34,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Partidos
42,Jonathan Bamba,ci CIV,"CC,DL",Celta Vigo,27-249,1996,14,14,1172,13.0,2,1,3,2,0,0,0,0,2.3,2.3,2.7,5.0,63,37,97,0.15,0.08,0.23,0.15,0.23,0.18,0.21,0.38,0.18,0.38,Partidos
43,Léo Baptistão,br BRA,DL,Almería,31-096,1992,11,6,502,5.6,2,0,2,2,0,0,3,0,1.5,1.5,0.1,1.6,1,9,18,0.36,0.00,0.36,0.36,0.36,0.27,0.01,0.28,0.27,0.28,Partidos
44,Francisco Barbosa,es ESP,PO,Betis,24-207,1999,3,2,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
45,Kike Barja,es ESP,"DL,CC",Osasuna,26-243,1997,10,2,241,2.7,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,14,5,30,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.17,0.03,0.17,Partidos
46,Ander Barrenetxea,es ESP,"DL,CC",Real Sociedad,21-338,2001,13,11,806,9.0,3,1,4,3,0,0,0,0,2.1,2.1,1.0,3.1,32,18,90,0.33,0.11,0.45,0.33,0.45,0.23,0.11,0.34,0.23,0.34,Partidos
47,Pablo Barrios,es ESP,CC,Atlético Madrid,20-168,2003,9,5,564,6.3,0,1,1,0,0,0,2,0,0.2,0.2,1.2,1.4,20,42,16,0.00,0.16,0.16,0.00,0.16,0.03,0.19,0.22,0.03,0.22,Partidos
48,Marc Bartra,es ESP,DF,Betis,32-319,1991,3,3,225,2.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,2,5,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Partidos
49,Bebé,cv CPV,"CC,DL",Rayo Vallecano,33-141,1990,10,0,88,1.0,2,0,2,1,1,1,1,0,1.3,0.5,0.2,0.7,8,3,11,2.05,0.00,2.05,1.02,1.02,1.31,0.19,1.51,0.52,0.71,Partidos
50,Héctor Bellerín,es ESP,DF,Betis,28-256,1995,10,10,896,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.7,0.7,19,48,43,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
51,Jude Bellingham,eng ENG,CC,Real Madrid,20-154,2003,12,12,1021,11.3,11,2,13,11,0,0,1,0,5.3,5.3,1.6,6.9,42,76,74,0.97,0.18,1.15,0.97,1.15,0.47,0.14,0.61,0.47,0.61,Partidos
52,Fran Beltrán,es ESP,CC,Celta Vigo,24-300,1999,14,12,992,11.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.3,10,45,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Partidos
53,Carlos Benavídez,uy URU,CC,Alavés,25-245,1998,9,3,328,3.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,4,15,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Partidos
54,Yuri Berchiche,es ESP,DF,Athletic Club,33-293,1990,8,7,581,6.5,1,1,2,1,0,0,1,0,0.2,0.2,0.3,0.5,7,42,25,0.15,0.15,0.31,0.15,0.31,0.04,0.04,0.08,0.04,0.08,Partidos
55,Álex Berenguer,es ESP,DL,Athletic Club,28-149,1995,13,3,426,4.7,2,1,3,1,1,1,2,0,2.2,1.4,1.5,2.9,14,8,53,0.42,0.21,0.63,0.21,0.42,0.47,0.32,0.79,0.30,0.62,Partidos
56,Antonio Blanco,es ESP,CC,Alavés,23-130,2000,12,9,766,8.5,0,0,0,0,0,0,0,1,0.6,0.6,0.3,0.9,10,47,8,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Partidos
