RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
57,Daley Blind,nl NED,DF,Girona,33-266,1990,14,13,1172,13.0,0,2,2,0,0,0,1,0,0.1,0.1,0.4,0.5,23,93,13,0.00,0.15,0.15,0.00,0.15,0.00,0.03,0.04,0.00,0.04,Partidos
58,Adri Bosch,es ESP,DF,Granada,22-174,2001,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
59,Yassine Bounou,ma MAR,PO,Sevilla,32-239,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
60,Lucas Boyé,ar ARG,DL,Granada,27-275,1996,10,10,810,9.0,3,2,5,3,0,0,3,1,2.2,2.2,0.8,3.0,12,21,35,0.33,0.22,0.56,0.33,0.56,0.24,0.09,0.34,0.24,0.33,Partidos
61,Juan Brandáriz,es ESP,DF,Almería,24-273,1999,12,11,1035,11.5,0,1,1,0,0,0,2,0,0.0,0.0,1.2,1.2,6,24,3,0.00,0.09,0.09,0.00,0.09,0.00,0.10,0.10,0.00,0.10,Partidos
62,Claudio Bravo,cl CHI,PO,Betis,40-231,1983,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
63,Ben Brereton,cl CHI,"DL,CC",Villarreal,24-226,1999,10,2,227,2.5,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,5,12,31,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15,Partidos
64,Ante Budimir,hr CRO,DL,Osasuna,32-131,1991,14,11,965,10.7,7,1,8,5,2,2,3,0,5.5,3.9,0.7,4.6,14,12,43,0.65,0.09,0.75,0.47,0.56,0.51,0.07,0.58,0.36,0.43,Partidos
65,José Callejón,es ESP,"CC,DF",Granada,36-292,1987,12,6,490,5.4,0,1,1,0,0,0,0,0,0.8,0.8,0.6,1.4,7,18,25,0.00,0.18,0.18,0.00,0.18,0.15,0.10,0.25,0.15,0.25,Partidos
66,Eduardo Camavinga,fr FRA,"CC,DF",Real Madrid,21-020,2002,13,9,749,8.3,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.7,25,47,16,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Partidos
67,Sergio Camello,es ESP,DL,Rayo Vallecano,22-293,2001,11,5,512,5.7,0,1,1,0,0,0,2,0,1.2,1.2,0.3,1.6,4,12,32,0.00,0.18,0.18,0.00,0.18,0.22,0.06,0.28,0.22,0.28,Partidos
68,João Cancelo,pt POR,DF,Barcelona,29-187,1994,11,10,896,10.0,2,1,3,2,0,0,2,0,0.7,0.7,1.6,2.4,40,51,57,0.20,0.10,0.30,0.20,0.30,0.07,0.17,0.24,0.07,0.24,Partidos
69,Sergi Canós,es ESP,"DL,CC",Valencia,26-301,1997,7,3,311,3.5,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.7,11,13,23,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.20,0.10,0.20,Partidos
70,Étienne Capoue,fr FRA,CC,Villarreal,35-142,1988,14,10,877,9.7,0,1,1,0,0,0,3,0,0.7,0.7,0.4,1.1,14,41,17,0.00,0.10,0.10,0.00,0.10,0.07,0.04,0.11,0.07,0.11,Partidos
71,Isaac Carcelen,es ESP,DF,Cádiz,30-221,1993,13,12,1047,11.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,11,28,22,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.04,0.03,0.04,Partidos
72,Marc Cardona,es ESP,DL,Las Palmas,28-145,1995,8,4,306,3.4,2,0,2,1,1,1,1,0,1.4,0.6,0.1,0.7,4,4,24,0.59,0.00,0.59,0.29,0.29,0.39,0.02,0.41,0.16,0.19,Partidos
73,Sergi Cardona,es ESP,DF,Las Palmas,24-145,1999,14,11,1104,12.3,0,0,0,0,0,0,5,0,0.4,0.4,1.3,1.7,29,60,61,0.00,0.00,0.00,0.00,0.00,0.03,0.11,0.14,0.03,0.14,Partidos
74,Carmona,es ESP,"CC,DL",Getafe,21-305,2002,10,7,480,5.3,1,1,2,1,0,0,3,0,0.3,0.3,0.4,0.6,11,8,23,0.19,0.19,0.37,0.19,0.37,0.05,0.07,0.11,0.05,0.11,Partidos
75,Yannick Carrasco,be BEL,DF,Atlético Madrid,30-087,1993,3,3,221,2.5,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,9,6,17,0.00,0.41,0.41,0.00,0.41,0.03,0.10,0.12,0.03,0.12,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
76,Dani Carvajal,es ESP,DF,Real Madrid,31-323,1992,12,12,1041,11.6,2,2,4,2,0,0,1,0,0.5,0.5,1.9,2.4,16,42,91,0.17,0.17,0.35,0.17,0.35,0.04,0.17,0.21,0.04,0.21,Partidos
77,William Carvalho,pt POR,CC,Betis,31-237,1992,7,1,200,2.2,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.2,5,17,6,0.00,0.45,0.45,0.00,0.45,0.01,0.06,0.07,0.01,0.07,Partidos
78,Catena,es ESP,DF,Osasuna,29-033,1994,13,13,1163,12.9,1,1,2,1,0,0,4,1,0.4,0.4,0.3,0.7,5,36,0,0.08,0.08,0.15,0.08,0.15,0.03,0.02,0.05,0.03,0.05,Partidos
79,Dani Ceballos,es ESP,CC,Real Madrid,27-115,1996,4,0,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5,8,4,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
80,Álex Centelles,es ESP,DF,Almería,26-022,1997,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,5,3,10,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.19,0.01,0.19,Partidos
81,Franco Cervi,ar ARG,"DF,CC",Celta Vigo,29-188,1994,6,2,171,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,3,11,12,0.00,0.00,0.00,0.00,0.00,0.03,0.32,0.35,0.03,0.35,Partidos
82,Pep Chavarría,es ESP,"CC,DF",Rayo Vallecano,25-234,1998,3,0,22,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
83,Andreas Christensen,dk DEN,DF,Barcelona,27-234,1996,11,11,810,9.0,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.8,10,51,2,0.00,0.11,0.11,0.00,0.11,0.04,0.05,0.09,0.04,0.09,Partidos
84,Víctor Chust,es ESP,DF,Cádiz,23-270,2000,2,2,155,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
85,Pathé Ciss,sn SEN,CC,Rayo Vallecano,29-259,1994,13,7,705,7.8,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,6,35,16,0.13,0.00,0.13,0.13,0.13,0.15,0.03,0.18,0.15,0.18,Partidos
86,Silvi Clúa,es ESP,CC,Girona,18-305,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
87,Saúl Coco,gq EQG,DF,Las Palmas,24-294,1999,11,8,759,8.4,1,0,1,1,0,0,2,0,0.6,0.6,0.0,0.6,3,28,0,0.12,0.00,0.12,0.12,0.12,0.07,0.00,0.07,0.07,0.07,Partidos
88,Santi Comesaña,es ESP,CC,Villarreal,27-056,1996,9,3,320,3.6,0,0,0,0,0,0,4,0,0.2,0.2,0.2,0.4,8,19,17,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Partidos
89,Copete,es ESP,DF,Mallorca,24-051,1999,7,7,534,5.9,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,2,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
90,Jesús Corona,mx MEX,"CC,DF",Sevilla,30-328,1993,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
91,Ángel Correa,ar ARG,"DL,CC",Atlético Madrid,28-266,1995,10,2,345,3.8,3,1,4,3,0,0,0,0,1.7,1.7,1.0,2.7,9,17,51,0.78,0.26,1.04,0.78,1.04,0.45,0.27,0.71,0.45,0.71,Partidos
92,Thierry Correia,pt POR,"DF,CC",Valencia,24-266,1999,13,13,1019,11.3,0,2,2,0,0,0,1,0,0.6,0.6,0.3,0.9,21,46,31,0.00,0.18,0.18,0.00,0.18,0.05,0.02,0.08,0.05,0.08,Partidos
93,Jaume Costa,es ESP,DF,Mallorca,35-257,1988,13,7,653,7.3,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.2,12,20,35,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Partidos
94,Samu Costa,pt POR,CC,Mallorca,23-003,2000,14,11,1070,11.9,1,0,1,1,0,0,2,0,0.7,0.7,0.2,1.0,9,42,11,0.08,0.00,0.08,0.08,0.08,0.06,0.02,0.08,0.06,0.08,Partidos
95,Yan Couto,br BRA,"DF,CC",Girona,21-180,2002,13,8,766,8.5,1,3,4,1,0,0,3,0,0.7,0.7,1.2,1.9,45,32,103,0.12,0.35,0.47,0.12,0.47,0.08,0.14,0.22,0.08,0.22,Partidos
96,Juan Cruz Armada,es ESP,DF,Osasuna,31-125,1992,8,7,653,7.3,0,1,1,0,0,0,1,0,0.0,0.0,0.3,0.3,8,34,15,0.00,0.14,0.14,0.00,0.14,0.00,0.04,0.04,0.00,0.04,Partidos
97,Juan Cruz,es ESP,DL,Betis,23-219,2000,4,0,69,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,9,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.15,0.09,0.15,Partidos
98,Jorge Cuenca,es ESP,DF,Villarreal,24-013,1999,8,7,637,7.1,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,1,28,2,0.14,0.00,0.14,0.14,0.14,0.05,0.00,0.05,0.05,0.05,Partidos
99,Eric Curbelo,es ESP,DF,Las Palmas,29-320,1994,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
100,Sergi Darder,es ESP,CC,Mallorca,29-343,1993,12,8,854,9.5,0,3,3,0,0,0,1,0,0.3,0.3,3.4,3.7,26,48,22,0.00,0.32,0.32,0.00,0.32,0.03,0.36,0.39,0.03,0.39,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
101,Rodrigo De Paul,ar ARG,CC,Atlético Madrid,29-190,1994,10,7,580,6.4,0,2,2,0,0,0,1,0,0.9,0.9,1.5,2.4,18,54,22,0.00,0.31,0.31,0.00,0.31,0.14,0.23,0.37,0.14,0.37,Partidos
102,Mouctar Diakhaby,gn GUI,"DF,CC",Valencia,26-346,1996,8,8,654,7.3,1,0,1,1,0,0,4,0,0.7,0.7,0.0,0.7,7,22,1,0.14,0.00,0.14,0.14,0.14,0.10,0.00,0.10,0.10,0.10,Partidos
