Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Expectativa,Expectativa,Expectativa,Expectativa,Progresión,Progresión,Progresión,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Unnamed: 36_level_0
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
1,Abner,br BRA,DF,Betis,22,2000,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8,16,25,0.00,0.00,0.00,0.00,0.00,0.25,0.02,0.27,0.25,0.27,Partidos
2,Álvaro Aceves,es ESP,PO,Valladolid,19,2003,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
3,Marcos Acuña,ar ARG,DF,Sevilla,30,1991,30,21,1912,21.2,3,2,5,3,0,0,10,3,1.2,1.2,4.3,5.5,49,102,94,0.14,0.09,0.24,0.14,0.24,0.05,0.20,0.26,0.05,0.26,Partidos
4,Julen Agirrezabala,es ESP,PO,Athletic Club,21,2000,8,7,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
5,Álvaro Aguado,es ESP,CC,Valladolid,26,1996,34,18,1888,21.0,1,2,3,1,0,0,4,0,1.0,1.0,2.2,3.2,29,139,50,0.05,0.10,0.14,0.05,0.14,0.05,0.11,0.15,0.05,0.15,Partidos
6,Joseph Aidoo,gh GHA,DF,Celta Vigo,26,1995,35,35,3119,34.7,3,0,3,3,0,0,6,1,1.0,1.0,0.1,1.1,15,95,2,0.09,0.00,0.09,0.09,0.09,0.03,0.00,0.03,0.03,0.03,Partidos
7,Sergio Akieme,es ESP,DF,Almería,24,1997,29,27,2297,25.5,1,0,1,1,0,0,5,0,1.5,1.5,2.0,3.5,60,58,84,0.04,0.00,0.04,0.04,0.04,0.06,0.08,0.14,0.06,0.14,Partidos
8,Babatunde Akinsola,ng NGA,DL,Valladolid,19,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
9,Paul Akouokou,ci CIV,"CC,DF",Betis,24,1997,12,3,447,5.0,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,1,10,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Partidos
10,David Alaba,at AUT,DF,Real Madrid,30,1992,23,21,1838,20.4,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,16,67,60,0.05,0.15,0.20,0.05,0.20,0.04,0.05,0.09,0.04,0.09,Partidos
11,Ángel Alarcón,es ESP,DL,Barcelona,18,2004,4,0,25,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Partidos
12,Tomás Alarcón,cl CHI,CC,Cádiz,23,1999,4,2,223,2.5,0,0,0,0,0,0,2,1,0.0,0.0,0.1,0.1,2,9,6,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Partidos
13,Jordi Alba,es ESP,DF,Barcelona,33,1989,24,14,1419,15.8,2,3,5,2,0,0,6,1,0.8,0.8,6.2,7.0,42,141,157,0.13,0.19,0.32,0.13,0.32,0.05,0.40,0.44,0.05,0.44,Partidos
14,Raúl Albiol,es ESP,DF,Villarreal,36,1985,25,24,2119,23.5,0,0,0,0,0,0,6,0,0.1,0.1,0.0,0.1,12,100,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,Partidos
15,Rubén Alcaraz,es ESP,CC,Cádiz,31,1991,31,22,2043,22.7,3,0,3,1,2,3,11,1,4.0,1.6,1.3,2.9,30,105,20,0.13,0.00,0.13,0.04,0.04,0.18,0.06,0.23,0.07,0.13,Partidos
16,Omar Alderete,py PAR,DF,Getafe,25,1996,25,23,2047,22.7,1,1,2,1,0,0,9,0,0.6,0.6,0.8,1.4,28,96,8,0.04,0.04,0.09,0.04,0.09,0.03,0.03,0.06,0.03,0.06,Partidos
17,Iván Alejo,es ESP,"CC,DL",Cádiz,27,1995,31,13,1311,14.6,0,1,1,0,0,0,13,1,1.2,1.2,2.4,3.6,52,16,103,0.00,0.07,0.07,0.00,0.07,0.08,0.17,0.25,0.08,0.25,Partidos
18,Carles Aleñá,es ESP,"CC,DL",Getafe,24,1998,35,26,2119,23.5,2,2,4,2,0,0,12,1,2.3,2.3,1.6,3.9,24,87,78,0.08,0.08,0.17,0.08,0.17,0.10,0.07,0.17,0.10,0.17,Partidos
19,Alejandro Alfaro,es ESP,CC,Elche,20,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
20,Ángel Algobia,es ESP,CC,Getafe,23,1999,26,11,1138,12.6,0,0,0,0,0,0,3,0,0.3,0.3,0.6,0.9,10,42,11,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Partidos
21,Mohamed Ali Cho,fr FRA,"DL,CC",Real Sociedad,18,2004,19,5,587,6.5,1,2,3,1,0,0,1,0,1.8,1.8,1.6,3.5,30,8,63,0.15,0.31,0.46,0.15,0.46,0.28,0.25,0.53,0.28,0.53,Partidos
22,Domingos André Ribeiro Almeida,pt POR,CC,Valencia,22,2000,34,29,2539,28.2,2,4,6,2,0,0,3,0,1.4,1.4,3.4,4.9,74,197,71,0.07,0.14,0.21,0.07,0.21,0.05,0.12,0.17,0.05,0.17,Partidos
23,Marcos Alonso,es ESP,DF,Barcelona,31,1990,24,11,1172,13.0,1,0,1,1,0,0,3,0,0.9,0.9,0.3,1.2,26,71,12,0.08,0.00,0.08,0.08,0.08,0.07,0.03,0.09,0.07,0.09,Partidos
24,Carlos Álvarez,es ESP,CC,Sevilla,18,2003,1,0,10,0.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
25,Gastón Álvarez,uy URU,DF,Getafe,22,2000,22,16,1501,16.7,2,0,2,2,0,0,7,1,0.5,0.5,0.2,0.8,11,38,27,0.12,0.00,0.12,0.12,0.12,0.03,0.01,0.05,0.03,0.05,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
26,Yeray Álvarez,es ESP,DF,Athletic Club,27,1995,28,27,2332,25.9,1,1,2,1,0,0,7,1,0.8,0.8,1.1,1.9,32,152,8,0.04,0.04,0.08,0.04,0.08,0.03,0.04,0.07,0.03,0.07,Partidos
27,Selim Amallah,ma MAR,"CC,DL",Valladolid,25,1996,7,3,267,3.0,2,1,3,2,0,0,2,1,0.9,0.9,0.3,1.1,11,10,9,0.67,0.34,1.01,0.67,1.01,0.29,0.09,0.38,0.29,0.38,Partidos
28,Amath,sn SEN,"CC,DL",Mallorca,26,1996,28,12,1227,13.6,2,0,2,2,0,0,2,1,2.7,2.7,0.8,3.5,33,16,69,0.15,0.00,0.15,0.15,0.15,0.20,0.06,0.25,0.20,0.25,Partidos
29,Jordan Amavi,fr FRA,DF,Getafe,28,1994,5,1,200,2.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,4,5,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
30,Marcos André,br BRA,"DL,CC",Valencia,25,1996,17,3,447,5.0,1,0,1,1,0,0,2,1,1.5,1.3,0.4,1.8,2,7,20,0.20,0.00,0.20,0.20,0.20,0.29,0.09,0.38,0.27,0.36,Partidos
31,Fabrizio Angileri,ar ARG,DF,Getafe,28,1994,15,7,585,6.5,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,4,16,14,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
32,Josep Antoni Gayá,es ESP,"DF,CC",Mallorca,22,2000,2,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
33,José Antonio,es ESP,"CC,DF",Cádiz,18,2004,2,0,46,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,2,0.00,1.96,1.96,0.00,1.96,0.00,0.03,0.03,0.00,0.03,Partidos
34,Anuar,ma MAR,"CC,DL",Valladolid,27,1995,3,3,210,2.3,1,0,1,1,0,0,1,0,0.3,0.3,0.4,0.8,6,3,4,0.43,0.00,0.43,0.43,0.43,0.15,0.19,0.34,0.15,0.34,Partidos
35,Mauro Arambarri,uy URU,CC,Getafe,26,1995,13,13,992,11.0,0,1,1,0,0,0,5,1,0.2,0.2,1.5,1.8,8,33,7,0.00,0.09,0.09,0.00,0.09,0.02,0.14,0.16,0.02,0.16,Partidos
36,Ronald Araújo,uy URU,DF,Barcelona,23,1999,22,21,1800,20.0,0,2,2,0,0,0,5,1,2.1,2.1,0.8,2.9,29,79,11,0.00,0.10,0.10,0.00,0.10,0.10,0.04,0.15,0.10,0.15,Partidos
37,Adu Ares,es ESP,"DL,CC",Athletic Club,20,2001,8,0,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,4,19,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.30,0.11,0.30,Partidos
38,Sergio Arribas,es ESP,"CC,DL",Real Madrid,20,2001,2,0,19,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,2,0,0.00,0.00,0.00,0.00,0.00,0.74,0.14,0.88,0.74,0.88,Partidos
39,Roberto Arroyo,es ESP,CC,Valladolid,18,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
40,Ricard Artero,es ESP,"CC,DL",Girona,19,2003,7,0,133,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,4,3,9,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35,Partidos
41,Santiago Arzamendia,py PAR,"DF,CC",Cádiz,24,1998,12,5,483,5.4,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,8,17,22,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.12,0.04,0.12,Partidos
42,Sergio Asenjo,es ESP,PO,Valladolid,33,1989,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
43,Marco Asensio,es ESP,"DL,CC",Real Madrid,26,1996,31,15,1442,16.0,9,6,15,9,0,1,1,0,6.3,5.5,4.9,10.4,56,70,108,0.56,0.37,0.94,0.56,0.94,0.39,0.30,0.70,0.35,0.65,Partidos
44,Iago Aspas,es ESP,DL,Celta Vigo,34,1987,37,31,2868,31.9,12,3,15,10,2,3,6,0,11.1,8.7,5.6,14.3,80,162,239,0.38,0.09,0.47,0.31,0.41,0.35,0.18,0.52,0.27,0.45,Partidos
