Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Expectativa,Expectativa,Expectativa,Expectativa,Progresión,Progresión,Progresión,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Unnamed: 36_level_0
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
1,Aly Abeid,mr MTN,DF,Levante,19,1997,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Partidos
2,Antonio Adán,es ESP,PO,Betis,30,1987,30,30,2700,30.0,0,2,2,0,0,0,4,0,0.0,0.0,0.7,0.7,0,0,0,0.00,0.07,0.07,0.00,0.07,0.00,0.02,0.02,0.00,0.02,Partidos
3,Aday,es ESP,DF,Girona,29,1987,31,20,1835,20.4,2,0,2,1,1,2,10,0,2.8,1.3,1.6,2.9,82,61,156,0.10,0.00,0.10,0.05,0.05,0.14,0.08,0.22,0.06,0.14,Partidos
4,Aritz Aduriz,es ESP,DL,Athletic Club,36,1981,33,21,2152,23.9,9,1,10,6,3,5,5,0,11.1,7.6,1.5,9.0,27,45,150,0.38,0.04,0.42,0.25,0.29,0.47,0.06,0.53,0.32,0.38,Partidos
5,Martin Agirregabiria,es ESP,DF,Alavés,21,1996,21,20,1828,20.3,0,4,4,0,0,0,4,0,0.1,0.1,1.5,1.6,24,48,54,0.00,0.20,0.20,0.00,0.20,0.00,0.08,0.08,0.00,0.08,Partidos
6,Imanol Agirretxe,es ESP,DL,Real Sociedad,30,1987,11,2,232,2.6,0,0,0,0,0,0,0,0,1.2,1.2,0.0,1.2,1,5,8,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45,Partidos
7,Matías Aguirregaray,uy URU,DF,Las Palmas,28,1989,15,14,1153,12.8,0,0,0,0,0,0,3,0,0.6,0.6,0.6,1.2,23,57,49,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Partidos
8,Ager Aketxe,es ESP,CC,Athletic Club,23,1993,3,0,37,0.4,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,6,3,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Partidos
9,David Alba,es ESP,DF,Getafe,18,1999,1,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
10,Jordi Alba,es ESP,DF,Barcelona,28,1989,33,30,2744,30.5,2,8,10,2,0,0,7,0,2.1,2.1,6.1,8.3,58,135,314,0.07,0.26,0.33,0.07,0.33,0.07,0.20,0.27,0.07,0.27,Partidos
11,Raúl Albentosa,es ESP,DF,La Coruña,28,1988,20,19,1748,19.4,1,0,1,1,0,0,5,0,1.5,1.5,0.2,1.6,1,27,5,0.05,0.00,0.05,0.05,0.05,0.08,0.01,0.08,0.08,0.08,Partidos
12,Paco Alcácer,es ESP,"CC,DL",Barcelona,23,1993,17,8,695,7.7,4,3,7,4,0,0,0,0,3.9,3.9,2.1,6.0,6,13,42,0.52,0.39,0.91,0.52,0.91,0.51,0.27,0.78,0.51,0.78,Partidos
13,Pedro Alcalá,es ESP,DF,Girona,28,1989,8,8,689,7.7,1,0,1,1,0,0,4,0,1.0,1.0,0.2,1.2,3,24,0,0.13,0.00,0.13,0.13,0.13,0.13,0.03,0.16,0.13,0.16,Partidos
14,Steve Aldo One,cm CMR,DF,La Coruña,22,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
15,Álex Alegría,es ESP,DL,Levante,24,1992,9,8,628,7.0,0,0,0,0,0,0,1,0,1.1,1.1,0.2,1.3,2,8,29,0.00,0.00,0.00,0.00,0.00,0.16,0.03,0.19,0.16,0.19,Partidos
16,Iván Alejo,es ESP,"CC,DL",Eibar,22,1995,22,14,1102,12.2,1,3,4,1,0,0,5,0,0.5,0.5,2.1,2.6,71,20,125,0.08,0.25,0.33,0.08,0.33,0.04,0.17,0.21,0.04,0.21,Partidos
17,Alexander,ar ARG,"CC,DL",Leganés,28,1988,13,13,1060,11.8,2,2,4,1,1,1,1,0,2.2,1.4,2.5,3.9,17,26,72,0.17,0.17,0.34,0.08,0.25,0.19,0.21,0.40,0.12,0.33,Partidos
18,Alexis,es ESP,DF,Alavés,31,1985,28,25,2184,24.3,1,0,1,1,0,0,6,0,1.2,1.2,0.3,1.5,5,34,11,0.04,0.00,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06,Partidos
19,José Alonso Lara,es ESP,CC,Sevilla,17,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
20,Sergio Álvarez,es ESP,PO,Celta Vigo,30,1986,17,16,1476,16.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
21,Yeray Álvarez,es ESP,DF,Athletic Club,22,1995,8,7,675,7.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,10,41,1,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Partidos
22,Eloi Amagat,es ESP,CC,Girona,32,1985,2,0,15,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,0,0.00,0.00,0.00,0.00,0.00,1.20,0.00,1.20,1.20,1.20,Partidos
23,Jordi Amat,id IDN,"DF,CC",Betis,25,1992,25,24,2045,22.7,0,0,0,0,0,0,7,2,0.4,0.4,0.1,0.5,13,101,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
24,Amath,sn SEN,"CC,DL",Getafe,21,1996,37,36,2859,31.8,3,3,6,3,0,0,9,0,4.4,4.4,2.7,7.2,66,66,158,0.09,0.09,0.19,0.09,0.19,0.14,0.09,0.23,0.14,0.23,Partidos
25,Nordin Amrabat,ma MAR,"DL,CC",Leganés,30,1987,30,17,1623,18.0,2,4,6,2,0,0,6,1,3.7,3.7,3.2,6.9,87,50,146,0.11,0.22,0.33,0.11,0.33,0.20,0.18,0.38,0.20,0.38,Partidos
RL,Jugador,País,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
26,Jon Ander Serantes,es ESP,PO,Leganés,27,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
27,Florin Andone,ro ROU,DL,La Coruña,24,1993,29,16,1636,18.2,7,3,10,7,0,1,6,0,11.4,10.6,0.9,11.5,41,11,144,0.39,0.17,0.55,0.39,0.55,0.63,0.05,0.68,0.58,0.63,Partidos
28,Miguel Ángel Guerrero,es ESP,DL,Leganés,27,1990,22,15,1442,16.0,4,3,7,4,0,1,3,0,5.7,4.9,1.5,6.4,16,18,87,0.25,0.19,0.44,0.25,0.44,0.35,0.09,0.45,0.31,0.40,Partidos
29,José Ángel,es ESP,DF,Eibar,27,1989,30,28,2426,27.0,0,8,8,0,0,0,4,0,0.5,0.5,4.1,4.6,44,128,89,0.00,0.30,0.30,0.00,0.30,0.02,0.15,0.17,0.02,0.17,Partidos
30,Miguel Ángel Moyá,es ESP,PO,Real Sociedad,33,1984,9,9,764,8.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
31,Miguel Ángel Rubio,es ESP,DF,Getafe,19,1998,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
32,Vitorino Antunes,pt POR,DF,Getafe,30,1987,34,31,2799,31.1,0,2,2,0,0,1,14,0,1.7,0.9,3.4,4.3,45,116,65,0.00,0.06,0.06,0.00,0.06,0.05,0.11,0.16,0.03,0.14,Partidos
33,Alberto Aquilani,it ITA,CC,Las Palmas,33,1984,21,15,1297,14.4,0,0,0,0,0,0,4,0,0.7,0.7,0.5,1.2,8,80,12,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.08,0.05,0.08,Partidos
34,Mauro Arambarri,uy URU,CC,Getafe,21,1995,27,26,2124,23.6,1,1,2,1,0,0,9,1,1.6,1.6,1.9,3.6,12,76,15,0.04,0.04,0.08,0.04,0.08,0.07,0.08,0.15,0.07,0.15,Partidos
35,Guilherme Arana,br BRA,DF,Sevilla,20,1997,3,2,193,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
36,Sergio Araujo,ar ARG,"CC,DL",Las Palmas,25,1992,2,0,39,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,4,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Partidos
37,Anaitz Arbilla,es ESP,DF,Eibar,30,1987,29,26,2414,26.8,2,1,3,2,0,0,8,0,0.8,0.8,0.4,1.2,34,158,2,0.07,0.04,0.11,0.07,0.11,0.03,0.01,0.04,0.03,0.04,Partidos
